id	storyId	groupId	people	headIcon	jumpId	choiceOneType	choiceOneId	choiceOneJumpId	type1	reward1	rewardNum1	choiceTwoType	choiceTwoId	choiceTwoJumpId	type2	reward2	rewardNum2	choiceThreeType	choiceThreeId	choiceThreeJumpId	type3	reward3	rewardNum3	chapterBg	end	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH	choiceOne	choiceOne_zh_TW	choiceOne_en_UK	choiceOne_ja_JP	choiceOne_ko_KR	choiceOne_th_TH	choiceTwo	choiceTwo_zh_TW	choiceTwo_en_UK	choiceTwo_ja_JP	choiceTwo_ko_KR	choiceTwo_th_TH	choiceThree	choiceThree_zh_TW	choiceThree_en_UK	choiceThree_ja_JP	choiceThree_ko_KR	choiceThree_th_TH
35	5	3			4																			57:dialg_bg_17		1							变化前的坐标似乎在白猫侦探社附近，看来他们正在试验新的阵法？	變化前的座標似乎在白貓偵探社附近，看來他們正在試驗新的陣法？	Based on the earlier coordinates, it appears that I was near Furrmeow Detectives. Are they testing a new formation?	変更前の座標は白猫探偵社の近くにあったようだが、どうやら新たな法陣の実験中らしい？	이동하기 전에 있던 곳이 화이트캣 탐정 사무소 근처였던 것 같은데, 혹시 워프 포인트를 시뮬레이션 중인 건가?	ตำแหน่ง​ก่อน​การเปลี่ยนแปลง​ดูเหมือน​จะ​อยู่​ใกล้​กับ​สำนักงาน​นักสืบ​ไวท์​แค​ท​ หรือว่า​พวกเขา​กำลัง​ทดลอง​วง​เวท​ใหม่​อยู่​งั้น​เหรอ​?​																		
36	5	4																						57:dialg_bg_17	1	1							没等多久，空间再次波动，我回到了原点。千辰少见地面带愧色，静静站在那里……	沒等多久，空間再次波動，我回到了原點。千辰少見地面帶愧色，靜靜站在那裡……	Shortly after, the space fluctuates again, and I find myself back where I started. Senshinn stands there, looking unusually guilty and silent...	やがて再び空間が変動し、私は振り出しに戻った。千辰は珍しく恥ずかしそうな表情で静かにそこに立っていた…	기다리지 않고, 공간이 다시 움직였고, 나는 다시 처음에 있던 위치로 돌아왔다. 천진은 자주 보이지 않는 미안한 얼굴로, 가만히 그곳에 서 있었다…	ไม่​นาน​หลังจากนั้น​ มิติ​เริ่ม​เปลี่ยนแปลง​อีกครั้ง​ และ​ฉัน​ก็​กลับ​มายัง​จุดเริ่มต้น​ เชีย​นเฉิน​ทำ​หน้าเศร้า​อย่าง​ที่​ไม่ค่อย​ได้​เห็น​บ่อย​นัก​ ยืน​อยู่​ตรง​นั่น​อย่าง​เงียบๆ​...​																		
37	5	5			6																			57:dialg_bg_17		1							这究竟是怎么回事！？为了查明真相，我决心展开调查。	這究竟是怎麼回事！？為了查明真相，我決心展開調查。	What on earth is going on!? I decided to dig into the truth.	いったい何が起こっているの！?真相を確かめるため、調査を開始することにした。	이게 도대체 어떻게 된 일일까요?! 진실을 밝히기 위해 전 수사를 하기로 했어요.	นี่​มัน​เกิด​อะไร​ขึ้น​กัน​แน่​!?​ เพื่อที่จะ​หา​คำตอบ​ ฉัน​ตัดสินใจ​ที่จะ​เริ่ม​การสืบสวน​																		
38	5	6																						57:dialg_bg_17	1	1							然而，猝不及防的是，一群傀化物突然出现在我身旁，威胁竟无处不在……	然而，猝不及防的是，一群傀化物突然出現在我身旁，威脅竟無處不在……	But then, out of nowhere, a group of Anomalies appears next to me—it seems nowhere is safe from them...	ところが、驚くべきことに、突然私の横に傀化物の集団が現れ、脅威が至る所に広がっていた…	하지만, 갑작스럽게 날뛰는 퍼펫들이 나타나서 나를 계속 위협했다…	อย่างไรก็ตาม​ สิ่ง​ที่​เกิดขึ้น​อย่าง​กะทันหัน​คือ​ พวก​หุ่นเชิด​ไร้​ร่าง​จู่ๆ​ก็​ปรากฏตัว​ขึ้น​ข้างๆ​ ฉัน​ ดูเหมือน​ทุกๆ​ที่จะ​เกิด​การ​คุกคาม​ขึ้น​...​																		
39	5	7			8																			57:dialg_bg_17		1							我想到白猫侦探社的阵法，怀疑与此有关。沉心感知四周，我抓住空间再次波动的那刻……回来了！	我想到白貓偵探社的陣法，懷疑與此有關。沉心感知四周，我抓住空間再次波動的那刻……回來了！	I recall the formation at Furrmeow Detectives, thinking this might be related. I gather my focus, sensing the area, and capture the moment when the space fluctuates again... Ha! I'm back!	白猫探偵社の法陣を思い出し、これと何かしら関係があるのではないかと考えた。心を落ち着けて周囲の気配を感じ取ると、空間が再び変動する瞬間を捉え…戻ってきた！	화이트캣 탐정 사무소의 워프 포인트를 떠올렸고, 이와 관련이 있을지도 모른다고 의심했다. 주변을 정신을 집중하여 느끼다가, 공간이 다시 변하는 느낌이 드는 찰나… 다시 돌아왔다!	ฉัน​นึกถึง​วง​เวท​ของ​สำนักงาน​ไวท์​แค​ท​ และ​สงสัย​ว่า​มัน​อาจ​เกี่ยวข้อง​กับ​เรื่อง​นี้​ หลังจาก​ตั้งสมาธิ​รับรู้​สภาพแวดล้อม​รอบตัว​ ฉัน​ได้​จับ​จังหวะ​การเปลี่ยนแปลง​ของ​มิติ​และ​...​ กลับมา​แล้ว​!​																		
40	5	8																						57:dialg_bg_17	1	1							「有灵性。」等在那里的千辰面露赞赏，丢来几本书——《阵法入门》？！	「有靈性。」等在那裡的千辰面露讚賞，丟來幾本書——《陣法入門》？！	"Good instincts." Senshinn, waiting there, looks impressed and tosses me some books—"Introduction to Formations"?!	「お利口さんです。」そこで待っていた千辰は微笑みながら感心し、数冊の本を投げてきた――『法陣入門』？！	「똑똑하네.」그 자리에 있는 천진은 칭찬하면서 몇 권의 책을 던져줬다 - <워프 포인트 입문>?!	"​มีไหวพริบ​นี่​"​ เมื่อ​เห็น​ฉัน​ทำ​ได้ดี​ เชีย​นเฉิน​ก็​แสดง​ความชื่นชม​พร้อมกับ​โยน​หนังสือ​มา​ให้​ฉัน​—"​การ​เริ่มต้น​ใช้​วง​เวท​"?!​																		
41	6	1			2																			57:dialg_bg_22		1							南方远洋港的集装箱铺满了整个海岸，自动化吊车操纵着货物运输。突然，我们注意到一个醉汉睡倒在集装箱顶部，吊车的机械臂眼看就要伸向那里……	南方遠洋港的集裝箱鋪滿了整個海岸，自動化吊車操縱著貨物運輸。突然，我們注意到一個醉漢睡倒在集裝箱頂部，吊車的機械臂眼看就要伸向那裡……	The containers at Southern Harbor stretch along the coast, with automated cranes managing the cargo. Suddenly, we spot a drunk man sleeping on top of a container, while the mechanical arm of the crane is about to reach him...	南方遠洋港ではコンテナが並び、自動クレーンが貨物を積み下ろししている。ふと、コンテナの上で酔っ払って寝ている男が目に入り、クレーンのアームがその場所へ向かおうとしていた……	사우스 오션 포트에는 수많은 콘테이너로 가득 차 있었고, 자동화된 크레인 장비로 화물을 운송하고 있었다. 순찰할 때 우리는 한 취객이 콘테이너 위에서 취해 잠을 자고 있는 것을 발견했다. 크레인이 그 콘테이너를 들려고 하는 찰나…	ท่าเรือ​ทะเล​ใต้​เต็มไปด้วย​ตู้​คอนเทนเนอร์​มากมาย​ที่​ชายฝั่ง​ รถ​เครน​อัตโนมัติ​ทำหน้าที่​ควบคุม​การ​ขนส่งสินค้า​ ทันใดนั้น​ พวกเรา​สังเกตเห็น​ชาย​เมา​คน​หนึ่ง​นอนหลับ​อยู่​บน​ตู้​คอนเทนเนอร์​ และ​แขน​เข​อง​รถ​เครน​ก็​กำลังจะ​ยื่น​ไป​ที่นั่น​...​																		
42	6	2				1		3	1	12178024	1	1		7	2	0	0.3	1		5	4	12177903	1	57:dialg_bg_22		1							南方远洋港的集装箱铺满了整个海岸，自动化吊车操纵着货物运输。突然，我们注意到一个醉汉睡倒在集装箱顶部，吊车的机械臂眼看就要伸向那里……	南方遠洋港的集裝箱鋪滿了整個海岸，自動化吊車操縱著貨物運輸。突然，我們注意到一個醉漢睡倒在集裝箱頂部，吊車的機械臂眼看就要伸向那裡……	The containers at Southern Harbor stretch along the coast, with automated cranes managing the cargo. Suddenly, we spot a drunk man sleeping on top of a container, while the mechanical arm of the crane is about to reach him...	南方遠洋港ではコンテナが並び、自動クレーンが貨物を積み下ろししている。ふと、コンテナの上で酔っ払って寝ている男が目に入り、クレーンのアームがその場所へ向かおうとしていた……	사우스 오션 포트에는 수많은 콘테이너로 가득 차 있었고, 자동화된 크레인 장비로 화물을 운송하고 있었다. 순찰할 때 우리는 한 취객이 콘테이너 위에서 취해 잠을 자고 있는 것을 발견했다. 크레인이 그 콘테이너를 들려고 하는 찰나…	ท่าเรือ​ทะเล​ใต้​เต็มไปด้วย​ตู้​คอนเทนเนอร์​มากมาย​ที่​ชายฝั่ง​ รถ​เครน​อัตโนมัติ​ทำหน้าที่​ควบคุม​การ​ขนส่งสินค้า​ ทันใดนั้น​ พวกเรา​สังเกตเห็น​ชาย​เมา​คน​หนึ่ง​นอนหลับ​อยู่​บน​ตู้​คอนเทนเนอร์​ และ​แขน​เข​อง​รถ​เครน​ก็​กำลังจะ​ยื่น​ไป​ที่นั่น​...​	冷静分析	冷靜分析	Stay calm and analyze.	冷静に分析する	냉정하게 분석한다	วิเคราะห์อย่างใจเย็น	立刻救人	立刻救人	Rescue him right away.	すぐに救出しないと	바로 구조한다	ช่วยเหลือในทันที	有些犹豫	有些猶豫	Not sure what to do...	少し躊躇う	망설인다	ลังเลเล็กน้อย
43	6	3			4																			57:dialg_bg_22		1							我注意到吊车操作室旁边的紧急停止按钮。危急时刻，顾不得那么多了！	我注意到吊車操作室旁邊的緊急停止按鈕。危急時刻，顧不得那麼多了！	I notice the emergency stop button in the crane's control room. There's no time to overthink this! I have to act now!	クレーンの運転席の横にある非常停止ボタンに気づき、間一髪のところでいちいち気にしてたまるか！	크레인 조종실에 긴급 정지 버튼이 있는 것을 발견했다. 위험한 상황이니 많은 것을 고려할 수는 없었다!	ฉัน​สังเกตเห็น​ปุ่ม​หยุด​ฉุกเฉิน​ข้าง​ห้อง​ควบคุม​เครน​ ใน​ช่วงเวลา​คับขัน​นี้​ ไม่​มี​เวลา​ให้​คิดมาก​แล้ว​!​																		
44	6	4																						57:dialg_bg_22	1	1							我果断冲进操作室按下按钮，机械臂立刻停止移动。没人受伤真是太好了……	我果斷沖進操作室按下按鈕，機械臂立刻停止移動。沒人受傷真是太好了……	I rush into the control room and press the button, instantly halting the crane's arm. Thank goodness no one is injured...	思い切って手術室に駆け込み、ボタンを押すと、ロボットアームはすぐに動きを止めた。怪我人が出なくて良かったですね…	나는 과감하게 조종실로 가서 정지 버튼을 눌렀고, 크레인이 즉시 멈췄다. 아무도 다치지 않아서 참으로 다행이다... 	ฉัน​ตัดสินใจ​วิ่ง​เข้าไป​ใน​ห้อง​ควบคุม​และ​กดปุ่ม​ เครน​หยุด​เคลื่อนไหว​ทันที​ ดี​จริงๆ​ที่​ไม่​มี​ใคร​ได้รับบาดเจ็บ​...​																		
45	6	5			6																			57:dialg_bg_22		1							突然，醉汉清醒过来并高声尖叫。	突然，醉漢清醒過來並高聲尖叫。	The drunk man jolts awake and starts screaming.	突然、酔っぱらった男が目を覚まし、大声で叫んだ。	갑자기 취한 사람이 깨어나고 소리지르기 시작했다. 	ทันใดนั้น​ ชาย​เมา​คน​นั้น​ตื่นขึ้น​มา​และ​กรีดร้อง​เสียงดัง​																		
46	6	6																						57:dialg_bg_22	1	1							恐惧的情绪让环境的情绪粒子浓度直线上升，导致附近的集装箱傀化，造成了不小的破坏……	恐懼的情緒讓環境的情緒粒子濃度直線上升，導致附近的集裝箱傀化，造成了不小的破壞……	Fear causes the P-value to skyrocket, turning the nearby containers into Anomalies and causing significant damage...	恐怖の感情が引き起こした環境中のエモーション粒子の濃度の急上昇により、周囲のコンテナが傀化し、甚大な被害を引き起こすこととなった……	공포에 빠진 감정으로 인해 주변의 이모션 파티클 농도가 급격하게 상승했고, 이로 인해 인근의 콘테이너가 퍼펫화되어 큰 피해가 생겼다... 	อารมณ์​หวาดกลัว​ทำให้​ความหนาแน่น​ของ​อนุภาค​พา​โธส​ใน​สภาพแวดล้อม​เพิ่มขึ้น​อย่าง​รวดเร็ว​ ส่งผล​ให้​ตู้​คอนเทนเนอร์​ใกล้เคียง​กลาย​สภาพ​เป็น​หุ่นเชิด​ และ​เกิด​ความเสียหาย​ไม่​น้อย​...​																		
47	6	7			8																			57:dialg_bg_22		1							我冲上前，却对着两层楼高的集装箱一筹莫展。只见一旁的队员点点头，轻盈跃上箱顶，及时救下了醉汉。	我沖上前，卻對著兩層樓高的集裝箱一籌莫展。只見一旁的隊員點點頭，輕盈躍上箱頂，及時救下了醉漢。	I rush over, feeling helpless in front of the two-story-high container. A teammate nearby nods and leaps onto the container, successfully rescuing the drunk man just in the nick of time.	急いで前に進みましたが、２階建てのコンテナにどうしても手が出せませんでした。側にいるチームメンバーと顔を見合わせると、後者はコンテナの上に飛び上がり、酔っぱらいを救出した。	내가 전투태세를 취했을 때 건물 2층 높이의 콘테이너를 마주해야만 했다. 옆에서 있던 팀원은 고개를 끄덕이며 가볍게 뛰어 올라가서 그 취객을 구했다	ฉัน​พุ่งตัว​ไป​ข้างหน้า​ แต่​ก็​ไม่​รู้​จะ​ทำ​อย่างไร​กับ​ตู้​คอนเทนเนอร์​ที่สูง​ถึง​สองชั้น​ เพียงแต่​เห็น​เพื่อน​ร่วม​ทีม​ข้างๆ​ พยักหน้า​ แล้วจึง​กระโดด​ขึ้นไป​บน​ยอด​ตู้​ได้​อย่าง​คล่องแคล่ว​ ช่วย​ชาย​เมา​ที่​กำลัง​ตก​จาก​ตู้​ได้​ทันเวลา​																		
48	6	8																						57:dialg_bg_22	1	1							醉汉清醒后一脸后怕，执意要送我们东西表达感谢。	醉漢清醒後一臉後怕，執意要送我們東西表達感謝。	The man, now sober and visibly shaken, insists on expressing his gratitude by giving us something.	酔っ払っていた男性は酔いが覚めると、恐怖におののきながら、私たちに感謝の気持ちを伝えるために何かを渡そうと強く主張した。	취객은 정신을 차린 후에 정말 놀란 표정으로 우리에게 감사의 말을 전했다	ชาย​ที่​เมา​ตื่นขึ้น​มา​ด้วย​ใบ​หน้าที่​เต็มไปด้วย​ความหวาดกลัว​ เขา​ยืนยัน​ที่จะ​มอบ​ของ​ให้​พวกเรา​เป็น​การแสดง​ความ​ขอบคุณ​																		
49	7	1			2																			57:dialg_bg_320		1							我们走进熙熙攘攘的夜市，穿梭在琳琅满目的美食摊位中，各种香味扑鼻而来。包子摊的摊主热情招呼「来试吃一下吧！」	我們走進熙熙攘攘的夜市，穿梭在琳琅滿目的美食攤位中，各種香味撲鼻而來。包子攤的攤主熱情招呼「來試吃一下吧！」	We venture into the lively night market, weaving through the array of food stalls, with the delightful aroma of various cuisines wafting through the air. The owner of the bun stall eagerly invites us, "Come and give it a try!"	私たちは賑やかな夜市に足を踏み入れ、数多くの屋台が並ぶ中、様々な香りが鼻をくすぐりながら歩いた。饅頭屋のオーナーが「ぜひ食べてみてください！」と温かく迎えてくれた。	우리는 붐비는 야시장에 들어가, 다양한 가게 사이를 지나다니며 맛있는 냄새를 많이 맡았다. 만두 노점상의 주인이 열정적으로 호객하고 있었다. 「어서 드셔보세요!」	พวกเรา​เดิน​เข้าไป​ใน​ตลาด​กลางคืน​ที่​ผู้คน​พลุกพล่าน​ เดินผ่าน​แผง​ขาย​อาหาร​หลากหลาย​ที่​ส่ง​กลิ่นหอม​ลอย​มา​เต็ม​อากาศ​ พ่อค้า​แผง​ขาย​ซาลาเปา​ตะโกนเรียก​ด้วย​ความ​กระตือรือร้น​ "​มา​ลอง​ชิม​ดู​สิ​!"​																		
50	7	2				1		7	5	3000023	500	1		5	4	12177908	1	1		3	2	0	0.3	57:dialg_bg_320		1							我们走进熙熙攘攘的夜市，穿梭在琳琅满目的美食摊位中，各种香味扑鼻而来。包子摊的摊主热情招呼「来试吃一下吧！」	我們走進熙熙攘攘的夜市，穿梭在琳琅滿目的美食攤位中，各種香味撲鼻而來。包子攤的攤主熱情招呼「來試吃一下吧！」	We venture into the lively night market, weaving through the array of food stalls, with the delightful aroma of various cuisines wafting through the air. The owner of the bun stall eagerly invites us, "Come and give it a try!"	私たちは賑やかな夜市に足を踏み入れ、数多くの屋台が並ぶ中、様々な香りが鼻をくすぐりながら歩いた。饅頭屋のオーナーが「ぜひ食べてみてください！」と温かく迎えてくれた。	우리는 붐비는 야시장에 들어가, 다양한 가게 사이를 지나다니며 맛있는 냄새를 많이 맡았다. 만두 노점상의 주인이 열정적으로 호객하고 있었다. 「어서 드셔보세요!」	พวกเรา​เดิน​เข้าไป​ใน​ตลาด​กลางคืน​ที่​ผู้คน​พลุกพล่าน​ เดินผ่าน​แผง​ขาย​อาหาร​หลากหลาย​ที่​ส่ง​กลิ่นหอม​ลอย​มา​เต็ม​อากาศ​ พ่อค้า​แผง​ขาย​ซาลาเปา​ตะโกนเรียก​ด้วย​ความ​กระตือรือร้น​ "​มา​ลอง​ชิม​ดู​สิ​!"​	向摊主讨教。	向攤主討教。	Talk to the stall owner.	オーナーにレシピを求める	점주에게 배운다	ขอ​คำแนะนำ​จาก​เจ้าของ​แผง​	强忍欲望……	強忍欲望……	Resist the temptation...	食欲に負けちゃダメ！	유혹을 참는다	ไม่ตามใจตัวเอง	大吃一顿！	大吃一頓！	Indulge in a feast!	思いっきり食べまくる！	크게 한 입 먹는다!	จัดเต็มหนึ่งมื้อใหญ่!
51	7	3			4																			57:dialg_bg_320		1							辛苦了那么久，暂时休息一下吧！我招呼着队员坐下，在包子摊饱餐一顿。	辛苦了那麼久，暫時休息一下吧！我招呼著隊員坐下，在包子攤飽餐一頓。	After all the hard work, let's take a break! I gather the team to sit down and savor a satisfying meal at the bun stall.	長い間頑張った後は、ちょっと休憩しよう！私はチームメンバーと肉まんの屋台でたっぷり食べるように頼んだ。	오래 일한 후에는 잠깐 쉬는 게 좋겠다고 말하며 팀원들을 불러서 만둣집에서 밥을 먹었다.	ทำงานหนัก​มา​นาน​แล้ว​ พัก​กัน​สักหน่อย​เถอะ​!​ ฉัน​ชวน​เพื่อน​ร่วม​ทีม​ให้​มา​นั่ง​ และ​เรา​ก็​ทานข้าว​ที่​แผง​ขาย​ซาลาเปา​กัน​อย่าง​อิ่มหนำสำราญ​																		
52	7	4																						57:dialg_bg_320	1	1							温暖可口的食物安抚了空虚的胃，更是涤除了战斗的疲惫。	溫暖可口的食物安撫了空虛的胃，更是滌除了戰鬥的疲憊。	The warm and delectable food soothes our famished stomachs, washing away the exhaustion from the battle.	温かくて美味しい料理は、空腹を満たすだけでなく、戦いの疲れも癒してくれた。	따뜻하고 맛있는 음식으로 빈 속을 달래면서 전투로 지친 몸과 마음을 힐링했다	อาหาร​อุ่นๆ​ แสน​อร่อย​ ได้​ปลอบประโลม​ท้อง​ที่ว่างเปล่า​ และ​ยัง​ชำระล้าง​ความ​เหนื่อยล้า​จาก​การต่อสู้​ได้​อีกด้วย​																		
53	7	5			6																			57:dialg_bg_320		1							还是尽快结束夜巡的任务吧！我强忍住诱惑，拒绝摊主。	還是儘快結束夜巡的任務吧！我強忍住誘惑，拒絕攤主。	We better complete the Nightly Patrol mission swiftly! I resist the allure and decline the stall owner's invitation.	夜間のパトロールは一刻も早く終わらせた方が良い！私は誘惑に耐え、屋台のオーナーを断った。	하지만 야간 순찰 미션을 빨리 끝내야겠다고 생각하며 만두 가게 주인의 유혹을 뿌리쳤다.	รีบ​ๆ​ทำ​ภารกิจ​ตรวจตรา​ยาม​ค่ำ​ให้​เสร็จ​เถอะ​!​ ฉัน​อดกลั้น​ความอยาก​ และ​ปฏิเสธ​เจ้าของร้าน​ไป​																		
54	7	6																						57:dialg_bg_320	1	1							然而，美食环绕的当下，胃中的空虚愈发明显……真的好饿啊。	然而，美食環繞的當下，胃中的空虛愈發明顯……真的好餓啊。	But with all these mouthwatering dishes surrounding us, it's becoming increasingly difficult to ignore the grumbling of my empty stomach... I am truly famished.	しかし、グルメに囲まれた今、お腹の虚しさはますますひどくなってきた…本気にお腹が空いてきたようだ。	하지만 주위가 맛있는 음식으로 둘러싸여 있어서 배가 더욱 고픈 느낌이 들었다... 정말 배고프다!	อย่างไรก็ตาม​ ในขณะที่​มี​อาหาร​แสน​อร่อย​ล้อมรอบ​ ความหิว​ใน​ท้อง​กลับ​ยิ่ง​ชัดเจน​ขึ้น​...​ หิว​สุด​ๆ​ไป​เลย​																		
55	7	7			8																			57:dialg_bg_320		1							笼屉内的包子个个白嫩饱满。我好奇询问摊主制作技巧。	籠屜內的包子個個白嫩飽滿。我好奇詢問攤主製作技巧。	The buns in the steamer appear soft, tender, and plump. Curiosity gets the best of me, and I inquire about the stall owner's secret.	蒸し器の中の肉まんはどれも白くて柔らかくてふっくらしている。興味津々で、オーナーにその作り方を尋ねてみた。	찜기 속에 있는 만두는 하나같이 흰색이고 촉촉하고 맛있었다. 나는 만둣집 주인에게 제작 기술을 물어봤다	ซาลาเปา​ใน​เข่ง​แต่ละ​ลูก​ทั้ง​ขาวนวล​และ​อวบ​อิ่ม​ ฉัน​เกิด​ความสงสัย​จึง​ถาม​เจ้าของ​แผง​เกี่ยวกับ​เทคนิค​การ​ทำ​																		
56	7	8																						57:dialg_bg_320	1	1							摊主热情分享经验，毫不吝啬地打包了一些制作材料作为「美食知音」的赠品。	攤主熱情分享經驗，毫不吝嗇地打包了一些製作材料作為「美食知音」的贈品。	The stall owner happily shares their expertise and generously packs some ingredients as a gift for a "fellow food enthusiast."	屋台のオーナーは自分の経験を熱心に教えてくれ、「グルメ仲間」への贈り物としていくつかの食材を惜しげもなくくれた。	그는 자신의 레시피를 열정적으로 알려줬고, 「음식 친구」로서 만두를 만드는 재료를  선물해줬다	เจ้าของ​แผง​แบ่งปัน​ประสบการณ์​อย่าง​กระตือรือร้น​ และ​ไม่​ลังเล​ที่จะ​ห่อ​วัตถุดิบ​การ​ทำอาหาร​บางส่วน​เป็น​ของขวัญ​สำหรับ​ "​เพื่อนรัก​เรื่อง​อาหาร​"​																		
57	8	1			2																			57:dialg_bg_320		1							男子察觉到我们的注视，像是看到救世主般喋喋不休起来——他在附近的神秘小摊处购买了一件古董，花费高价却买到了赝品……	男子察覺到我們的注視，像是看到救世主般喋喋不休起來——他在附近的神秘小攤處購買了一件古董，花費高價卻買到了贗品……	The man notices our gaze and starts babbling like he's encountered a savior. It turns out he purchased an antique from a mysterious nearby stall, paying a hefty price only to discover it was a counterfeit...	男は私たちの視線に気づくと、まるで救世主に出会ったかのように、急に話し始めた。近くの謎めいた露店で骨董品を高額で購入したが、結局それは偽物だったようだ……	우리는 한 남자를 쳐다봤고, 그 남자 역시 우리를 발견했다. 구세주를 만난 것처럼 말을 걸었고, 그는 주변의 수상한 가판에서 고가의 골동품을 샀는데 가품을 샀다고 한다	ชายหนุ่ม​สังเกตเห็น​สายตา​ของ​พวกเรา​ ก่อน​จะ​เริ่ม​พูด​ไม่​หยุด​ราวกับ​เห็น​ผู้​มา​โปรด​เขา​—​เขา​ซื้อ​ของโบราณ​ชิ้น​หนึ่ง​จา​กร้าน​ลึกลับ​ใกล้​ๆ​ โดย​จ่าย​เงิน​ราคา​สูง​แต่กลับ​ได้​ของปลอม​มา​...​																		
58	8	2				1		5	1	12178003	1	1		3	4	12177905	1	1		7	2	0	0.3	57:dialg_bg_320		1							男子察觉到我们的注视，像是看到救世主般喋喋不休起来——他在附近的神秘小摊处购买了一件古董，花费高价却买到了赝品……	男子察覺到我們的注視，像是看到救世主般喋喋不休起來——他在附近的神秘小攤處購買了一件古董，花費高價卻買到了贗品……	The man notices our gaze and starts babbling like he's encountered a savior. It turns out he purchased an antique from a mysterious nearby stall, paying a hefty price only to discover it was a counterfeit...	男は私たちの視線に気づくと、まるで救世主に出会ったかのように、急に話し始めた。近くの謎めいた露店で骨董品を高額で購入したが、結局それは偽物だったようだ……	우리는 한 남자를 쳐다봤고, 그 남자 역시 우리를 발견했다. 구세주를 만난 것처럼 말을 걸었고, 그는 주변의 수상한 가판에서 고가의 골동품을 샀는데 가품을 샀다고 한다	ชายหนุ่ม​สังเกตเห็น​สายตา​ของ​พวกเรา​ ก่อน​จะ​เริ่ม​พูด​ไม่​หยุด​ราวกับ​เห็น​ผู้​มา​โปรด​เขา​—​เขา​ซื้อ​ของโบราณ​ชิ้น​หนึ่ง​จา​กร้าน​ลึกลับ​ใกล้​ๆ​ โดย​จ่าย​เงิน​ราคา​สูง​แต่กลับ​ได้​ของปลอม​มา​...​	陷入思考……	陷入思考……	Think about what to do...	物思いにふける…	고민한다	ตก​อยู่​ใน​ห้วง​ความคิด​...​	能不能帮到他……	能不能幫到他……	Can we help him...	助けてあげようか…	그를 도와줄 수 있을까…	ช่วยเขาได้ไหม...	补贴他一点吧……	補貼他一點吧……	Maybe help him out with some cash...	労いをかける…	조금 도와줘야겠다…	ตอบแทนเขาสักหน่อย...
59	8	3			4																			57:dialg_bg_320		1							我们询问了详细的时间地点，答应男子及时上报他的情况，男子千恩万谢表示会送上锦旗和感谢信。	我們詢問了詳細的時間地點，答應男子及時上報他的情況，男子千恩萬謝表示會送上錦旗和感謝信。	After gathering the necessary information about the time and place, we assure the man that we will report his case. He expresses his gratitude profusely, promising to send us a banner and a thank-you note.	詳しい日時と場所を聞き、適時に状況を報告することを約束した。男性は大変感謝しており、横断幕と感謝状を贈ると言っていた。	우리는 자세한 시간과 장소를 물었고, 확인하고 알려주겠다고 약속했다. 남자는 활짝 웃으면서 감사패와 감사 편지를 보내겠다고 했다	พวกเรา​ได้​ถาม​รายละเอียด​เกี่ยวกับ​เวลา​และ​สถาน​ที่แล้ว​ ก่อน​จะ​สัญญา​กับ​ชายหนุ่ม​ว่า​จะ​รายงาน​สถานการณ์​ของ​เขา​ในทันที​ ชายหนุ่ม​ขอบคุณ​อย่าง​มาก​และ​บอ​กว่า​จะ​มอบ​ธง​ขอบคุณ​และ​จดหมาย​ขอบคุณ​ให้​กับ​เรา​																		
60	8	4																						57:dialg_bg_320	1	1							这真是意外之喜！看来这个月评奖有希望了……	這真是意外之喜！看來這個月評獎有希望了……	What a pleasant surprise! It seems like our chances of winning this month's award have greatly improved!	棚から牡丹餅だ！今月のボーナスは期待できそうだ……	이건 예상 못했는데! 이번 달 평가가 정말 좋을 거 같다…	นี่​มัน​ช่าง​น่ายินดี​อย่าง​คาดไม่ถึง​เลย​!​ ดูเหมือนว่า​ใน​เดือน​นี้​จะ​มีโอกาส​ได้​รับรางวัล​แล้ว​...​																		
61	8	5			6																			57:dialg_bg_320		1							突然，男子眼睛一亮，猛得冲出去抓住另一位佝偻男子的衣领，两人瞬间扭打在一起。	突然，男子眼睛一亮，猛得沖出去抓住另一位佝僂男子的衣領，兩人瞬間扭打在一起。	Suddenly, the man's eyes light up, and he rushes over to confront another individual. They start brawling immediately.	突然、男の目が輝き、勢いよく飛び出して、歩いていたもう一人の背中が曲がった男の胸ぐらを掴み、一瞬で二人はもみ合い始めた。	갑자기 남자가 눈을 반짝이며 다른 남자의 옷을 붙잡았고, 그들은 순식간에 몸싸움을 하기 시작했다	ทันใดนั้น​ ทันทีที่​ชาย​คน​นั้น​เข้าใจ​อย่าง​ชัดเจน​ เขา​วิ่ง​ออก​ไป​อย่าง​รวดเร็ว​และ​จับ​คอเสื้อ​ของ​ชาย​หลัง​ค่อม​คน​หนึ่ง​ ทั้งสอง​คน​กอด​ฟัด​กัน​นัวเนีย​ในทันที​																		
