id	animeId	inTime	outTime	fadeIn	fadeOut	status	subtitle	subtitle_zh_TW	subtitle_en_UK	subtitle_ja_JP	subtitle_ko_KR	subtitle_th_TH
85	CS_plot_1006130	87150	99170	200	200	1	什么都没有了，没有了……我变成傀了，我会死的，我会死得不留一点痕迹……	什麼都沒有了，沒有了……我變成傀了，我會死的，我會死得不留一點痕跡……	There's nothing left, nothing... I've become an Anomaly, destined to die without leaving a trace...	何も……何もかも……終わった……俺は傀になっちまった、何も残さず、死んじまうんだ。	다 망했네, 망했어... 퍼펫이 됐으니, 내가 죽어도, 죽어도 아무런 흔적조차 남지 않겠지...	ไม่​เหลือ​อะไร​แล้ว​ มัน​จบ​แล้ว​...​ฉัน​กลายเป็น​หุ่นเชิด​แล้ว​ ฉัน​ต้อง​ตาย​แน่​ ต้อง​ตาย​แบบ​ไม่​เหลือ​ร่องรอย​เลย​แม้แต่น้อย​...​
86	CS_plot_1004113_04_1	4100	6990	0	0	1	<color=#FF0000>嘻嘻，乖孩子，安静地睡吧……</color>	<color=#FF0000>嘻嘻，乖孩子，安靜地睡吧……</color>	<color=#FF0000>Hehe, good child. Rest peacefully now...</color>	<color=#FF0000>イヒヒッ、良い子ね、安らかに眠れ……</color>	<color=#FF0000>히히，착한 아이야，조용히 잠들거라...</color>	<color=#FF0000>ฮิฮิ เด็กดี นอนหลับให้สบายเถอะนะ…</color>​
87	CS_plot_1004113_04_1	7000	9990	0	0	1	<color=#FF0000>乐园是我们甜蜜的家！</color>	<color=#FF0000>樂園是我們甜蜜的家！</color>	<color=#FF0000>Wonderland is our cozy abode!</color>	<color=#FF0000>楽園は私たちのスイートホーム！</color>	<color=#FF0000>파라다이스는 우리의 편안하고 행복한 집이니까!</color>	<color=#FF0000>สวนสนุกเป็นบ้านอันแสนอบอุ่นของพวกเรา!</color>​
88	CS_plot_1004113_04_1	10000	12990	0	0	1	依琳，坚持住，不要放弃！	依琳，堅持住，不要放棄！	Elaine, get a grip! Don't give up!	エリン、しっかりして、諦めちゃダメ！	일레인, 견뎌, 포기하면 안돼!	เอ​เลน​ อดทน​ไว้​ อย่า​ยอมแพ้​นะ​!​
89	CS_plot_1004113_04_1	13200	14100	0	0	1	依琳——	依琳——	Elaine...	エリーン！	일레인——	เอเลน—
90	CS_plot_1004113_04_1	17170	19000	0	0	1	依琳，等我……	依琳，等我……	Elaine, wait for me...	エリン、待ってて……	일레인, 기다려...	เอเลน รอฉันก่อน...
91	CS_plot_1004113_04_1	20150	23200	0	0	1	对不起，这一切，都是因为我……	對不起，這一切，都是因為我……	I'm sorry, all of this is because of me...	ごめんなさい……全部あたしのせいだ……	미안해, 다 내가 잘못했어...	ขอโทษ​นะ​ ทั้งหมด​นี้​ เป็น​เพราะ​ฉัน​...​
92	CS_plot_1004113_04_1	25000	28100	0	0	1	如果我死了，大家，就能活下去了吧！	如果我死了，大家，就能活下去了吧！	If I die, maybe everyone else can live, right?	あたしが死ねば……皆は生きられるよね！	내가 죽더라도, 다들, 잘 살아갈 수 있지!	ถ้า​ฉัน​ตาย​ ทุกคน​ ก็​จะ​มีชีวิตรอด​ต่อไป​ได้​สิ​นะ​!​
93	CS_plot_1004113_04_1	30100	32240	0	0	1	对不起，这是最后的机会。	對不起，這是最後的機會。	I'm sorry, this is our last chance.	ごめんなさい、これが最後のチャンス	미안, 마지막 기회였어.	ขอโทษ​นะ​ นี่​เป็น​โอกาส​ครั้งสุดท้าย​
94	CS_plot_1004113_04_1	34000	36170	0	0	1	他们是无辜的！	他們是無辜的！	They are innocent!	彼らは巻き込まれただけ！	그들은 결백합니다!	พวกเขาเป็นผู้บริสุทธิ์!
95	CS_plot_1004113_04_1	37100	40220	0	0	1	但我们，早就已经无法救赎了。	但我們，早就已經無法救贖了。	But we, we can no longer be redeemed.	でもあたしたちは、もう手遅れだから。	하지만 우린, 이미 구원받을 수 없는 몸입니다.	แต่​พวกเรา​ ไม่​สามารถ​ช่วย​อะไร​ได้​อีกต่อไป​แล้ว​
96	CS_plot_1004113_04_1	41000	42500	0	0	1	<color=#FF0000>啊啊啊啊！住手，快住手！</color>	<color=#FF0000>啊啊啊啊！住手，快住手！</color>	<color=#FF0000>Aaaaah! Cease this immediately!</color>	<color=#FF0000>ああああ、いやだ！やめろ！</color>	<color=#FF0000>아아아악! 멈춰, 멈추라고!</color>	<color=#FF0000>โอ้ย! หยุดนะ หยุดเดี๋ยวนี้!</color>​
97	CS_plot_1004113_04_1	43000	45500	0	0	1	<color=#FF0000>自毁？你还真是愚蠢！</color>	<color=#FF0000>自毀？你還真是愚蠢！</color>	<color=#FF0000>Self-destruction? What a foolish endeavor!</color>	<color=#FF0000>   自滅？なんて愚かだ！</color>	<color=#FF0000>스스로 파괴하다니? 너 진짜 멍청하구나!</color>	<color=#FF0000>ทำร้ายตัวเอง? นี่ยังบ้าเหมือนเดิมเลยนะ!</color>​
98	CS_plot_1004113_04_1	46000	49110	0	0	1	你不明白，我的错……就应该，由我来终结。	你不明白，我的錯……就應該，由我來終結。	You don't understand. This is my fault; I should be the one who ends it.	あたしの罪は……あたしが償うべきだ。	넌 모를 거야, 내가 잘못한 걸...... 그러니, 내가 끝내야 해.	คุณ​ไม่​เข้าใจ​ ความผิด​ของ​ฉัน​...​ฉัน​ควรจะ​ต้อง​รับผิดชอบ​เอง​
99	CS_plot_1004113_04_1	51160	53060	0	0	1	要爆炸了，快趴下！	要爆炸了，快趴下！	It's gonna blow. Get down!	爆発するわ、伏せて！	터진다, 엎드려!	จะ​ระเบิด​แล้ว​ รีบ​หมอบลง​!​
100	CS_plot_1004113_04_1	54190	56500	0	0	1	大家……要活下去啊！	大家……要活下去啊！	Everyone... Stay alive!	みんな……生きて!	모두...살아가야 해!	ทุ​กค​น.​..​ต้อง​มีชีวิต​ต่อไป​นะ​!​
101	CS_plot_1004113_04_1	65000	68010	0	0	1	依琳——不——！！！	依琳——不——！！！	Elaine! No!	エリン——いや——！！！	일레인——안돼——!!!	เอเลน—— ไม่——!!!
