"Prologue_001_Wave1","TutorialMode","","Normal","Prologue_001","1","Environment_TutoBattle","Prologue_C024","1","Prologue_C591","1","Prologue_C024","1","","","","","","","","","","","",""
"AD_N_P2_003_009_Wave1","AdventureMode","","Normal","AD_N_P2_003_009","1","Environment_Adventure_Part2_NST3","CH7_F_C592R_G1","33","","","","","CH7_M_C593R_G1","33","","","","","CH7_B_C595G_G1","33","","","",""
"AD_N_P2_003_009_Wave2","AdventureMode","","Normal","AD_N_P2_003_009","2","Environment_Adventure_Part2_NST3","CH7_F_C592R_G1","33","CH7_F_C592R_G1","33","","","CH7_M_C590G_G1","33","","","","","CH7_B_C525R_G1","33","","","",""
"AD_N_P2_003_010_Wave1","AdventureMode","","Normal","AD_N_P2_003_010","1","Environment_Adventure_Part2_NST3","CH7_F_C591R_G1","33","CH7_F_C591R_G1","33","","","CH7_M_C588G_G1","33","","","","","CH7_B_C595G_G1","33","","","",""
"AD_N_P2_003_010_Wave2","AdventureMode","","Normal","AD_N_P2_003_010","2","Environment_Adventure_Part2_NST3","CH7_F_C591R_G1","33","CH7_F_C591R_G1","33","","","CH7_M_C589R_G1","33","CH7_M_C041_G1","33","","","","","","","",""
"AD_N_P2_003_011_Wave1","AdventureMode","","Normal","AD_N_P2_003_011","1","Environment_Adventure_Part2_NST3","CH7_F_C024G_G1","33","CH7_F_C024G_G1","33","","","CH7_M_C588G_G1","33","","","","","CH7_B_C025G_G1","33","","","",""
"AD_N_P2_003_011_Wave2","AdventureMode","","Normal","AD_N_P2_003_011","2","Environment_Adventure_Part2_NST3","CH7_F_C591R_G1","33","CH7_F_C024G_G1","33","","","CH7_M_C588G_G1","33","CH7_M_C588G_G1","33","","","","","","","",""
"AD_N_P2_003_012_Wave1","AdventureMode","","Normal","AD_N_P2_003_012","1","Environment_Adventure_Part2_NST3","CH7_F_C024G_G1","34","CH7_F_C024G_G1","34","","","CH7_M_C588G_G1","34","","","","","CH7_B_C025G_G1","34","","","",""
"AD_N_P2_003_012_Wave2","AdventureMode","","Normal","AD_N_P2_003_012","2","Environment_Adventure_Part2_NST3","CH7_F_C591R_G1","34","CH7_F_C024G_G1","34","","","CH7_M_C588G_G1","34","","","","","CH7_B_C525R_G1","34","","","",""
"AD_N_P2_003_013_Wave1","AdventureMode","","Normal","AD_N_P2_003_013","1","Environment_Adventure_Part2_NST3","CH7_F_C591R_G1","34","CH7_F_C591R_G1","34","","","CH7_M_C588G_G1","34","CH7_M_C588G_G1","34","","","CH7_B_C525R_G1","34","","","",""
"AD_N_P2_003_013_Wave2","AdventureMode","","Normal","AD_N_P2_003_013","2","Environment_Adventure_Part2_NST3","CH7_F_C591R_G1","34","CH7_F_C591R_G1","34","CH7_F_C591R_G1","34","CH7_M_C589R_G1","34","","","","","CH7_B_C525R_G1","34","","","",""
"AD_N_P2_003_014_Wave1","AdventureMode","","Normal","AD_N_P2_003_014","1","Environment_Adventure_Part2_NST3","CH7_F_C591R_G1","34","CH7_F_C591R_G1","34","","","CH7_M_C589R_G1","34","","","","","CH7_B_C595G_G1","34","CH7_B_C595G_G1","34","",""
"AD_N_P2_003_014_Wave2","AdventureMode","","Normal","AD_N_P2_003_014","2","Environment_Adventure_Part2_NST3","CH7_F_C591R_G1","34","CH7_F_C591R_G1","34","","","CH7_M_C588G_G1","34","","","","","CH7_B_C525R_G1","34","CH7_B_C525R_G1","34","",""
"AD_N_P2_003_015_Wave1","AdventureMode","","Normal","AD_N_P2_003_015","1","Environment_Adventure_Part2_NST3","CH7_F_C591R_G1","35","CH7_F_C591R_G1","35","CH7_F_C591R_G1","35","CH7_M_C589R_G1","35","","","","","CH7_B_C525R_G1","35","","","",""
"AD_N_P2_003_015_Wave2","AdventureMode","","Normal","AD_N_P2_003_015","2","Environment_Adventure_Part2_NST3","CH7_F_C064_G2","35","","","","","CH7_M_C593R_G1","35","CH7_M_C593R_G1","35","","","CH7_B_C525R_G1","35","","","",""
"AD_H_P2_003_001_Wave1","AdventureMode","","Normal","AD_H_P2_003_001","1","Environment_Adventure_Part2_HST3","CH7_F_C024G_G1","36","","","","","CH7_M_C593R_G1","36","","","","","CH7_B_C025G_G1","36","","","",""
"AD_H_P2_003_001_Wave2","AdventureMode","","Normal","AD_H_P2_003_001","2","Environment_Adventure_Part2_HST3","CH7_F_C024G_G1","36","","","","","CH7_B_C088_G1","36","","","","","CH7_B_C525R_G1","36","","","",""
"AD_H_P2_003_002_Wave1","AdventureMode","","Normal","AD_H_P2_003_002","1","Environment_Adventure_Part2_HST3","CH7_F_C591R_G1","38","CH7_F_C591R_G1","38","","","CH7_M_C588G_G1","38","","","","","CH7_B_C595G_G1","38","","","",""
"AD_H_P2_003_002_Wave2","AdventureMode","","Normal","AD_H_P2_003_002","2","Environment_Adventure_Part2_HST3","CH7_F_C591R_G1","38","CH7_F_C591R_G1","38","","","CH7_M_C589R_G1","38","CH7_M_C041_G1","38","","","","","","","",""
"AD_H_P2_003_003_Wave1","AdventureMode","","Normal","AD_H_P2_003_003","1","Environment_Adventure_Part2_HST3","CH7_F_C591R_G1","40","CH7_F_C591R_G1","40","CH7_F_C591R_G1","40","CH7_M_C589R_G1","40","","","","","CH7_B_C525R_G1","40","","","",""
"AD_H_P2_003_003_Wave2","AdventureMode","","Normal","AD_H_P2_003_003","2","Environment_Adventure_Part2_HST3","CH7_F_C064_G2","40","","","","","CH7_M_C593R_G1","40","CH7_M_C593R_G1","40","","","CH7_B_C525R_G1","40","","","",""
"AD_N_P2_004_001_Wave1","AdventureMode","","Normal","AD_N_P2_004_001","1","Environment_Adventure_Part2_NST4","CH8_F_C592R_G1","35","","","","","CH8_M_C590G_G1","35","","","","","CH8_B_C594R_G1","35","","","",""
"AD_N_P2_004_001_Wave2","AdventureMode","","Normal","AD_N_P2_004_001","2","Environment_Adventure_Part2_NST4","CH8_F_C591R_G1","35","","","","","CH8_M_C588G_G1","35","","","","","CH8_B_C025G_G1","35","","","",""
"AD_N_P2_004_002_Wave1","AdventureMode","","Normal","AD_N_P2_004_002","1","Environment_Adventure_Part2_NST4","CH8_F_C591R_G1","35","","","","","CH8_M_C588G_G1","35","","","","","CH8_B_C025G_G1","35","","","",""
"AD_N_P2_004_002_Wave2","AdventureMode","","Normal","AD_N_P2_004_002","2","Environment_Adventure_Part2_NST4","CH8_F_C024G_G1","35","","","","","CH8_M_C590G_G1","35","","","","","CH8_B_C594R_G1","35","","","",""
"AD_N_P2_004_003_Wave1","AdventureMode","","Normal","AD_N_P2_004_003","1","Environment_Adventure_Part2_NST4","CH8_F_C592R_G1","36","","","","","CH8_M_C590G_G1","36","","","","","CH8_B_C025G_G1","36","","","",""
"AD_N_P2_004_003_Wave2","AdventureMode","","Normal","AD_N_P2_004_003","2","Environment_Adventure_Part2_NST4","CH8_F_C591R_G1","36","","","","","CH8_M_C588G_G1","36","","","","","CH8_B_C595G_G1","36","","","",""
"AD_N_P2_004_004_Wave1","AdventureMode","","Normal","AD_N_P2_004_004","1","Environment_Adventure_Part2_NST4","CH8_F_C592R_G1","36","","","","","CH8_M_C590G_G1","36","","","","","CH8_B_C025G_G1","36","","","",""
"AD_N_P2_004_004_Wave2","AdventureMode","","Normal","AD_N_P2_004_004","2","Environment_Adventure_Part2_NST4","CH8_F_C591R_G1","36","CH8_F_C591R_G1","36","","","CH8_M_C588G_G1","36","","","","","CH8_B_C595G_G1","36","","","",""
"AD_N_P2_004_005_Wave1","AdventureMode","","Normal","AD_N_P2_004_005","1","Environment_Adventure_Part2_NST4","CH8_F_C591R_G1","36","","","","","CH8_M_C588G_G1","36","","","","","CH8_B_C025G_G1","36","","","",""
"AD_N_P2_004_005_Wave2","AdventureMode","","Normal","AD_N_P2_004_005","2","Environment_Adventure_Part2_NST4","CH8_F_C064_G1","36","","","","","CH8_M_C588G_G1","36","","","","","CH8_B_C595G_G1","36","","","",""
"AD_N_P2_004_006_Wave1","AdventureMode","","Normal","AD_N_P2_004_006","1","Environment_Adventure_Part2_NST4","CH8_F_C591R_G1","37","","","","","CH8_M_C590G_G1","37","","","","","CH8_B_C543B_G1","37","","","",""
"AD_N_P2_004_006_Wave2","AdventureMode","","Normal","AD_N_P2_004_006","2","Environment_Adventure_Part2_NST4","CH8_F_C591R_G1","37","","","","","CH8_M_C588G_G1","37","","","","","CH8_B_C025G_G1","37","","","",""
"AD_N_P2_004_007_Wave1","AdventureMode","","Normal","AD_N_P2_004_007","1","Environment_Adventure_Part2_NST4","CH8_F_C591R_G1","37","","","","","CH8_M_C590G_G1","37","","","","","CH8_B_C543B_G1","37","","","",""
"AD_N_P2_004_007_Wave2","AdventureMode","","Normal","AD_N_P2_004_007","2","Environment_Adventure_Part2_NST4","CH8_F_C557G_G1","37","CH8_F_C557G_G1","37","","","CH8_M_C593R_G1","37","","","","","CH8_B_C594R_G1","37","","","",""
"AD_N_P2_004_008_Wave1","AdventureMode","","Normal","AD_N_P2_004_008","1","Environment_Adventure_Part2_NST4","CH8_F_C591R_G1","37","","","","","CH8_M_C590G_G1","37","","","","","CH8_B_C543B_G1","37","","","",""
"AD_N_P2_004_008_Wave2","AdventureMode","","Normal","AD_N_P2_004_008","2","Environment_Adventure_Part2_NST4","CH8_F_C557G_G1","37","CH8_F_C557G_G1","37","","","CH8_M_C593R_G1","37","","","","","CH8_B_C543B_G1","37","","","",""
"AD_N_P2_004_009_Wave1","AdventureMode","","Normal","AD_N_P2_004_009","1","Environment_Adventure_Part2_NST4","CH8_F_C591R_G1","38","","","","","CH8_M_C590G_G1","38","","","","","CH8_B_C543B_G1","38","","","",""
"AD_N_P2_004_009_Wave2","AdventureMode","","Normal","AD_N_P2_004_009","2","Environment_Adventure_Part2_NST4","CH8_F_C591R_G1","38","CH8_F_C557G_G1","38","CH8_F_C591R_G1","38","","","","","","","CH8_B_C594R_G1","38","","","",""
"AD_N_P2_004_010_Wave1","AdventureMode","","Normal","AD_N_P2_004_010","1","Environment_Adventure_Part2_NST4","CH8_F_C591R_G1","38","CH8_F_C591R_G1","38","","","CH8_M_C588G_G1","38","","","","","CH8_B_C595G_G1","38","","","",""
"AD_N_P2_004_010_Wave2","AdventureMode","","Normal","AD_N_P2_004_010","2","Environment_Adventure_Part2_NST4","CH8_F_C591R_G1","38","CH8_F_C005_G1","38","","","CH8_M_C593R_G1","38","","","","","CH8_B_C594R_G1","38","","","",""
"AD_N_P2_004_011_Wave1","AdventureMode","","Normal","AD_N_P2_004_011","1","Environment_Adventure_Part2_NST4","CH8_F_C591R_G1","38","CH8_F_C591R_G1","38","","","CH8_M_C588G_G1","38","","","","","CH8_B_C595G_G1","38","","","",""
"AD_N_P2_004_011_Wave2","AdventureMode","","Normal","AD_N_P2_004_011","2","Environment_Adventure_Part2_NST4","CH8_F_C557G_G1","38","CH8_F_C557G_G1","38","","","CH8_M_C593R_G1","38","","","","","CH8_B_C543B_G1","38","","","",""
"AD_N_P2_004_012_Wave1","AdventureMode","","Normal","AD_N_P2_004_012","1","Environment_Adventure_Part2_NST4","CH8_F_C557G_G1","39","CH8_F_C557G_G1","39","","","CH8_M_C593R_G1","39","","","","","CH8_B_C543B_G1","39","","","",""
"AD_N_P2_004_012_Wave2","AdventureMode","","Normal","AD_N_P2_004_012","2","Environment_Adventure_Part2_NST4","CH8_F_C557G_G1","39","","","","","CH8_M_C588G_G1","38","","","","","CH8_B_C595G_G1","39","CH8_B_C595G_G1","39","",""
"AD_N_P2_004_013_Wave1","AdventureMode","","Normal","AD_N_P2_004_013","1","Environment_Adventure_Part2_NST4","CH8_F_C557G_G1","39","CH8_F_C557G_G1","39","","","CH8_M_C593R_G1","39","","","","","CH8_B_C543B_G1","39","CH8_B_C525R_G1","39","",""
"AD_N_P2_004_013_Wave2","AdventureMode","","Normal","AD_N_P2_004_013","2","Environment_Adventure_Part2_NST4","CH8_F_C557G_G1","39","CH8_F_C557G_G1","39","","","CH8_M_C588G_G1","39","","","","","CH8_B_C595G_G1","39","CH8_B_C595G_G1","39","",""
"AD_N_P2_004_014_Wave1","AdventureMode","","Normal","AD_N_P2_004_014","1","Environment_Adventure_Part2_NST4","CH8_F_C557G_G1","39","CH8_F_C557G_G1","39","","","CH8_M_C589R_G1","39","","","","","CH8_B_C543B_G1","39","CH8_B_C543B_G1","39","",""
"AD_N_P2_004_014_Wave2","AdventureMode","","Normal","AD_N_P2_004_014","2","Environment_Adventure_Part2_NST4","CH8_F_C591R_G1","39","CH8_F_C591R_G1","39","","","CH8_M_C588G_G1","39","","","","","CH8_B_C525R_G1","39","CH8_B_C525R_G1","39","",""
"AD_N_P2_004_015_Wave1","AdventureMode","","Normal","AD_N_P2_004_015","1","Environment_Adventure_Part2_NST4","CH8_F_C591R_G1","40","","","","","CH8_M_C559R_G1","40","CH8_M_C559R_G1","40","","","CH8_B_C594R_G1","40","CH8_B_C594R_G1","40","",""
"AD_N_P2_004_015_Wave2","AdventureMode","","Normal","AD_N_P2_004_015","2","Environment_Adventure_Part2_NST4","CH8_F_C021_G2","40","","","","","CH8_M_C589R_G1","40","CH8_M_C589R_G1","40","","","CH8_B_C525R_G1","40","","","",""
"AD_H_P2_004_001_Wave1","AdventureMode","","Normal","AD_H_P2_004_001","1","Environment_Adventure_Part2_HST4","CH8_F_C591R_G1","41","","","","","CH8_M_C588G_G1","41","","","","","CH8_B_C025G_G1","41","","","",""
"AD_H_P2_004_001_Wave2","AdventureMode","","Normal","AD_H_P2_004_001","2","Environment_Adventure_Part2_HST4","CH8_F_C064_G1","41","","","","","CH8_M_C588G_G1","41","","","","","CH8_B_C595G_G1","41","","","",""
"AD_H_P2_004_002_Wave1","AdventureMode","","Normal","AD_H_P2_004_002","1","Environment_Adventure_Part2_HST4","CH8_F_C591R_G1","43","CH8_F_C591R_G1","43","","","CH8_M_C588G_G1","43","","","","","CH8_B_C595G_G1","43","","","",""
"AD_H_P2_004_002_Wave2","AdventureMode","","Normal","AD_H_P2_004_002","2","Environment_Adventure_Part2_HST4","CH8_F_C591R_G1","43","CH8_F_C005_G1","43","","","CH8_M_C593R_G1","43","","","","","CH8_B_C594R_G1","43","","","",""
"AD_H_P2_004_003_Wave1","AdventureMode","","Normal","AD_H_P2_004_003","1","Environment_Adventure_Part2_HST4","CH8_F_C591R_G1","40","","","","","CH8_M_C559R_G1","45","CH8_M_C559R_G1","45","","","CH8_B_C594R_G1","45","CH8_B_C594R_G1","45","",""
"AD_H_P2_004_003_Wave2","AdventureMode","","Normal","AD_H_P2_004_003","2","Environment_Adventure_Part2_HST4","CH8_F_C021_G2","40","","","","","CH8_M_C589R_G1","45","CH8_M_C589R_G1","45","","","CH8_B_C525R_G1","45","","45","",""
"AD_N_P3_001_001_Wave1","AdventureMode","","Normal","AD_N_P3_001_001","1","Environment_Adventure_Part3_NST1","CH9_F_C030_G1","40","","","","","CH9_M_C057_G1","40","","","","","CH9_B_C594_G1","40","","","",""
"AD_N_P3_001_001_Wave2","AdventureMode","","Normal","AD_N_P3_001_001","2","Environment_Adventure_Part3_NST1","CH9_F_C030_G1","40","","","","","CH9_M_C057_G1","40","","","","","CH9_B_C052_G1","40","","","",""
"AD_N_P3_001_002_Wave1","AdventureMode","","Normal","AD_N_P3_001_002","1","Environment_Adventure_Part3_NST1","CH9_F_C030_G1","40","CH9_F_C030_G1","40","","","CH9_M_C057_G1","40","","","","","","","","","",""
"AD_N_P3_001_002_Wave2","AdventureMode","","Normal","AD_N_P3_001_002","2","Environment_Adventure_Part3_NST1","CH9_F_C030_G1","40","CH9_F_C030_G1","40","","","CH9_M_C558_G1","40","","","","","","","","","",""
"AD_N_P3_001_003_Wave1","AdventureMode","","Normal","AD_N_P3_001_003","1","Environment_Adventure_Part3_NST1","CH9_F_C030_G1","41","","","","","CH9_M_C057_G1","41","","","","","CH9_B_C594_G1","41","","","",""
"AD_N_P3_001_003_Wave2","AdventureMode","","Normal","AD_N_P3_001_003","2","Environment_Adventure_Part3_NST1","CH9_F_C030_G1","41","","","","","CH9_M_C057_G1","41","","","","","CH9_B_C052_G1","41","","","",""
"AD_N_P3_001_004_Wave1","AdventureMode","","Normal","AD_N_P3_001_004","1","Environment_Adventure_Part3_NST1","CH9_F_C030_G1","41","","","","","CH9_M_C558_G1","41","","","","","CH9_B_C594_G1","41","","","",""
"AD_N_P3_001_004_Wave2","AdventureMode","","Normal","AD_N_P3_001_004","2","Environment_Adventure_Part3_NST1","CH9_F_C030_G1","41","CH9_F_C030_G1","41","CH9_F_C030_G1","41","","","","","","","","","","","",""
"AD_N_P3_001_005_Wave1","AdventureMode","","Normal","AD_N_P3_001_005","1","Environment_Adventure_Part3_NST1","CH9_F_C597_G1","41","","","","","CH9_M_C057_G1","41","","","","","CH9_B_C594_G1","41","","","",""
"AD_N_P3_001_005_Wave2","AdventureMode","","Normal","AD_N_P3_001_005","2","Environment_Adventure_Part3_NST1","CH9_F_C596_G1","41","","","","","CH9_M_C558_G1","41","","","","","CH9_B_C040_G1","41","","","",""
"AD_N_P3_001_006_Wave1","AdventureMode","","Normal","AD_N_P3_001_006","1","Environment_Adventure_Part3_NST1","CH9_F_C030_G1","42","","","","","CH9_M_C057_G1","42","","","","","CH9_B_C594_G1","42","","","",""
"AD_N_P3_001_006_Wave2","AdventureMode","","Normal","AD_N_P3_001_006","2","Environment_Adventure_Part3_NST1","CH9_F_C030_G1","42","CH9_F_C030_G1","42","","","CH9_M_C558_G1","42","","","","","CH9_B_C594_G1","42","","","",""
"AD_N_P3_001_007_Wave1","AdventureMode","","Normal","AD_N_P3_001_007","1","Environment_Adventure_Part3_NST1","CH9_F_C030_G1","42","","","","","CH9_M_C057_G1","42","","","","","CH9_B_C594_G1","42","","","",""
"AD_N_P3_001_007_Wave2","AdventureMode","","Normal","AD_N_P3_001_007","2","Environment_Adventure_Part3_NST1","CH9_F_C597_G1","42","CH9_F_C597_G1","42","","","CH9_M_C558_G1","42","","","","","CH9_B_C052_G1","42","","","",""
"AD_N_P3_001_008_Wave1","AdventureMode","","Normal","AD_N_P3_001_008","1","Environment_Adventure_Part3_NST1","CH9_F_C030_G1","42","","","","","CH9_M_C558_G1","42","","","","","CH9_B_C052_G1","42","","","",""
"AD_N_P3_001_008_Wave2","AdventureMode","","Normal","AD_N_P3_001_008","2","Environment_Adventure_Part3_NST1","CH9_F_C597_G1","42","CH9_F_C597_G1","42","CH9_F_C597_G1","42","CH9_M_C558_G1","42","","","","","","","","","",""
"AD_N_P3_001_009_Wave1","AdventureMode","","Normal","AD_N_P3_001_009","1","Environment_Adventure_Part3_NST1","CH9_F_C597_G1","43","","","","","CH9_M_C558_G1","43","","","","","CH9_B_C052_G1","43","","","",""
"AD_N_P3_001_009_Wave2","AdventureMode","","Normal","AD_N_P3_001_009","2","Environment_Adventure_Part3_NST1","CH9_F_C596_G1","43","","","","","CH9_M_C558_G1","43","CH9_M_C558_G1","43","","","CH9_B_C594_G1","43","","","",""
"AD_N_P3_001_010_Wave1","AdventureMode","","Normal","AD_N_P3_001_010","1","Environment_Adventure_Part3_NST1","CH9_F_C597_G1","43","CH9_F_C597_G1","43","","","CH9_M_C558_G1","43","","","","","CH9_B_C594_G1","43","CH9_B_C594_G1","43","",""
"AD_N_P3_001_010_Wave2","AdventureMode","","Normal","AD_N_P3_001_010","2","Environment_Adventure_Part3_NST1","CH9_F_C596_G1","43","","","","","CH9_M_C558_G1","43","","","","","CH9_B_C594_G1","43","CH9_B_C009_G1","43","",""
"AD_N_P3_001_011_Wave1","AdventureMode","","Normal","AD_N_P3_001_011","1","Environment_Adventure_Part3_NST1","CH9_F_C030_G1","43","CH9_F_C030_G1","43","","","CH9_M_C057_G1","43","","","","","CH9_B_C594_G1","43","","","",""
"AD_N_P3_001_011_Wave2","AdventureMode","","Normal","AD_N_P3_001_011","2","Environment_Adventure_Part3_NST1","CH9_F_C597_G1","43","CH9_F_C597_G1","43","","","CH9_M_C558_G1","43","","","","","CH9_B_C052_G1","43","","","",""
"AD_N_P3_001_012_Wave1","AdventureMode","","Normal","AD_N_P3_001_012","1","Environment_Adventure_Part3_NST1","CH9_F_C597_G1","44","CH9_F_C597_G1","44","","","CH9_M_C558_G1","44","","","","","CH9_B_C052_G1","44","","","",""
"AD_N_P3_001_012_Wave2","AdventureMode","","Normal","AD_N_P3_001_012","2","Environment_Adventure_Part3_NST1","CH9_F_C597_G1","44","CH9_F_C596_G1","44","CH9_F_C597_G1","44","CH9_M_C558_G1","44","","","","","","","","","",""
"AD_N_P3_001_013_Wave1","AdventureMode","","Normal","AD_N_P3_001_013","1","Environment_Adventure_Part3_NST1","CH9_F_C597_G1","44","CH9_F_C596_G1","44","","","CH9_M_C558_G1","44","CH9_M_C558_G1","44","","","CH9_B_C594_G1","44","","","",""
"AD_N_P3_001_013_Wave2","AdventureMode","","Normal","AD_N_P3_001_013","2","Environment_Adventure_Part3_NST1","CH9_F_C596_G1","44","CH9_F_C596_G1","44","","","CH9_M_C558_G1","44","","","","","CH9_B_C594_G1","44","CH9_B_C594_G1","44","",""
"AD_N_P3_001_014_Wave1","AdventureMode","","Normal","AD_N_P3_001_014","1","Environment_Adventure_Part3_NST1","CH9_F_C596_G1","44","","","","","CH9_M_C558_G1","44","CH9_M_C558_G1","44","CH9_M_C558_G1","44","CH9_B_C052_G1","44","","","",""
"AD_N_P3_001_014_Wave2","AdventureMode","","Normal","AD_N_P3_001_014","2","Environment_Adventure_Part3_NST1","CH9_F_C596_G1","44","CH9_F_C597_G1","44","CH9_F_C596_G1","44","CH9_M_C558_G1","44","","","","","CH9_B_C594_G1","44","","","",""
"AD_N_P3_001_015_Wave1","AdventureMode","","Normal","AD_N_P3_001_015","1","Environment_Adventure_Part3_NST1","CH9_F_C596_G1","45","CH9_F_C596_G1","45","","","CH9_M_C558_G1","45","","","","","CH9_B_C052_G1","45","CH9_B_C052_G1","45","",""
"AD_N_P3_001_015_Wave2","AdventureMode","","Normal","AD_N_P3_001_015","2","Environment_Adventure_Part3_NST1","CH9_F_C596_G1","45","CH9_F_C596_G1","45","","","CH9_M_C100_G2","45","","","","","CH9_B_C052_G1","45","CH9_B_C052_G1","45","",""
"AD_H_P3_001_001_Wave1","AdventureMode","","Normal","AD_H_P3_001_001","1","Environment_Adventure_Part3_HST1","CH9_F_C597_G1","46","","","","","CH9_M_C057_G1","46","","","","","CH9_B_C594_G1","46","","","",""
"AD_H_P3_001_001_Wave2","AdventureMode","","Normal","AD_H_P3_001_001","2","Environment_Adventure_Part3_HST1","CH9_F_C596_G1","46","","","","","CH9_M_C558_G1","46","","","","","CH9_B_C040_G1","46","","","",""
"AD_H_P3_001_002_Wave1","AdventureMode","","Normal","AD_H_P3_001_002","1","Environment_Adventure_Part3_HST1","CH9_F_C597_G1","43","CH9_F_C597_G1","43","","","CH9_M_C558_G1","48","","","","","CH9_B_C594_G1","48","CH9_B_C594_G1","48","",""
"AD_H_P3_001_002_Wave2","AdventureMode","","Normal","AD_H_P3_001_002","2","Environment_Adventure_Part3_HST1","CH9_F_C596_G1","48","","","","","CH9_M_C558_G1","48","","","","","CH9_B_C594_G1","48","CH9_B_C009_G1","48","",""
"AD_H_P3_001_003_Wave1","AdventureMode","","Normal","AD_H_P3_001_003","1","Environment_Adventure_Part3_HST1","CH9_F_C596_G1","50","CH9_F_C596_G1","50","","","CH9_M_C558_G1","50","","","","","CH9_B_C052_G1","50","CH9_B_C052_G1","50","",""
"AD_H_P3_001_003_Wave2","AdventureMode","","Normal","AD_H_P3_001_003","2","Environment_Adventure_Part3_HST1","CH9_F_C596_G1","50","CH9_F_C596_G1","50","","","CH9_M_C100_G2","50","","","","","CH9_B_C052_G1","50","CH9_B_C052_G1","50","",""
"AD_N_P3_002_001_Wave1","AdventureMode","","Normal","AD_N_P3_002_001","1","Environment_Adventure_Part3_NST2","CH10_F_C030_G1","45","","","","","CH10_M_C558_G1","45","","","","","CH10_B_C052_G1","45","","","",""
"AD_N_P3_002_001_Wave2","AdventureMode","","Normal","AD_N_P3_002_001","2","Environment_Adventure_Part3_NST2","CH10_F_C597_G1","45","","","","","CH10_M_C558_G1","45","","","","","CH10_B_C544_G1","45","","","",""
"AD_N_P3_002_002_Wave1","AdventureMode","","Normal","AD_N_P3_002_002","1","Environment_Adventure_Part3_NST2","CH10_F_C030_G1","45","","","","","CH10_M_C558_G1","45","","","","","CH10_B_C544_G1","45","","","",""
"AD_N_P3_002_002_Wave2","AdventureMode","","Normal","AD_N_P3_002_002","2","Environment_Adventure_Part3_NST2","CH10_F_C597_G1","45","","","","","CH10_M_C533_G1","45","","","","","CH10_B_C544_G1","45","","","",""
"AD_N_P3_002_003_Wave1","AdventureMode","","Normal","AD_N_P3_002_003","1","Environment_Adventure_Part3_NST2","CH10_F_C030_G1","46","","","","","CH10_M_C558_G1","46","","","","","CH10_B_C544_G1","46","","","",""
"AD_N_P3_002_003_Wave2","AdventureMode","","Normal","AD_N_P3_002_003","2","Environment_Adventure_Part3_NST2","CH10_F_C597_G1","46","CH10_F_C597_G1","46","","","CH10_M_C533_G1","46","","","","","","","","","",""
"AD_N_P3_002_004_Wave1","AdventureMode","","Normal","AD_N_P3_002_004","1","Environment_Adventure_Part3_NST2","CH10_F_C597_G1","46","","","","","CH10_M_C558_G1","46","","","","","CH10_B_C544_G1","46","","","",""
"AD_N_P3_002_004_Wave2","AdventureMode","","Normal","AD_N_P3_002_004","2","Environment_Adventure_Part3_NST2","CH10_F_C597_G1","46","","","","","CH10_M_C533_G1","46","CH10_M_C533_G1","46","","","","","","","",""
"AD_N_P3_002_005_Wave1","AdventureMode","","Normal","AD_N_P3_002_005","1","Environment_Adventure_Part3_NST2","CH10_F_C557_G1","46","","","","","CH10_M_C558_G1","46","","","","","CH10_B_C052_G1","46","","","",""
"AD_N_P3_002_005_Wave2","AdventureMode","","Normal","AD_N_P3_002_005","2","Environment_Adventure_Part3_NST2","CH10_F_C557_G1","46","","","","","CH10_M_C559_G1","46","","","","","CH10_B_C009_G1","46","","","",""
"AD_N_P3_002_006_Wave1","AdventureMode","","Normal","AD_N_P3_002_006","1","Environment_Adventure_Part3_NST2","CH10_F_C030_G1","47","","","","","CH10_M_C558_G1","47","","","","","CH10_B_C052_G1","47","","","",""
"AD_N_P3_002_006_Wave2","AdventureMode","","Normal","AD_N_P3_002_006","2","Environment_Adventure_Part3_NST2","CH10_F_C597_G1","47","","","","","CH10_M_C558_G1","47","","","","","CH10_B_C544_G1","47","","","",""
"AD_N_P3_002_007_Wave1","AdventureMode","","Normal","AD_N_P3_002_007","1","Environment_Adventure_Part3_NST2","CH10_F_C030_G1","47","","","","","CH10_M_C558_G1","47","","","","","CH10_B_C052_G1","47","","","",""
"AD_N_P3_002_007_Wave2","AdventureMode","","Normal","AD_N_P3_002_007","2","Environment_Adventure_Part3_NST2","CH10_F_C597_G1","47","CH10_F_C597_G1","47","","","CH10_M_C558_G1","47","","","","","CH10_B_C544_G1","47","","","",""
"AD_N_P3_002_008_Wave1","AdventureMode","","Normal","AD_N_P3_002_008","1","Environment_Adventure_Part3_NST2","CH10_F_C597_G1","47","","","","","CH10_M_C558_G1","47","","","","","CH10_B_C544_G1","47","","","",""
"AD_N_P3_002_008_Wave2","AdventureMode","","Normal","AD_N_P3_002_008","2","Environment_Adventure_Part3_NST2","CH10_F_C597_G1","47","CH10_F_C597_G1","47","","","CH10_M_C533_G1","47","","","","","CH10_B_C544_G1","47","","","",""
"AD_N_P3_002_009_Wave1","AdventureMode","","Normal","AD_N_P3_002_009","1","Environment_Adventure_Part3_NST2","CH10_F_C597_G1","48","","","","","CH10_M_C558_G1","48","","","","","CH10_B_C544_G1","48","","","",""
