"Random_Dummy","Random_Dummy_Group","Random","2","5"
"Adventure_RandomReword_Equip_Level2_14","Adventure_RandomReword_Equip_Level2_14","Random","1","3"
"Adventure_RandomReword_Equip_Level2_15","Adventure_RandomReword_Equip_Level2_15","Random","1","3"
"Adventure_RandomReword_Equip_Level3_1","Adventure_RandomReword_Equip_Level3_1","Random","1","3"
"Adventure_RandomReword_Equip_Level3_2","Adventure_RandomReword_Equip_Level3_2","Random","1","3"
"Adventure_RandomReword_Equip_Level3_3","Adventure_RandomReword_Equip_Level3_3","Random","1","3"
"Adventure_RandomReword_Equip_Level3_4","Adventure_RandomReword_Equip_Level3_4","Random","1","3"
"Adventure_RandomReword_Equip_Level3_5","Adventure_RandomReword_Equip_Level3_5","Random","1","3"
"Adventure_RandomReword_Equip_Level3_6","Adventure_RandomReword_Equip_Level3_6","Random","1","3"
"Adventure_RandomReword_Equip_Level3_7","Adventure_RandomReword_Equip_Level3_7","Random","1","3"
"Adventure_RandomReword_Equip_Level3_8","Adventure_RandomReword_Equip_Level3_8","Random","1","3"
"Adventure_RandomReword_Equip_Level3_9","Adventure_RandomReword_Equip_Level3_9","Random","1","3"
"Adventure_RandomReword_Equip_Level3_10","Adventure_RandomReword_Equip_Level3_10","Random","1","3"
"Adventure_RandomReword_Equip_Level3_11","Adventure_RandomReword_Equip_Level3_11","Random","1","3"
"Adventure_RandomReword_Equip_Level3_12","Adventure_RandomReword_Equip_Level3_12","Random","1","3"
"Adventure_RandomReword_Equip_Level3_13","Adventure_RandomReword_Equip_Level3_13","Random","1","3"
"Adventure_RandomReword_Equip_Level3_14","Adventure_RandomReword_Equip_Level3_14","Random","1","3"
"Adventure_RandomReword_Equip_Level3_15","Adventure_RandomReword_Equip_Level3_15","Random","1","3"
"Adventure_RandomReword_Equip_Level4_1","Adventure_RandomReword_Equip_Level4_1","Random","1","3"
"Adventure_RandomReword_Equip_Level4_2","Adventure_RandomReword_Equip_Level4_2","Random","1","3"
"Adventure_RandomReword_Equip_Level4_3","Adventure_RandomReword_Equip_Level4_3","Random","1","3"
"Adventure_RandomReword_Equip_Level4_4","Adventure_RandomReword_Equip_Level4_4","Random","1","3"
"Adventure_RandomReword_Equip_Level4_5","Adventure_RandomReword_Equip_Level4_5","Random","1","3"
"Adventure_RandomReword_Equip_Level4_6","Adventure_RandomReword_Equip_Level4_6","Random","1","3"
"Adventure_RandomReword_Equip_Level4_7","Adventure_RandomReword_Equip_Level4_7","Random","1","3"
"Adventure_RandomReword_Equip_Level4_8","Adventure_RandomReword_Equip_Level4_8","Random","1","3"
"Adventure_RandomReword_Equip_Level4_9","Adventure_RandomReword_Equip_Level4_9","Random","1","3"
"Adventure_RandomReword_Equip_Level4_10","Adventure_RandomReword_Equip_Level4_10","Random","1","3"
"Adventure_RandomReword_Equip_Level4_11","Adventure_RandomReword_Equip_Level4_11","Random","1","3"
"Adventure_RandomReword_Equip_Level4_12","Adventure_RandomReword_Equip_Level4_12","Random","1","3"
"Adventure_RandomReword_Equip_Level4_13","Adventure_RandomReword_Equip_Level4_13","Random","1","3"
"Adventure_RandomReword_Equip_Level4_14","Adventure_RandomReword_Equip_Level4_14","Random","1","3"
"Adventure_RandomReword_Equip_Level4_15","Adventure_RandomReword_Equip_Level4_15","Random","1","3"
"Adventure_RandomReword_Equip_Level5_1","Adventure_RandomReword_Equip_Level5_1","Random","1","3"
"Adventure_RandomReword_Equip_Level5_2","Adventure_RandomReword_Equip_Level5_2","Random","1","3"
"Adventure_RandomReword_Equip_Level5_3","Adventure_RandomReword_Equip_Level5_3","Random","1","3"
"Adventure_RandomReword_Equip_Level5_4","Adventure_RandomReword_Equip_Level5_4","Random","1","3"
"Adventure_RandomReword_Equip_Level5_5","Adventure_RandomReword_Equip_Level5_5","Random","1","3"
"Adventure_RandomReword_Equip_Level5_6","Adventure_RandomReword_Equip_Level5_6","Random","1","3"
"Adventure_RandomReword_Equip_Level5_7","Adventure_RandomReword_Equip_Level5_7","Random","1","3"
"Adventure_RandomReword_Equip_Level5_8","Adventure_RandomReword_Equip_Level5_8","Random","1","3"
"Adventure_RandomReword_Equip_Level5_9","Adventure_RandomReword_Equip_Level5_9","Random","1","3"
"Adventure_RandomReword_Equip_Level5_10","Adventure_RandomReword_Equip_Level5_10","Random","1","3"
"Adventure_RandomReword_Equip_Level5_11","Adventure_RandomReword_Equip_Level5_11","Random","1","3"
"Adventure_RandomReword_Equip_Level5_12","Adventure_RandomReword_Equip_Level5_12","Random","1","3"
"Adventure_RandomReword_Equip_Level5_13","Adventure_RandomReword_Equip_Level5_13","Random","1","3"
"Adventure_RandomReword_Equip_Level5_14","Adventure_RandomReword_Equip_Level5_14","Random","1","3"
"Adventure_RandomReword_Equip_Level5_15","Adventure_RandomReword_Equip_Level5_15","Random","1","3"
"Adventure_RandomReword_Equip_Level6_1","Adventure_RandomReword_Equip_Level6_1","Random","1","3"
"Adventure_RandomReword_Equip_Level6_2","Adventure_RandomReword_Equip_Level6_2","Random","1","3"
"Adventure_RandomReword_Equip_Level6_3","Adventure_RandomReword_Equip_Level6_3","Random","1","3"
"Adventure_RandomReword_Equip_Level6_4","Adventure_RandomReword_Equip_Level6_4","Random","1","3"
"Adventure_RandomReword_Equip_Level6_5","Adventure_RandomReword_Equip_Level6_5","Random","1","3"
"Adventure_RandomReword_Equip_Level6_6","Adventure_RandomReword_Equip_Level6_6","Random","1","3"
"Adventure_RandomReword_Equip_Level6_7","Adventure_RandomReword_Equip_Level6_7","Random","1","3"
"Adventure_RandomReword_Equip_Level6_8","Adventure_RandomReword_Equip_Level6_8","Random","1","3"
"Adventure_RandomReword_Equip_Level6_9","Adventure_RandomReword_Equip_Level6_9","Random","1","3"
"Adventure_RandomReword_Equip_Level6_10","Adventure_RandomReword_Equip_Level6_10","Random","1","3"
"Adventure_RandomReword_Equip_Level6_11","Adventure_RandomReword_Equip_Level6_11","Random","1","3"
"Adventure_RandomReword_Equip_Level6_12","Adventure_RandomReword_Equip_Level6_12","Random","1","3"
"Adventure_RandomReword_Equip_Level6_13","Adventure_RandomReword_Equip_Level6_13","Random","1","3"
"Adventure_RandomReword_Equip_Level6_14","Adventure_RandomReword_Equip_Level6_14","Random","1","3"
"Adventure_RandomReword_Equip_Level6_15","Adventure_RandomReword_Equip_Level6_15","Random","1","3"
"Adventure_RandomReword_Class_Level1_1","Adventure_RandomReword_Class_Level1_1","Random","1","3"
"Adventure_RandomReword_Class_Level1_2","Adventure_RandomReword_Class_Level1_2","Random","1","3"
"Adventure_RandomReword_Class_Level1_3","Adventure_RandomReword_Class_Level1_3","Random","1","3"
"Adventure_RandomReword_Class_Level1_4","Adventure_RandomReword_Class_Level1_4","Random","1","3"
"Adventure_RandomReword_Class_Level1_5","Adventure_RandomReword_Class_Level1_5","Random","1","3"
"Adventure_RandomReword_Class_Level1_6","Adventure_RandomReword_Class_Level1_6","Random","1","3"
"Adventure_RandomReword_Class_Level1_7","Adventure_RandomReword_Class_Level1_7","Random","1","3"
"Adventure_RandomReword_Class_Level1_8","Adventure_RandomReword_Class_Level1_8","Random","1","3"
"Adventure_RandomReword_Class_Level2_1","Adventure_RandomReword_Class_Level2_1","Random","1","3"
"Adventure_RandomReword_Class_Level2_2","Adventure_RandomReword_Class_Level2_2","Random","1","3"
"Adventure_RandomReword_Class_Level2_3","Adventure_RandomReword_Class_Level2_3","Random","1","3"
"Adventure_RandomReword_Class_Level2_4","Adventure_RandomReword_Class_Level2_4","Random","1","3"
"Adventure_RandomReword_Class_Level2_5","Adventure_RandomReword_Class_Level2_5","Random","1","3"
"Adventure_RandomReword_Class_Level2_6","Adventure_RandomReword_Class_Level2_6","Random","1","3"
"Adventure_RandomReword_Class_Level2_7","Adventure_RandomReword_Class_Level2_7","Random","1","3"
"Adventure_RandomReword_Class_Level2_8","Adventure_RandomReword_Class_Level2_8","Random","1","3"
"Adventure_RandomReword_Class_Level3_1","Adventure_RandomReword_Class_Level3_1","Random","1","3"
"Adventure_RandomReword_Class_Level3_2","Adventure_RandomReword_Class_Level3_2","Random","1","3"
"Adventure_RandomReword_Class_Level3_3","Adventure_RandomReword_Class_Level3_3","Random","1","3"
"Adventure_RandomReword_Class_Level3_4","Adventure_RandomReword_Class_Level3_4","Random","1","3"
"Adventure_RandomReword_Class_Level3_5","Adventure_RandomReword_Class_Level3_5","Random","1","3"
"Adventure_RandomReword_Class_Level3_6","Adventure_RandomReword_Class_Level3_6","Random","1","3"
"Adventure_RandomReword_Class_Level3_7","Adventure_RandomReword_Class_Level3_7","Random","1","3"
"Adventure_RandomReword_Class_Level3_8","Adventure_RandomReword_Class_Level3_8","Random","1","3"
"Adventure_Hard_RandomReword_1","Adventure_Hard_RandomReword_1","Random","1","3"
"Adventure_Hard_RandomReword_2","Adventure_Hard_RandomReword_2","Random","1","3"
"Adventure_Hard_RandomReword_3","Adventure_Hard_RandomReword_3","Random","1","3"
"Adventure_Hard_RandomReword_4","Adventure_Hard_RandomReword_4","Random","1","3"
"Adventure_Hard_RandomReword_5","Adventure_Hard_RandomReword_5","Random","1","3"
"Adventure_Hard_RandomReword_6","Adventure_Hard_RandomReword_6","Random","1","3"
"Adventure_Hard_RandomReword_7","Adventure_Hard_RandomReword_7","Random","1","3"
"Adventure_Hard_RandomReword_8","Adventure_Hard_RandomReword_8","Random","1","3"
"Adventure_Hard_RandomReword_9","Adventure_Hard_RandomReword_9","Random","1","3"
"Adventure_Hard_RandomReword_10","Adventure_Hard_RandomReword_10","Random","1","3"
"Adventure_Hard_RandomReword_11","Adventure_Hard_RandomReword_11","Random","1","3"
"Adventure_Hard_RandomReword_12","Adventure_Hard_RandomReword_12","Random","1","3"
"Adventure_Hard_RandomReword_13","Adventure_Hard_RandomReword_13","Random","1","3"
"Adventure_Hard_RandomReword_14","Adventure_Hard_RandomReword_14","Random","1","3"
"Adventure_Hard_RandomReword_15","Adventure_Hard_RandomReword_15","Random","1","3"
"Adventure_Hard_RandomReword_16","Adventure_Hard_RandomReword_16","Random","1","3"
"Adventure_Hard_RandomReword_17","Adventure_Hard_RandomReword_17","Random","1","3"
"Adventure_Hard_RandomReword_18","Adventure_Hard_RandomReword_18","Random","1","3"
"Adventure_Hard_RandomReword_19","Adventure_Hard_RandomReword_19","Random","1","3"
"Adventure_Hard_RandomReword_20","Adventure_Hard_RandomReword_20","Random","1","3"
"Adventure_Hard_RandomReword_21","Adventure_Hard_RandomReword_21","Random","1","3"
"Adventure_Hard_RandomReword_22","Adventure_Hard_RandomReword_22","Random","1","3"
"Adventure_Hard_RandomReword_23","Adventure_Hard_RandomReword_23","Random","1","3"
"Adventure_Hard_RandomReword_24","Adventure_Hard_RandomReword_24","Random","1","3"
"Adventure_Hard_RandomReword_25","Adventure_Hard_RandomReword_25","Random","1","3"
"Adventure_Hard_RandomReword_26","Adventure_Hard_RandomReword_26","Random","1","3"
"Adventure_Hard_RandomReword_27","Adventure_Hard_RandomReword_27","Random","1","3"
"Adventure_Hard_RandomReword_28","Adventure_Hard_RandomReword_28","Random","1","3"
"Adventure_Hard_RandomReword_29","Adventure_Hard_RandomReword_29","Random","1","3"
"Adventure_Hard_RandomReword_30","Adventure_Hard_RandomReword_30","Random","1","3"
"Adventure_Hard_RandomReword_31","Adventure_Hard_RandomReword_31","Random","1","3"
"Adventure_Hard_RandomReword_32","Adventure_Hard_RandomReword_32","Random","1","3"
"Adventure_Hard_RandomReword_33","Adventure_Hard_RandomReword_33","Random","1","3"
"Adventure_Hard_RandomReword_34","Adventure_Hard_RandomReword_34","Random","1","3"
"Adventure_Hard_RandomReword_35","Adventure_Hard_RandomReword_35","Random","1","3"
"Adventure_Hard_RandomReword_36","Adventure_Hard_RandomReword_36","Random","1","3"
"Adventure_Hard_RandomReword_37","Adventure_Hard_RandomReword_37","Random","1","3"
"Adventure_Hard_RandomReword_38","Adventure_Hard_RandomReword_38","Random","1","3"
"Adventure_Hard_RandomReword_39","Adventure_Hard_RandomReword_39","Random","1","3"
"Adventure_Hard_RandomReword_40","Adventure_Hard_RandomReword_40","Random","1","3"
"Adventure_Hard_RandomReword_41","Adventure_Hard_RandomReword_41","Random","1","3"
"Adventure_Hard_RandomReword_42","Adventure_Hard_RandomReword_42","Random","1","3"
"Adventure_Hard_RandomReword_43","Adventure_Hard_RandomReword_43","Random","1","3"
"Adventure_Hard_RandomReword_44","Adventure_Hard_RandomReword_44","Random","1","3"
"Adventure_Hard_RandomReword_45","Adventure_Hard_RandomReword_45","Random","1","3"
"Adventure_Hard_RandomReword_46","Adventure_Hard_RandomReword_46","Random","1","3"
"Adventure_Hard_RandomReword_47","Adventure_Hard_RandomReword_47","Random","1","3"
"Adventure_Hard_RandomReword_48","Adventure_Hard_RandomReword_48","Random","1","3"
"Dungeon_Heart_FirstReword_1","Dungeon_Heart_FirstReword_1","Fixed","",""
"Dungeon_Heart_FirstReword_2","Dungeon_Heart_FirstReword_2","Fixed","",""
"Dungeon_Heart_FirstReword_3","Dungeon_Heart_FirstReword_3","Fixed","",""
"Dungeon_Diamond_FirstReword_1","Dungeon_Diamond_FirstReword_1","Fixed","",""
"Dungeon_Diamond_FirstReword_2","Dungeon_Diamond_FirstReword_2","Fixed","",""
"Dungeon_Diamond_FirstReword_3","Dungeon_Diamond_FirstReword_3","Fixed","",""
"Dungeon_Clover_FirstReword_1","Dungeon_Clover_FirstReword_1","Fixed","",""
"Dungeon_Clover_FirstReword_2","Dungeon_Clover_FirstReword_2","Fixed","",""
"Dungeon_Clover_FirstReword_3","Dungeon_Clover_FirstReword_3","Fixed","",""
"Dungeon_Spade_FirstReword_1","Dungeon_Spade_FirstReword_1","Fixed","",""
"Dungeon_Spade_FirstReword_2","Dungeon_Spade_FirstReword_2","Fixed","",""
"Dungeon_Spade_FirstReword_3","Dungeon_Spade_FirstReword_3","Fixed","",""
"Dungeon_Spade_FirstReword_4","Dungeon_Spade_FirstReword_4","Fixed","",""
"Dungeon_Spade_FirstReword_5","Dungeon_Spade_FirstReword_5","Fixed","",""
"Dungeon_Spade_FirstReword_6","Dungeon_Spade_FirstReword_6","Fixed","",""
"Dungeon_Spade_FirstReword_7","Dungeon_Spade_FirstReword_7","Fixed","",""
"Dungeon_Spade_FirstReword_8","Dungeon_Spade_FirstReword_8","Fixed","",""
"Dungeon_Spade_FirstReword_9","Dungeon_Spade_FirstReword_9","Fixed","",""
"Dungeon_Fixed_Reword_1","Dungeon_Fixed_Reword_1","Fixed","",""
"Dungeon_Fixed_Reword_2","Dungeon_Fixed_Reword_2","Fixed","",""
"Dungeon_Fixed_Reword_3","Dungeon_Fixed_Reword_3","Fixed","",""
"Dungeon_Fixed_Reword_4","Dungeon_Fixed_Reword_4","Fixed","",""
"Dungeon_Fixed_Reword_5","Dungeon_Fixed_Reword_5","Fixed","",""
"Dungeon_Fixed_Reword_6","Dungeon_Fixed_Reword_6","Fixed","",""
"Dungeon_Fixed_Reword_7","Dungeon_Fixed_Reword_7","Fixed","",""
"Dungeon_Fixed_Reword_8","Dungeon_Fixed_Reword_8","Fixed","",""
"Dungeon_Fixed_Reword_9","Dungeon_Fixed_Reword_9","Fixed","",""
"Dungeon_Heart_RandomReword_1","Dungeon_Heart_RandomReword_1","Random","1","2"
"Dungeon_Heart_RandomReword_2","Dungeon_Heart_RandomReword_2","Random","1","2"
"Dungeon_Heart_RandomReword_3","Dungeon_Heart_RandomReword_3","Random","1","2"
"Dungeon_Diamond_RandomReword_1","Dungeon_Diamond_RandomReword_1","Random","1","2"
"Dungeon_Diamond_RandomReword_2","Dungeon_Diamond_RandomReword_2","Random","1","2"
"Dungeon_Diamond_RandomReword_3","Dungeon_Diamond_RandomReword_3","Random","1","2"
"Dungeon_Clover_RandomReword_1","Dungeon_Clover_RandomReword_1","Random","1","2"
"Dungeon_Clover_RandomReword_2","Dungeon_Clover_RandomReword_2","Random","1","2"
"Dungeon_Clover_RandomReword_3","Dungeon_Clover_RandomReword_3","Random","1","2"
"Dungeon_Spade_RandomReword_1","Dungeon_Spade_RandomReword_1","Random","1","2"
"Dungeon_Spade_RandomReword_2","Dungeon_Spade_RandomReword_2","Random","1","2"
"Dungeon_Spade_RandomReword_3","Dungeon_Spade_RandomReword_3","Random","1","2"
"Dungeon_Spade_RandomReword_4","Dungeon_Spade_RandomReword_4","Random","1","2"
"Ruins_FixedReword_1","Ruins_FixedReword_1","Fixed","",""
"Ruins_FixedReword_2","Ruins_FixedReword_2","Fixed","",""
"Ruins_FixedReword_3","Ruins_FixedReword_3","Fixed","",""
"Ruins_FixedReword_4","Ruins_FixedReword_4","Fixed","",""
"Ruins_FixedReword_5","Ruins_FixedReword_5","Fixed","",""
"Ruins_FixedReword_6","Ruins_FixedReword_6","Fixed","",""
"Ruins_FixedReword_7","Ruins_FixedReword_7","Fixed","",""
"Ruins_FixedReword_8","Ruins_FixedReword_8","Fixed","",""
"Ruins_FixedReword_9","Ruins_FixedReword_9","Fixed","",""
"Ruins_FristReword_1","Ruins_FristReword_1","Fixed","",""
"Ruins_FristReword_2","Ruins_FristReword_2","Fixed","",""
"Ruins_FristReword_3","Ruins_FristReword_3","Fixed","",""
"Ruins_FristReword_4","Ruins_FristReword_4","Fixed","",""
"Ruins_FristReword_5","Ruins_FristReword_5","Fixed","",""
"Ruins_FristReword_6","Ruins_FristReword_6","Fixed","",""
"Ruins_FristReword_7","Ruins_FristReword_7","Fixed","",""
"Ruins_FristReword_8","Ruins_FristReword_8","Fixed","",""
"Ruins_FristReword_9","Ruins_FristReword_9","Fixed","",""
"Ruins_RandomReword_1","Ruins_RandomReword_1","Random","1","2"
"Ruins_RandomReword_2","Ruins_RandomReword_2","Random","1","2"
"Ruins_RandomReword_3","Ruins_RandomReword_3","Random","1","2"
"Ruins_RandomReword_4","Ruins_RandomReword_4","Random","1","2"
"Ruins_RandomReword_5","Ruins_RandomReword_5","Random","1","2"
"Ruins_RandomReword_6","Ruins_RandomReword_6","Random","1","2"
"Ruins_RandomReword_7","Ruins_RandomReword_7","Random","1","2"
"Ruins_RandomReword_8","Ruins_RandomReword_8","Random","1","2"
"Ruins_RandomReword_9","Ruins_RandomReword_9","Random","1","2"
"Schedule_Reword_1","Schedule_Reword_1","Fixed","",""
"Schedule_Reword_2","Schedule_Reword_2","Fixed","",""
"Schedule_Reword_3","Schedule_Reword_3","Fixed","",""
"Schedule_Reword_4","Schedule_Reword_4","Fixed","",""
"Schedule_Reword_5","Schedule_Reword_5","Fixed","",""
"Ruins_Gold_FixedReword_1","Ruins_Gold_FixedReword_1","Fixed","",""
"Ruins_Gold_FixedReword_2","Ruins_Gold_FixedReword_2","Fixed","",""
"Ruins_Gold_FixedReword_3","Ruins_Gold_FixedReword_3","Fixed","",""
"Ruins_Gold_FixedReword_4","Ruins_Gold_FixedReword_4","Fixed","",""
"Ruins_Gold_FixedReword_5","Ruins_Gold_FixedReword_5","Fixed","",""
"Ruins_Gold_FixedReword_6","Ruins_Gold_FixedReword_6","Fixed","",""
"Ruins_Gold_FixedReword_7","Ruins_Gold_FixedReword_7","Fixed","",""
"Ruins_Gold_FixedReword_8","Ruins_Gold_FixedReword_8","Fixed","",""
"Ruins_Gold_FixedReword_9","Ruins_Gold_FixedReword_9","Fixed","",""
