id	uid	equipICon	equipShadowICon	unlockType	unlockId	unlockNum	status	equipName	equipName_zh_TW	equipName_en_UK	equipName_ja_JP	equipName_ko_KR	equipName_th_TH	equipJumpName	equipJumpName_zh_TW	equipJumpName_en_UK	equipJumpName_ja_JP	equipJumpName_ko_KR	equipJumpName_th_TH	description	description_zh_TW	description_en_UK	description_ja_JP	description_ko_KR	description_th_TH
60	625	7:goods_icon_4010116	132:equipment_icon_6	25	0	106070	1	幸运.爪饰	幸運.爪飾	Lucky - Claws	幸運装飾・爪	행운.장갑	โชค.กรงเล็บ	【天梯商店】	【天梯商店】	[Arena Shop]	【アリーナショップ】	[래더 상점]	[ร้านค้าสกาย]	【幸运.爪饰】主属性提供较低攻击值的部位	【幸運.爪飾】主屬性提供較低攻擊值的部位	[Lucky - Claws] Provides lower ATK as its primary stat.	「幸運装飾・爪」メインステータスが攻撃力をやや高める部位。	[행운.장갑] 메인 속성이 다른 부위보다 낮은 공격력을 제공	[Luck.​กรงเล็บ​]​ ตำแหน่ง​ที่​ให้​ค่า​ ATK​ ต่ำ​จาก​คุณสมบัติ​หลัก​
61	625	7:goods_icon_4010211	132:equipment_icon_1	25	0	106070	1	穿透.头饰	穿透.頭飾	Penetration - Headpiece	貫通装飾・頭部	관통.머리 장식	เจาะเกราะ.ประดับหัว	【天梯商店】	【天梯商店】	[Arena Shop]	【アリーナショップ】	[래더 상점]	[ร้านค้าสกาย]	【穿透.头饰】主属性提供较高生命值的部位	【穿透.頭飾】主屬性提供較高生命值的部位	[Penetration - Headpiece] Provides high HP as its primary stat.	「貫通装飾・頭部」メインステータスが最大HPを高める部位。	[관통.머리 장식] 메인 속성이 다른 부위보다 높은 HP를 제공	[​เจาะ​เกราะ​.​ประดับ​หัว​]​ ตำแหน่ง​ที่​ให้​ค่า​ HP​ สูง​จาก​คุณสมบัติ​หลัก​
62	625	7:goods_icon_4010212	132:equipment_icon_2	25	0	106070	1	穿透.耳饰	穿透.耳飾	Penetration - Earrings	貫通装飾・耳	관통.귀 장식	เจาะเกราะ.ต่างหู	【天梯商店】	【天梯商店】	[Arena Shop]	【アリーナショップ】	[래더 상점]	[ร้านค้าสกาย]	【穿透.耳饰】主属性提供较低生命值的部位	【穿透.耳飾】主屬性提供較低生命值的部位	[Penetration - Earrings] Provides lower HP as its primary stat.	「貫通装飾・耳」メインステータスが最大HPをやや高める部位。	[관통.귀 장식] 메인 속성이 다른 부위보다 낮은 HP를 제공	[​เจาะ​เกราะ​.​ต่างหู​]​ ตำแหน่ง​ที่​ให้​ค่า​ HP​ ต่ำ​จาก​คุณสมบัติ​หลัก​
63	625	7:goods_icon_4010213	132:equipment_icon_3	25	0	106070	1	穿透.颈环	穿透.頸環	Penetration - Necklace	貫通装飾・首	관통.목걸이	เจาะเกราะ.ปลอกคอ	【天梯商店】	【天梯商店】	[Arena Shop]	【アリーナショップ】	[래더 상점]	[ร้านค้าสกาย]	【穿透.颈环】主属性提供较高防御值的部位	【穿透.頸環】主屬性提供較高防禦值的部位	[Penetration - Necklace] Provides high DEF as its primary stat.	「貫通装飾・首」メインステータスが防御力を高める部位。	[관통.목걸이] 메인 속성이 다른 부위보다 높은 방어력을 제공	[​เจาะ​เกราะ​.​ปลอกคอ​]​ ตำแหน่ง​ที่​ให้​ค่า​ DEF​ สูง​จาก​คุณสมบัติ​หลัก​
64	625	7:goods_icon_4010214	132:equipment_icon_4	25	0	106070	1	穿透.嘴套	穿透.嘴套	Penetration - Mouthpiece	貫通装飾・顔	관통.마스크	เจาะเกราะ.ส่วนปาก	【天梯商店】	【天梯商店】	[Arena Shop]	【アリーナショップ】	[래더 상점]	[ร้านค้าสกาย]	【穿透.嘴套】主属性提供较低防御值的部位	【穿透.嘴套】主屬性提供較低防禦值的部位	[Penetration - Mouthpiece] Provides lower DEF as its primary stat.	「貫通装飾・顔」メインステータスが防御力をやや高める部位。	[관통.마스크] 메인 속성이 다른 부위보다 낮은 방어력을 제공	[​เจาะ​เกราะ​.​ส่วน​ปาก​]​ ตำแหน่ง​ที่​ให้​ค่า​ DEF​ ต่ำ​จาก​คุณสมบัติ​หลัก​
65	625	7:goods_icon_4010215	132:equipment_icon_5	25	0	106070	1	穿透.尾饰	穿透.尾飾	Penetration - Tailpiece	貫通装飾・尻尾	관통.꼬리 장식	เจาะเกราะ.ประดับหาง	【天梯商店】	【天梯商店】	[Arena Shop]	【アリーナショップ】	[래더 상점]	[ร้านค้าสกาย]	【穿透.尾饰】主属性提供较高攻击值的部位	【穿透.尾飾】主屬性提供較高攻擊值的部位	[Penetration - Tailpiece] Provides high ATK as its primary stat.	「貫通装飾・尻尾」メインステータスが攻撃力を高める部位。	[관통.꼬리 장식] 메인 속성이 다른 부위보다 높은 공격력을 제공	[​เจาะ​เกราะ​.​ประดับ​หาง​]​ ตำแหน่ง​ที่​ให้​ค่า​ ATK​ สูง​จาก​คุณสมบัติ​หลัก​
66	625	7:goods_icon_4010216	132:equipment_icon_6	25	0	106070	1	穿透.爪饰	穿透.爪飾	Penetration - Claws	貫通装飾・爪	관통.장갑	เจาะเกราะ.กรงเล็บ	【天梯商店】	【天梯商店】	[Arena Shop]	【アリーナショップ】	[래더 상점]	[ร้านค้าสกาย]	【穿透.爪饰】主属性提供较低攻击值的部位	【穿透.爪飾】主屬性提供較低攻擊值的部位	[Penetration - Claws] Provides lower ATK as its primary stat.	「貫通装飾・爪」メインステータスが攻撃力をやや高める部位。	[관통.장갑] 메인 속성이 다른 부위보다 낮은 공격력을 제공	[​เจาะ​เกราะ​.​ประดับ​หาง​]​ ตำแหน่ง​ที่​ให้​ค่า​ ATK​ ต่ำ​จาก​คุณสมบัติ​หลัก​
67	625	7:goods_icon_4010311	132:equipment_icon_1	25	0	106070	1	忍耐.头饰	忍耐.頭飾	Endurance - Headpiece	忍耐装飾・頭部	인내.머리 장식	อดทน.ประดับหัว	【天梯商店】	【天梯商店】	[Arena Shop]	【アリーナショップ】	[래더 상점]	[ร้านค้าสกาย]	【忍耐.头饰】主属性提供较高生命值的部位	【忍耐.頭飾】主屬性提供較高生命值的部位	[Endurance - Headpiece] Provides high HP as its primary stat.	「忍耐装飾・頭部」メインステータスが最大HPを高める部位。	[인내.머리 장식] 메인 속성이 다른 부위보다 높은 HP를 제공	[​อดทน​.​ประดับ​หัว​]​ ตำแหน่ง​ที่​ให้​ค่า​ HP​ สูง​จาก​คุณสมบัติ​หลัก​
68	625	7:goods_icon_4010312	132:equipment_icon_2	25	0	106070	1	忍耐.耳饰	忍耐.耳飾	Endurance - Earrings	忍耐装飾・耳	인내.귀 장식	อดทน.ต่างหู	【天梯商店】	【天梯商店】	[Arena Shop]	【アリーナショップ】	[래더 상점]	[ร้านค้าสกาย]	【忍耐.耳饰】主属性提供较低生命值的部位	【忍耐.耳飾】主屬性提供較低生命值的部位	[Endurance - Earrings] Provides lower HP as its primary stat.	「忍耐装飾・耳」メインステータスが最大HPをやや高める部位。	[인내.귀 장식] 메인 속성이 다른 부위보다 낮은 HP를 제공	[​อดทน​.​ต่างหู​]​ ตำแหน่ง​ที่​ให้​ค่า​ HP​ ต่ำ​จาก​คุณสมบัติ​หลัก​
69	625	7:goods_icon_4010313	132:equipment_icon_3	25	0	106070	1	忍耐.颈环	忍耐.頸環	Endurance - Necklace	忍耐装飾・首	인내.목걸이	อดทน.ปลอกคอ	【天梯商店】	【天梯商店】	[Arena Shop]	【アリーナショップ】	[래더 상점]	[ร้านค้าสกาย]	【忍耐.颈环】主属性提供较高防御值的部位	【忍耐.頸環】主屬性提供較高防禦值的部位	[Endurance - Necklace] Provides high DEF as its primary stat.	「忍耐装飾・首」メインステータスが防御力を高める部位。	[인내.목걸이] 메인 속성이 다른 부위보다 높은 방어력을 제공	[​อดทน​.​ปลอกคอ​]​ ตำแหน่ง​ที่​ให้​ค่า​ DEF​ สูง​จาก​คุณสมบัติ​หลัก​
70	625	7:goods_icon_4010314	132:equipment_icon_4	25	0	106070	1	忍耐.尾饰	忍耐.尾飾	Endurance - Tailpiece	忍耐装飾・尻尾	인내.꼬리 장식	อดทน.ประดับหาง	【天梯商店】	【天梯商店】	[Arena Shop]	【アリーナショップ】	[래더 상점]	[ร้านค้าสกาย]	【忍耐.尾饰】主属性提供较低防御值的部位	【忍耐.尾飾】主屬性提供較低防禦值的部位	[Endurance - Tailpiece] Provides lower DEF as its primary stat.	「忍耐装飾・尻尾」メインステータスが防御力をやや高める部位。	[인내.꼬리 장식] 메인 속성이 다른 부위보다 낮은 방어력을 제공	[​อดทน​.​ประดับ​หาง​]​ ตำแหน่ง​ที่​ให้​ค่า​ DEF​ สูง​จาก​คุณสมบัติ​หลัก​
71	625	7:goods_icon_4010315	132:equipment_icon_5	25	0	106070	1	忍耐.嘴套	忍耐.嘴套	Endurance - Mouthpiece	忍耐装飾・顔	인내.마스크	อดทน.ส่วนปาก	【天梯商店】	【天梯商店】	[Arena Shop]	【アリーナショップ】	[래더 상점]	[ร้านค้าสกาย]	【忍耐.嘴套】主属性提供较高攻击值的部位	【忍耐.嘴套】主屬性提供較高攻擊值的部位	[Endurance - Mouthpiece] Provides high ATK as its primary stat.	「忍耐装飾・顔」メインステータスが攻撃力を高める部位。	[인내.마스크] 메인 속성이 다른 부위보다 높은 공격력을 제공	[​อดทน​.​ส่วน​ปาก​]​ ตำแหน่ง​ที่​ให้​ค่า​ ATK​ สูง​จาก​คุณสมบัติ​หลัก​
72	625	7:goods_icon_4010316	132:equipment_icon_6	25	0	106070	1	忍耐.爪饰	忍耐.爪飾	Endurance - Claws	忍耐装飾・爪	인내.장갑	อดทน.กรงเล็บ	【天梯商店】	【天梯商店】	[Arena Shop]	【アリーナショップ】	[래더 상점]	[ร้านค้าสกาย]	【忍耐.爪饰】主属性提供较低攻击值的部位	【忍耐.爪飾】主屬性提供較低攻擊值的部位	[Endurance - Claws] Provides lower ATK as its primary stat.	「忍耐装飾・爪」メインステータスが攻撃力をやや高める部位。	[인내.장갑] 메인 속성이 다른 부위보다 낮은 공격력을 제공	[​อดทน​.​กรงเล็บ​]​ ตำแหน่ง​ที่​ให้​ค่า​ ATK​ ต่ำ​จาก​คุณสมบัติ​หลัก​
