id	openDay	isMainTask	Numtype	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	descr	descr_zh_TW	descr_en_UK	descr_ja_JP	descr_ko_KR	descr_th_TH
112	1		121	1407	2	1	5100012;4198001	1;5	511		1	累计任意1道料理升至C评级	累計任意1道料理升至C評級	Raise any Food's rating to C.	任意のレシピがランクCに達する	누적 1종류의 요리를 C급까지 상승	ปรุงอาหาร​ใด​ก็ได้​จนถึง​ระดับ​ C​	累计任意1道料理升至C评级	累計任意1道料理升至C評級	Raise any Food's rating to C.	任意のレシピがランクCに達する	누적 1종류의 요리를 C급까지 상승	ปรุงอาหาร​ใด​ก็ได้​จนถึง​ระดับ​ C​
312	3		122	1407	3	1	5100012;4198001	2;10	511		1	累计任意1道料理升至B评级	累計任意1道料理升至B評級	Raise any Food's rating to B.	任意のレシピがランクBに達する	누적 1종류의 요리를 B급까지 상승	ปรุงอาหาร​ใด​ก็ได้​จนถึง​ระดับ​ B​	累计任意1道料理升至B评级	累計任意1道料理升至B評級	Raise any Food's rating to B.	任意のレシピがランクBに達する	누적 1종류의 요리를 B급까지 상승	ปรุงอาหาร​ใด​ก็ได้​จนถึง​ระดับ​ B​
512	5		123	1407	4	1	5100013;4198001	2;15	511		1	累计任意1道料理升至A评级	累計任意1道料理升至A評級	Raise any Food's rating to A.	任意のレシピがランクAに達する	누적 1종류의 요리를 A급까지 상승	ปรุงอาหาร​ใด​ก็ได้​จนถึง​ระดับ​ A​	累计任意1道料理升至A评级	累計任意1道料理升至A評級	Raise any Food's rating to A.	任意のレシピがランクAに達する	누적 1종류의 요리를 A급까지 상승	ปรุงอาหาร​ใด​ก็ได้​จนถึง​ระดับ​ A​
712	7		124	1407	5	1	5100013;4198001	3;20	511		1	累计任意1道料理升至S评级	累計任意1道料理升至S評級	Raise any Food's rating to S.	任意のレシピがランクSに達する	누적 1종류의 요리를 S급까지 상승	ปรุงอาหาร​ใด​ก็ได้​จนถึง​ระดับ​ S​	累计任意1道料理升至S评级	累計任意1道料理升至S評級	Raise any Food's rating to S.	任意のレシピがランクSに達する	누적 1종류의 요리를 S급까지 상승	ปรุงอาหาร​ใด​ก็ได้​จนถึง​ระดับ​ S​
213	2		130	1118		5	3000013;4110001	100;5	723		1	累计参与5场幻影特训场	累計參與5場幻影特訓場	Complete 5 battles in Master Duel.	ファントム特訓に5回参加する	팬텀 특훈장 누적 5회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​สะสม​ 5​ ครั้ง​	累计参与5场幻影特训场	累計參與5場幻影特訓場	Complete 5 battles in Master Duel.	ファントム特訓に5回参加する	팬텀 특훈장 누적 5회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​สะสม​ 5​ ครั้ง​
313	3		130	1118		10	3000013;4110001	200;5	723		1	累计参与10场幻影特训场	累計參與10場幻影特訓場	Complete 10 battles in Master Duel.	ファントム特訓に10回参加する	팬텀 특훈장 누적 10회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​สะสม​ 10​ ครั้ง​	累计参与10场幻影特训场	累計參與10場幻影特訓場	Complete 10 battles in Master Duel.	ファントム特訓に10回参加する	팬텀 특훈장 누적 10회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​สะสม​ 10​ ครั้ง​
413	4		130	1118		15	3000013;4110001	300;5	723		1	累计参与15场幻影特训场	累計參與15場幻影特訓場	Complete 15 battles in Master Duel.	ファントム特訓に15回参加する	팬텀 특훈장 누적 15회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​สะสม​ 15​ ครั้ง​	累计参与15场幻影特训场	累計參與15場幻影特訓場	Complete 15 battles in Master Duel.	ファントム特訓に15回参加する	팬텀 특훈장 누적 15회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​สะสม​ 15​ ครั้ง​
513	5		130	1118		20	3000013;4110001	400;5	723		1	累计参与20场幻影特训场	累計參與20場幻影特訓場	Complete 20 battles in Master Duel.	ファントム特訓に20回参加する	팬텀 특훈장 누적 20회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​สะสม​ 20​ ครั้ง​	累计参与20场幻影特训场	累計參與20場幻影特訓場	Complete 20 battles in Master Duel.	ファントム特訓に20回参加する	팬텀 특훈장 누적 20회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​สะสม​ 20​ ครั้ง​
613	6		130	1118		25	3000013;4110001	500;5	723		1	累计参与25场幻影特训场	累計參與25場幻影特訓場	Complete 25 battles in Master Duel.	ファントム特訓に25回参加する	팬텀 특훈장 누적 25회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​สะสม​ 25​ ครั้ง​	累计参与25场幻影特训场	累計參與25場幻影特訓場	Complete 25 battles in Master Duel.	ファントム特訓に25回参加する	팬텀 특훈장 누적 25회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​สะสม​ 25​ ครั้ง​
713	7		130	1118		30	3000013;4110001	600;5	723		1	累计参与30场幻影特训场	累計參與30場幻影特訓場	Complete 30 battles in Master Duel.	ファントム特訓に30回参加する	팬텀 특훈장 누적 30회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​สะสม​ 30​ ครั้ง​	累计参与30场幻影特训场	累計參與30場幻影特訓場	Complete 30 battles in Master Duel.	ファントム特訓に30回参加する	팬텀 특훈장 누적 30회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​สะสม​ 30​ ครั้ง​
