<?xml version="1.0" encoding="utf-8" standalone="yes"?>
<root>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="10301" tutorial_type="分散型" tutorial_group="競技場" tutorial_hero_pic="2036" expression="face01" pic_side="左" comment_frame_x="180" comment_frame_y="300" comment="「ワールド」に進みなさい。" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="350" frame_posy="-232" frame_scalew="170" frame_scaleh="130" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10302" tutorial_type="分散型" tutorial_group="競技場" tutorial_hero_pic="2036" expression="face01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="「アリーナ」を選択しなさい。" frame_posx="390" frame_posy="10" frame_scalew="250" frame_scaleh="250" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10303" tutorial_type="分散型" tutorial_group="競技場" tutorial_hero_pic="2036" expression="face01" pic_side="右" comment_frame_x="0" comment_frame_y="180" comment="プレイヤーと対戦できるわ。&#xA;今は、1チームで競い合うわ。" frame_posx="-385" frame_posy="150" frame_scalew="406" frame_scaleh="258" arrow_side="無" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10304" tutorial_type="分散型" tutorial_group="競技場" tutorial_hero_pic="2036" expression="face01" pic_side="右" comment_frame_x="0" comment_frame_y="180" comment="「1vs1アリーナ」に進みなさい。" frame_posx="-352" frame_posy="130" frame_scalew="360" frame_scaleh="240" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10305" tutorial_type="分散型" tutorial_group="競技場" tutorial_hero_pic="2036" expression="face01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="対戦相手を確認できるわ。" frame_posx="-160" frame_posy="291" frame_scalew="788" frame_scaleh="556" arrow_side="無" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10306" tutorial_type="分散型" tutorial_group="競技場" tutorial_hero_pic="2036" expression="face01" pic_side="右" comment_frame_x="0" comment_frame_y="180" comment="「防御チーム」を選択しなさい。" frame_posx="-602" frame_posy="-165" frame_scalew="240" frame_scaleh="90" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10307" tutorial_type="分散型" tutorial_group="競技場" tutorial_hero_pic="2036" expression="face01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="防御チームを編成すると、対戦できるわ。&#xA;早速、挑戦しましょう！" frame_posx="136" frame_posy="-235" frame_scalew="210" frame_scaleh="90" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="10401" tutorial_type="分散型" tutorial_group="RAID戰" tutorial_hero_pic="2036" expression="face01" pic_side="左" comment_frame_x="180" comment_frame_y="300" comment="「ワールド」に進みなさい。" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="350" frame_posy="-232" frame_scalew="170" frame_scaleh="130" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10402" tutorial_type="分散型" tutorial_group="RAID戰" tutorial_hero_pic="2036" expression="face01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="「特殊ステージ」を選択しなさい。" frame_posx="390" frame_posy="280" frame_scalew="250" frame_scaleh="250" arrow_side="下" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10403" tutorial_type="分散型" tutorial_group="RAID戰" tutorial_hero_pic="2036" expression="face01" pic_side="右" comment_frame_x="0" comment_frame_y="180" comment="「霊脈強襲」に進みなさい。&#xA;プレイヤーと協力して、&#xA;強敵を倒すことができるわ。" frame_posx="-478" frame_posy="175" frame_scalew="496" frame_scaleh="178" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10404" tutorial_type="分散型" tutorial_group="RAID戰" tutorial_hero_pic="2036" expression="face01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="挑戦するにはアイテムやBPが必要よ。&#xA;早速、挑戦しましょう！" arrow_side="無" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="10501" tutorial_type="分散型" tutorial_group="公會" tutorial_hero_pic="2036" expression="face01" pic_side="左" comment_frame_x="180" comment_frame_y="300" comment="「ギルド」に進みなさい。" adjust_frame_pos_by_screen_size_x="X右" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="519" frame_posy="0" frame_scalew="120" frame_scaleh="120" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10502" tutorial_type="分散型" tutorial_group="公會" tutorial_hero_pic="2036" expression="face01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="プレイヤーと交流できるわ。&#xA;早速、所属しましょう！" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="10601" tutorial_type="分散型" tutorial_group="迷宮塔" tutorial_hero_pic="2036" expression="face01" pic_side="左" comment_frame_x="180" comment_frame_y="300" comment="「ワールド」に進みなさい。" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="350" frame_posy="-232" frame_scalew="170" frame_scaleh="130" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10602" tutorial_type="分散型" tutorial_group="迷宮塔" tutorial_hero_pic="2036" expression="face01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="「特殊ステージ」を選択しなさい。" frame_posx="390" frame_posy="280" frame_scalew="250" frame_scaleh="250" arrow_side="下" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10603" tutorial_type="分散型" tutorial_group="迷宮塔" tutorial_hero_pic="2036" expression="face01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="「訓練室」に進みなさい。&#xA;挑戦するたびに、&#xA;クエスト内容が変化するわ。" frame_posx="-20" frame_posy="175" frame_scalew="496" frame_scaleh="178" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10604" tutorial_type="分散型" tutorial_group="迷宮塔" tutorial_hero_pic="2036" expression="face01" pic_side="右" comment_frame_x="0" comment_frame_y="180" comment="1日あたりの挑戦回数には上限があるわ。&#xA;早速、挑戦しましょう！" frame_posx="-559" frame_posy="310" frame_scalew="1152" frame_scaleh="582" arrow_side="無" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="10701" tutorial_type="分散型" tutorial_group="大型競技場" tutorial_hero_pic="2036" expression="face01" pic_side="左" comment_frame_x="180" comment_frame_y="300" comment="「ワールド」に進みなさい。" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="350" frame_posy="-232" frame_scalew="170" frame_scaleh="130" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10702" tutorial_type="分散型" tutorial_group="大型競技場" tutorial_hero_pic="2036" expression="face01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="「アリーナ」を選択しなさい。" frame_posx="390" frame_posy="10" frame_scalew="250" frame_scaleh="250" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10703" tutorial_type="分散型" tutorial_group="大型競技場" tutorial_hero_pic="2036" expression="face01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="プレイヤーと対戦できるわ。&#xA;今は、3チームで競い合うわ。" frame_posx="-10" frame_posy="130" frame_scalew="360" frame_scaleh="240" arrow_side="無" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10704" tutorial_type="分散型" tutorial_group="大型競技場" tutorial_hero_pic="2036" expression="face01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="「3vs3アリーナ」に進みなさい。" frame_posx="-22" frame_posy="150" frame_scalew="406" frame_scaleh="258" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10705" tutorial_type="分散型" tutorial_group="大型競技場" tutorial_hero_pic="2036" expression="face01" pic_side="右" comment_frame_x="0" comment_frame_y="180" comment="対戦相手を確認できるわ。" frame_posx="-160" frame_posy="291" frame_scalew="788" frame_scaleh="556" arrow_side="無" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10706" tutorial_type="分散型" tutorial_group="大型競技場" tutorial_hero_pic="2036" expression="face01" pic_side="右" comment_frame_x="0" comment_frame_y="180" comment="「防御チーム」を選択しなさい。" frame_posx="-602" frame_posy="-165" frame_scalew="240" frame_scaleh="90" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10707" tutorial_type="分散型" tutorial_group="大型競技場" tutorial_hero_pic="2036" expression="face01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="防御チームを編成すると、対戦できるわ。&#xA;早速、挑戦しましょう！" frame_posx="136" frame_posy="-235" frame_scalew="210" frame_scaleh="90" arrow_side="無" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="10801" tutorial_type="分散型" tutorial_group="技能強化" tutorial_hero_pic="2036" expression="01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="スキルを確認できるわ。" adjust_frame_pos_by_screen_size_x="X右" adjust_frame_pos_by_screen_size_y="Y上" frame_posx="134" frame_posy="362" frame_scalew="152" frame_scaleh="84" arrow_side="下" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="10802" tutorial_type="分散型" tutorial_group="技能強化" tutorial_hero_pic="2036" expression="01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="代金証票を消費して、強化しましょう！" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="11001" tutorial_type="分散型" tutorial_group="記憶解放" tutorial_hero_pic="2036" expression="01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="奥義、パッシブスキルを確認できるわ。" adjust_frame_pos_by_screen_size_x="X右" adjust_frame_pos_by_screen_size_y="Y上" frame_posx="241" frame_posy="362" frame_scalew="152" frame_scaleh="84" arrow_side="下" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="11002" tutorial_type="分散型" tutorial_group="記憶解放" tutorial_hero_pic="2036" expression="01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="クリスタルを消費して、強化しましょう！" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="11101" tutorial_type="分散型" tutorial_group="裝備強化" tutorial_hero_pic="2036" expression="01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="魔装を獲得したわ。&#xA;「アイテム」に進みなさい。" adjust_frame_pos_by_screen_size_x="X右" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="429" frame_posy="-110" frame_scalew="120" frame_scaleh="120" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="11102" tutorial_type="分散型" tutorial_group="裝備強化" tutorial_hero_pic="2036" expression="01" pic_side="右" comment_frame_x="0" comment_frame_y="180" comment="「魔装」を選択しなさい。" adjust_frame_pos_by_screen_size_x="X左" adjust_frame_pos_by_screen_size_y="Y上" frame_posx="54" frame_posy="360" frame_scalew="220" frame_scaleh="90" arrow_side="下" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="11103" tutorial_type="分散型" tutorial_group="裝備強化" tutorial_hero_pic="2036" expression="01" pic_side="右" comment_frame_x="0" comment_frame_y="180" comment="魔装を選択しなさい。" frame_posx="-601" frame_posy="220" frame_scalew="150" frame_scaleh="150" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="11104" tutorial_type="分散型" tutorial_group="裝備強化" tutorial_hero_pic="2036" expression="01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="魔力メンテ剤を消費して、強化しましょう！" black_block="false" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="11105" tutorial_type="分散型" tutorial_group="裝備強化" tutorial_hero_pic="2036" expression="01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="「強化」をクリックしなさい。" frame_posx="343" frame_posy="-265" frame_scalew="230" frame_scaleh="90" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="11106" tutorial_type="分散型" tutorial_group="裝備強化" tutorial_hero_pic="2036" expression="01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="同じ魔装を消費すると、&#xA;Lv上限を突破できるわ。" black_block="false" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial black_block="false" other_start="false" h_only="false"/>
	<tutorial id="11201" tutorial_type="分散型" tutorial_group="飾品等級強化" tutorial_hero_pic="2036" expression="01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="魔導具を獲得したわ。&#xA;「アイテム」に進みなさい。" adjust_frame_pos_by_screen_size_x="X右" adjust_frame_pos_by_screen_size_y="Y下" frame_posx="429" frame_posy="-110" frame_scalew="120" frame_scaleh="120" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="11202" tutorial_type="分散型" tutorial_group="飾品等級強化" tutorial_hero_pic="2036" expression="01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="「魔装」を選択しなさい。" adjust_frame_pos_by_screen_size_x="X左" adjust_frame_pos_by_screen_size_y="Y上" frame_posx="54" frame_posy="360" frame_scalew="220" frame_scaleh="90" arrow_side="下" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="11203" tutorial_type="分散型" tutorial_group="飾品等級強化" tutorial_hero_pic="2036" expression="01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="「魔導具」に進みなさい。" adjust_frame_pos_by_screen_size_x="X右" adjust_frame_pos_by_screen_size_y="Y上" frame_posx="319" frame_posy="360" frame_scalew="320" frame_scaleh="86" arrow_side="下" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="11204" tutorial_type="分散型" tutorial_group="飾品等級強化" tutorial_hero_pic="2036" expression="01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="魔導具を選択しなさい。" frame_posx="-149" frame_posy="220" frame_scalew="150" frame_scaleh="150" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="11205" tutorial_type="分散型" tutorial_group="飾品等級強化" tutorial_hero_pic="2036" expression="01" pic_side="左" comment_frame_x="0" comment_frame_y="180" comment="「強化」をクリックしなさい。" frame_posx="438" frame_posy="-165" frame_scalew="180" frame_scaleh="90" arrow_side="上" black_block="true" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
	<tutorial id="11206" tutorial_type="分散型" tutorial_group="飾品等級強化" tutorial_hero_pic="2036" expression="01" pic_side="右" comment_frame_x="0" comment_frame_y="180" comment="アイテムを消費して、強化しましょう！" black_block="false" skip_posx="-58" skip_posy="-34" other_start="false" h_only="false"/>
</root>
