id	pos	type	roleId	attAddTypeId	attAddNum	exId	addBuffId	star	exBuffId	exStar	icon	groupId	costItem	costNum	status
10401020	20	3	104010				93001	1			88:talent_ico_81104010	1	417200;300022;300003	20;9000;90000	1
10401021	21	1	104010	201;101	130;319						88:talent_ico_720003	1	300022;300003	6000;60000	1
10401022	22	1	104010	101;301	319;2599						88:talent_ico_720003	1	300022;300003	6000;60000	1
10401023	23	1	104010	301;201	2599;130						88:talent_ico_720003	1	300022;300003	6000;60000	1
10401024	24	2	104010	301;201;101;1501	3899;195;239;0.06						88:talent_ico_720003	1	417200;300022;300003	20;9000;90000	1
10401025	25	1	104010	101;301	319;2599						88:talent_ico_720003	1	300022;300003	6000;60000	1
10401026	26	1	104010	301;201	2599;130						88:talent_ico_720003	1	300022;300003	6000;60000	1
10401027	27	1	104010	201;101	130;319						88:talent_ico_720003	1	300022;300003	6000;60000	1
10401028	28	3	104010			10401020	93002	1	93001	1	88:talent_ico_82104010	1	417300;300022;300003	20;15000;150000	1
10100801	1	1	101008	301;201	817;47						88:talent_ico_730001	1	300022;300003	2000;20000	1
10100802	2	1	101008	201;101	47;132						88:talent_ico_730001	1	300022;300003	2500;25000	1
10100803	3	1	101008	101;301	132;817						88:talent_ico_730001	1	300022;300003	2500;25000	1
10100804	4	2	101008	301;201;101;603	1635;94;132;0.02						88:talent_ico_730001	1	417100;300022;300003	20;5000;50000	1
10100805	5	1	101008	301;201	1362;79						88:talent_ico_730002	1	300022;300003	3000;30000	1
10100806	6	1	101008	201;101	79;220						88:talent_ico_730002	1	300022;300003	4000;40000	1
10100807	7	1	101008	101;301	220;1362						88:talent_ico_730002	1	300022;300003	4000;40000	1
10100808	8	2	101008	301;201;101;603	2725;157;220;0.03						88:talent_ico_730002	1	417100;300022;300003	30;6000;60000	1
10100809	9	1	101008	201;101	79;220						88:talent_ico_730002	1	300022;300003	4000;40000	1
10100810	10	1	101008	101;301	220;1362						88:talent_ico_730002	1	300022;300003	4000;40000	1
10100811	11	1	101008	301;201	1362;79						88:talent_ico_730002	1	300022;300003	3000;30000	1
10100812	12	3	101008				91015	1			88:talent_ico_71101008	1	417200;300022;300003	20;9000;90000	1
10100813	13	1	101008	301;201	2180;126						88:talent_ico_730003	1	300022;300003	6000;60000	1
10100814	14	1	101008	201;101	126;352						88:talent_ico_730003	1	300022;300003	6000;60000	1
10100815	15	1	101008	101;301	352;2180						88:talent_ico_730003	1	300022;300003	6000;60000	1
10100816	16	3	101008			10100812	92015	1	91015	1	88:talent_ico_72101008	1	417300;300022;300003	20;15000;150000	1
10100817	17	1	101008	101;301	220;1362						88:talent_ico_730002	1	300022;300003	4000;40000	1
10100818	18	1	101008	301;201	1362;79						88:talent_ico_730002	1	300022;300003	3000;30000	1
10100819	19	1	101008	201;101	79;220						88:talent_ico_730002	1	300022;300003	4000;40000	1
10100820	20	3	101008				91019	1			88:talent_ico_81101008	1	417200;300022;300003	20;9000;90000	1
10100821	21	1	101008	201;101	126;352						88:talent_ico_730003	1	300022;300003	6000;60000	1
10100822	22	1	101008	101;301	352;2180						88:talent_ico_730003	1	300022;300003	6000;60000	1
10100823	23	1	101008	301;201	2180;126						88:talent_ico_730003	1	300022;300003	6000;60000	1
10100824	24	2	101008	301;201;101;603	3270;189;264;0.03						88:talent_ico_730003	1	417200;300022;300003	20;9000;90000	1
10100825	25	1	101008	101;301	352;2180						88:talent_ico_730003	1	300022;300003	6000;60000	1
10100826	26	1	101008	301;201	2180;126						88:talent_ico_730003	1	300022;300003	6000;60000	1
10100827	27	1	101008	201;101	126;352						88:talent_ico_730003	1	300022;300003	6000;60000	1
10100828	28	3	101008			10100820	92019	1	91019	1	88:talent_ico_82101008	1	417300;300022;300003	20;15000;150000	1
10401601	1	1	104016	301;201	817;47						88:talent_ico_730001	1	300022;300003	2000;20000	1
10401602	2	1	104016	201;101	47;132						88:talent_ico_730001	1	300022;300003	2500;25000	1
10401603	3	1	104016	101;301	132;817						88:talent_ico_730001	1	300022;300003	2500;25000	1
10401604	4	2	104016	301;201;101;703	1635;94;132;0.03						88:talent_ico_730001	1	417100;300022;300003	20;5000;50000	1
10401605	5	1	104016	301;201	1362;79						88:talent_ico_730002	1	300022;300003	3000;30000	1
10401606	6	1	104016	201;101	79;220						88:talent_ico_730002	1	300022;300003	4000;40000	1
10401607	7	1	104016	101;301	220;1362						88:talent_ico_730002	1	300022;300003	4000;40000	1
10401608	8	2	104016	301;201;101;703	2725;157;220;0.05						88:talent_ico_730002	1	417100;300022;300003	30;6000;60000	1
10401609	9	1	104016	201;101	79;220						88:talent_ico_730002	1	300022;300003	4000;40000	1
10401610	10	1	104016	101;301	220;1362						88:talent_ico_730002	1	300022;300003	4000;40000	1
10401611	11	1	104016	301;201	1362;79						88:talent_ico_730002	1	300022;300003	3000;30000	1
10401612	12	3	104016				91015	1			88:talent_ico_71104016	1	417200;300022;300003	20;9000;90000	1
10401613	13	1	104016	301;201	2180;126						88:talent_ico_730003	1	300022;300003	6000;60000	1
10401614	14	1	104016	201;101	126;352						88:talent_ico_730003	1	300022;300003	6000;60000	1
10401615	15	1	104016	101;301	352;2180						88:talent_ico_730003	1	300022;300003	6000;60000	1
10401616	16	3	104016			10401612	92015	1	91015	1	88:talent_ico_72104016	1	417300;300022;300003	20;15000;150000	1
10401617	17	1	104016	101;301	220;1362						88:talent_ico_730002	1	300022;300003	4000;40000	1
10401618	18	1	104016	301;201	1362;79						88:talent_ico_730002	1	300022;300003	3000;30000	1
10401619	19	1	104016	201;101	79;220						88:talent_ico_730002	1	300022;300003	4000;40000	1
10401620	20	3	104016				91019	1			88:talent_ico_81104016	1	417200;300022;300003	20;9000;90000	1
10401621	21	1	104016	201;101	126;352						88:talent_ico_730003	1	300022;300003	6000;60000	1
10401622	22	1	104016	101;301	352;2180						88:talent_ico_730003	1	300022;300003	6000;60000	1
10401623	23	1	104016	301;201	2180;126						88:talent_ico_730003	1	300022;300003	6000;60000	1
10401624	24	2	104016	301;201;101;703	3270;189;264;0.08						88:talent_ico_730003	1	417200;300022;300003	20;9000;90000	1
10401625	25	1	104016	101;301	352;2180						88:talent_ico_730003	1	300022;300003	6000;60000	1
10401626	26	1	104016	301;201	2180;126						88:talent_ico_730003	1	300022;300003	6000;60000	1
10401627	27	1	104016	201;101	126;352						88:talent_ico_730003	1	300022;300003	6000;60000	1
10401628	28	3	104016			10401620	92019	1	91019	1	88:talent_ico_82104016	1	417300;300022;300003	20;15000;150000	1
10101301	1	1	101013	301;201	817;47						88:talent_ico_730001	1	300022;300003	2000;20000	1
10101302	2	1	101013	201;101	47;132						88:talent_ico_730001	1	300022;300003	2500;25000	1
10101303	3	1	101013	101;301	132;817						88:talent_ico_730001	1	300022;300003	2500;25000	1
10101304	4	2	101013	301;201;101;603	1635;94;132;0.02						88:talent_ico_730001	1	417100;300022;300003	20;5000;50000	1
10101305	5	1	101013	301;201	1362;79						88:talent_ico_730002	1	300022;300003	3000;30000	1
10101306	6	1	101013	201;101	79;220						88:talent_ico_730002	1	300022;300003	4000;40000	1
10101307	7	1	101013	101;301	220;1362						88:talent_ico_730002	1	300022;300003	4000;40000	1
10101308	8	2	101013	301;201;101;603	2725;157;220;0.03						88:talent_ico_730002	1	417100;300022;300003	30;6000;60000	1
10101309	9	1	101013	201;101	79;220						88:talent_ico_730002	1	300022;300003	4000;40000	1
10101310	10	1	101013	101;301	220;1362						88:talent_ico_730002	1	300022;300003	4000;40000	1
10101311	11	1	101013	301;201	1362;79						88:talent_ico_730002	1	300022;300003	3000;30000	1
10101312	12	3	101013				91101013	1			88:talent_ico_71101013	1	417200;300022;300003	20;9000;90000	1
10101313	13	1	101013	301;201	2180;126						88:talent_ico_730003	1	300022;300003	6000;60000	1
10101314	14	1	101013	201;101	126;352						88:talent_ico_730003	1	300022;300003	6000;60000	1
10101315	15	1	101013	101;301	352;2180						88:talent_ico_730003	1	300022;300003	6000;60000	1
10101316	16	3	101013			10101312	91101013	2	91101013	1	88:talent_ico_72101013	1	417300;300022;300003	20;15000;150000	1
10101317	17	1	101013	101;301	220;1362						88:talent_ico_730002	1	300022;300003	4000;40000	1
10101318	18	1	101013	301;201	1362;79						88:talent_ico_730002	1	300022;300003	3000;30000	1
10101319	19	1	101013	201;101	79;220						88:talent_ico_730002	1	300022;300003	4000;40000	1
10101320	20	3	101013				93001	1			88:talent_ico_81101013	1	417200;300022;300003	20;9000;90000	1
10101321	21	1	101013	201;101	126;352						88:talent_ico_730003	1	300022;300003	6000;60000	1
10101322	22	1	101013	101;301	352;2180						88:talent_ico_730003	1	300022;300003	6000;60000	1
10101323	23	1	101013	301;201	2180;126						88:talent_ico_730003	1	300022;300003	6000;60000	1
10101324	24	2	101013	301;201;101;603	3270;189;264;0.03						88:talent_ico_730003	1	417200;300022;300003	20;9000;90000	1
10101325	25	1	101013	101;301	352;2180						88:talent_ico_730003	1	300022;300003	6000;60000	1
10101326	26	1	101013	301;201	2180;126						88:talent_ico_730003	1	300022;300003	6000;60000	1
10101327	27	1	101013	201;101	126;352						88:talent_ico_730003	1	300022;300003	6000;60000	1
10101328	28	3	101013			10101320	93002	1	93001	1	88:talent_ico_82101013	1	417300;300022;300003	20;15000;150000	1
10200901	1	1	102009	301;201	778;45						88:talent_ico_730001	1	300022;300003	1600;16000	1
10200902	2	1	102009	201;101	45;126						88:talent_ico_730001	1	300022;300003	2000;20000	1
10200903	3	1	102009	101;301	126;778						88:talent_ico_730001	1	300022;300003	2000;20000	1
10200904	4	2	102009	301;201;101;603	1557;90;126;0.02						88:talent_ico_730001	1	417100;300022;300003	16;4000;40000	1
10200905	5	1	102009	301;201	1297;75						88:talent_ico_730002	1	300022;300003	2400;24000	1
10200906	6	1	102009	201;101	75;210						88:talent_ico_730002	1	300022;300003	3200;32000	1
10200907	7	1	102009	101;301	210;1297						88:talent_ico_730002	1	300022;300003	3200;32000	1
10200908	8	2	102009	301;201;101;603	2595;150;210;0.03						88:talent_ico_730002	1	417100;300022;300003	24;4800;48000	1
10200909	9	1	102009	201;101	75;210						88:talent_ico_730002	1	300022;300003	3200;32000	1
10200910	10	1	102009	101;301	210;1297						88:talent_ico_730002	1	300022;300003	3200;32000	1
10200911	11	1	102009	301;201	1297;75						88:talent_ico_730002	1	300022;300003	2400;24000	1
10200912	12	3	102009				91015	1			88:talent_ico_71102009	1	417200;300022;300003	16;7200;72000	1
10200913	13	1	102009	301;201	2076;120						88:talent_ico_730003	1	300022;300003	4800;48000	1
10200914	14	1	102009	201;101	120;335						88:talent_ico_730003	1	300022;300003	4800;48000	1
10200915	15	1	102009	101;301	335;2076						88:talent_ico_730003	1	300022;300003	4800;48000	1
10200916	16	3	102009			10200912	92015	1	91015	1	88:talent_ico_72102009	1	417300;300022;300003	16;12000;120000	1
10200917	17	1	102009	101;301	210;1297						88:talent_ico_730002	1	300022;300003	3200;32000	1
10200918	18	1	102009	301;201	1297;75						88:talent_ico_730002	1	300022;300003	2400;24000	1
10200919	19	1	102009	201;101	75;210						88:talent_ico_730002	1	300022;300003	3200;32000	1
10200920	20	3	102009				93001	1			88:talent_ico_81102009	1	417200;300022;300003	16;7200;72000	1
10200921	21	1	102009	201;101	120;335						88:talent_ico_730003	1	300022;300003	4800;48000	1
10200922	22	1	102009	101;301	335;2076						88:talent_ico_730003	1	300022;300003	4800;48000	1
10200923	23	1	102009	301;201	2076;120						88:talent_ico_730003	1	300022;300003	4800;48000	1
10200924	24	2	102009	301;201;101;603	3114;180;251;0.03						88:talent_ico_730003	1	417200;300022;300003	16;7200;72000	1
10200925	25	1	102009	101;301	335;2076						88:talent_ico_730003	1	300022;300003	4800;48000	1
10200926	26	1	102009	301;201	2076;120						88:talent_ico_730003	1	300022;300003	4800;48000	1
10200927	27	1	102009	201;101	120;335						88:talent_ico_730003	1	300022;300003	4800;48000	1
10200928	28	3	102009			10200920	93002	1	93001	1	88:talent_ico_82102009	1	417300;300022;300003	16;12000;120000	1
10201401	1	1	102014	301;201	975;49						88:talent_ico_720001	1	300022;300003	2000;20000	1
10201402	2	1	102014	201;101	49;113						88:talent_ico_720001	1	300022;300003	2500;25000	1
10201403	3	1	102014	101;301	113;975						88:talent_ico_720001	1	300022;300003	2500;25000	1
10201404	4	2	102014	301;201;101;703	1949;97;113;0.03						88:talent_ico_720001	1	417100;300022;300003	20;5000;50000	1
10201405	5	1	102014	301;201	1624;81						88:talent_ico_720002	1	300022;300003	3000;30000	1
10201406	6	1	102014	201;101	81;189						88:talent_ico_720002	1	300022;300003	4000;40000	1
10201407	7	1	102014	101;301	189;1624						88:talent_ico_720002	1	300022;300003	4000;40000	1
10201408	8	2	102014	301;201;101;703	3249;162;189;0.05						88:talent_ico_720002	1	417100;300022;300003	30;6000;60000	1
10201409	9	1	102014	201;101	81;189						88:talent_ico_720002	1	300022;300003	4000;40000	1
10201410	10	1	102014	101;301	189;1624						88:talent_ico_720002	1	300022;300003	4000;40000	1
10201411	11	1	102014	301;201	1624;81						88:talent_ico_720002	1	300022;300003	3000;30000	1
10201412	12	3	102014				91015	1			88:talent_ico_71102014	1	417200;300022;300003	20;9000;90000	1
10201413	13	1	102014	301;201	2599;130						88:talent_ico_720003	1	300022;300003	6000;60000	1
10201414	14	1	102014	201;101	130;302						88:talent_ico_720003	1	300022;300003	6000;60000	1
10201415	15	1	102014	101;301	302;2599						88:talent_ico_720003	1	300022;300003	6000;60000	1
10201416	16	3	102014			10201412	92015	1	91015	1	88:talent_ico_72102014	1	417300;300022;300003	20;15000;150000	1
10201417	17	1	102014	101;301	189;1624						88:talent_ico_720002	1	300022;300003	4000;40000	1
10201418	18	1	102014	301;201	1624;81						88:talent_ico_720002	1	300022;300003	3000;30000	1
10201419	19	1	102014	201;101	81;189						88:talent_ico_720002	1	300022;300003	4000;40000	1
10201420	20	3	102014				93001	1			88:talent_ico_81102014	1	417200;300022;300003	20;9000;90000	1
10201421	21	1	102014	201;101	130;302						88:talent_ico_720003	1	300022;300003	6000;60000	1
10201422	22	1	102014	101;301	302;2599						88:talent_ico_720003	1	300022;300003	6000;60000	1
10201423	23	1	102014	301;201	2599;130						88:talent_ico_720003	1	300022;300003	6000;60000	1
10201424	24	2	102014	301;201;101;703	3899;195;226;0.08						88:talent_ico_720003	1	417200;300022;300003	20;9000;90000	1
10201425	25	1	102014	101;301	302;2599						88:talent_ico_720003	1	300022;300003	6000;60000	1
10201426	26	1	102014	301;201	2599;130						88:talent_ico_720003	1	300022;300003	6000;60000	1
10201427	27	1	102014	201;101	130;302						88:talent_ico_720003	1	300022;300003	6000;60000	1
10201428	28	3	102014			10201420	93002	1	93001	1	88:talent_ico_82102014	1	417300;300022;300003	20;15000;150000	1
10300601	1	1	103006	301;201	817;47						88:talent_ico_730001	1	300022;300003	2000;20000	1
10300602	2	1	103006	201;101	47;132						88:talent_ico_730001	1	300022;300003	2500;25000	1
10300603	3	1	103006	101;301	132;817						88:talent_ico_730001	1	300022;300003	2500;25000	1
10300604	4	2	103006	301;201;101;603	1635;94;132;0.02						88:talent_ico_730001	1	417100;300022;300003	20;5000;50000	1
10300605	5	1	103006	301;201	1362;79						88:talent_ico_730002	1	300022;300003	3000;30000	1
10300606	6	1	103006	201;101	79;220						88:talent_ico_730002	1	300022;300003	4000;40000	1
10300607	7	1	103006	101;301	220;1362						88:talent_ico_730002	1	300022;300003	4000;40000	1
10300608	8	2	103006	301;201;101;603	2725;157;220;0.03						88:talent_ico_730002	1	417100;300022;300003	30;6000;60000	1
10300609	9	1	103006	201;101	79;220						88:talent_ico_730002	1	300022;300003	4000;40000	1
10300610	10	1	103006	101;301	220;1362						88:talent_ico_730002	1	300022;300003	4000;40000	1
10300611	11	1	103006	301;201	1362;79						88:talent_ico_730002	1	300022;300003	3000;30000	1
10300612	12	3	103006				91018	1			88:talent_ico_71103006	1	417200;300022;300003	20;9000;90000	1
10300613	13	1	103006	301;201	2180;126						88:talent_ico_730003	1	300022;300003	6000;60000	1
10300614	14	1	103006	201;101	126;352						88:talent_ico_730003	1	300022;300003	6000;60000	1
10300615	15	1	103006	101;301	352;2180						88:talent_ico_730003	1	300022;300003	6000;60000	1
10300616	16	3	103006			10300612	92018	1	91018	1	88:talent_ico_72103006	1	417300;300022;300003	20;15000;150000	1
10300617	17	1	103006	101;301	220;1362						88:talent_ico_730002	1	300022;300003	4000;40000	1
10300618	18	1	103006	301;201	1362;79						88:talent_ico_730002	1	300022;300003	3000;30000	1
10300619	19	1	103006	201;101	79;220						88:talent_ico_730002	1	300022;300003	4000;40000	1
10300620	20	3	103006				91017	1			88:talent_ico_81103006	1	417200;300022;300003	20;9000;90000	1
10300621	21	1	103006	201;101	126;352						88:talent_ico_730003	1	300022;300003	6000;60000	1
10300622	22	1	103006	101;301	352;2180						88:talent_ico_730003	1	300022;300003	6000;60000	1
10300623	23	1	103006	301;201	2180;126						88:talent_ico_730003	1	300022;300003	6000;60000	1
10300624	24	2	103006	301;201;101;603	3270;189;264;0.03						88:talent_ico_730003	1	417200;300022;300003	20;9000;90000	1
10300625	25	1	103006	101;301	352;2180						88:talent_ico_730003	1	300022;300003	6000;60000	1
10300626	26	1	103006	301;201	2180;126						88:talent_ico_730003	1	300022;300003	6000;60000	1
10300627	27	1	103006	201;101	126;352						88:talent_ico_730003	1	300022;300003	6000;60000	1
10300628	28	3	103006			10300620	92017	1	91017	1	88:talent_ico_82103006	1	417300;300022;300003	20;15000;150000	1
10100501	1	1	101005	101;201	90;52						88:talent_ico_710001	1	300022;300003	1600;16000	1
10100502	2	1	101005	201;301	52;1198						88:talent_ico_710001	1	300022;300003	2000;20000	1
10100503	3	1	101005	301;101	1198;90						88:talent_ico_710001	1	300022;300003	2000;20000	1
10100504	4	2	101005	101;201;301;903	180;105;1198;0.08						88:talent_ico_710001	1	417100;300022;300003	16;4000;40000	1
10100505	5	1	101005	101;201	150;87						88:talent_ico_710002	1	300022;300003	2400;24000	1
10100506	6	1	101005	201;301	87;1996						88:talent_ico_710002	1	300022;300003	3200;32000	1
10100507	7	1	101005	301;101	1996;150						88:talent_ico_710002	1	300022;300003	3200;32000	1
10100508	8	2	101005	101;201;301;1502	299;175;1996;-0.06						88:talent_ico_710002	1	417100;300022;300003	24;4800;48000	1
10100509	9	1	101005	201;301	87;1996						88:talent_ico_710002	1	300022;300003	3200;32000	1
10100510	10	1	101005	301;101	1996;150						88:talent_ico_710002	1	300022;300003	3200;32000	1
10100511	11	1	101005	101;201	150;87						88:talent_ico_710002	1	300022;300003	2400;24000	1
10100512	12	3	101005				91101005	1			88:talent_ico_71101005	1	417200;300022;300003	16;7200;72000	1
10100513	13	1	101005	101;201	240;140						88:talent_ico_710003	1	300022;300003	4800;48000	1
10100514	14	1	101005	201;301	140;3194						88:talent_ico_710003	1	300022;300003	4800;48000	1
10100515	15	1	101005	301;101	3194;240						88:talent_ico_710003	1	300022;300003	4800;48000	1
10100516	16	3	101005			10100512	92101005	1	91101005	1	88:talent_ico_72101005	1	417300;300022;300003	16;12000;120000	1
10100517	17	1	101005	301;101	1996;150						88:talent_ico_710002	1	300022;300003	3200;32000	1
10100518	18	1	101005	101;201	150;87						88:talent_ico_710002	1	300022;300003	2400;24000	1
10100519	19	1	101005	201;301	87;1996						88:talent_ico_710002	1	300022;300003	3200;32000	1
10100520	20	3	101005				91017	1			88:talent_ico_81101005	1	417200;300022;300003	16;7200;72000	1
10100521	21	1	101005	201;301	140;3194						88:talent_ico_710003	1	300022;300003	4800;48000	1
10100522	22	1	101005	301;101	3194;240						88:talent_ico_710003	1	300022;300003	4800;48000	1
10100523	23	1	101005	101;201	240;140						88:talent_ico_710003	1	300022;300003	4800;48000	1
10100524	24	2	101005	101;201;301;2502	359;210;2395;0.04						88:talent_ico_710003	1	417200;300022;300003	16;7200;72000	1
10100525	25	1	101005	301;101	3194;240						88:talent_ico_710003	1	300022;300003	4800;48000	1
10100526	26	1	101005	101;201	240;140						88:talent_ico_710003	1	300022;300003	4800;48000	1
10100527	27	1	101005	201;301	140;3194						88:talent_ico_710003	1	300022;300003	4800;48000	1
10100528	28	3	101005			10100520	92017	1	91017	1	88:talent_ico_82101005	1	417300;300022;300003	16;12000;120000	1
10400101	1	1	104001	201;101	47;94						88:talent_ico_710001	1	300022;300003	2000;20000	1
10400102	2	1	104001	101;301	94;1415						88:talent_ico_710001	1	300022;300003	2500;25000	1
10400103	3	1	104001	301;201	1415;47						88:talent_ico_710001	1	300022;300003	2500;25000	1
10400104	4	2	104001	201;101;301;603	94;189;2830;0.02						88:talent_ico_710001	1	417100;300022;300003	20;5000;50000	1
10400105	5	1	104001	201;101	79;157						88:talent_ico_710002	1	300022;300003	3000;30000	1
10400106	6	1	104001	101;301	157;2358						88:talent_ico_710002	1	300022;300003	4000;40000	1
10400107	7	1	104001	301;201	2358;79						88:talent_ico_710002	1	300022;300003	4000;40000	1
10400108	8	2	104001	201;101;301;603	157;314;4716;0.025						88:talent_ico_710002	1	417100;300022;300003	30;6000;60000	1
10400109	9	1	104001	101;301	157;2358						88:talent_ico_710002	1	300022;300003	4000;40000	1
10400110	10	1	104001	301;201	2358;79						88:talent_ico_710002	1	300022;300003	4000;40000	1
10400111	11	1	104001	201;101	79;157						88:talent_ico_710002	1	300022;300003	3000;30000	1
10400112	12	3	104001				91018	1			88:talent_ico_71104001	1	417200;300022;300003	20;9000;90000	1
10400113	13	1	104001	201;101	126;252						88:talent_ico_710003	1	300022;300003	6000;60000	1
10400114	14	1	104001	101;301	252;3773						88:talent_ico_710003	1	300022;300003	6000;60000	1
10400115	15	1	104001	301;201	3773;126						88:talent_ico_710003	1	300022;300003	6000;60000	1
10400116	16	3	104001			10400112	92018	1	91018	1	88:talent_ico_72104001	1	417300;300022;300003	20;15000;150000	1
10400117	17	1	104001	301;201	2358;79						88:talent_ico_710002	1	300022;300003	4000;40000	1
10400118	18	1	104001	201;101	79;157						88:talent_ico_710002	1	300022;300003	3000;30000	1
10400119	19	1	104001	101;301	157;2358						88:talent_ico_710002	1	300022;300003	4000;40000	1
10400120	20	3	104001				91017	1			88:talent_ico_81104001	1	417200;300022;300003	20;9000;90000	1
10400121	21	1	104001	101;301	252;3773						88:talent_ico_710003	1	300022;300003	6000;60000	1
10400122	22	1	104001	301;201	3773;126						88:talent_ico_710003	1	300022;300003	6000;60000	1
10400123	23	1	104001	201;101	126;252						88:talent_ico_710003	1	300022;300003	6000;60000	1
10400124	24	2	104001	201;101;301;603	189;377;5659;0.03						88:talent_ico_710003	1	417200;300022;300003	20;9000;90000	1
10400125	25	1	104001	301;201	3773;126						88:talent_ico_710003	1	300022;300003	6000;60000	1
10400126	26	1	104001	201;101	126;252						88:talent_ico_710003	1	300022;300003	6000;60000	1
10400127	27	1	104001	101;301	252;3773						88:talent_ico_710003	1	300022;300003	6000;60000	1
10400128	28	3	104001			10400120	92017	1	91017	1	88:talent_ico_82104001	1	417300;300022;300003	20;15000;150000	1
10100301	1	1	101003	201;101	43;85						88:talent_ico_710001	1	300022;300003	1200;12000	1
10100302	2	1	101003	101;301	85;1280						88:talent_ico_710001	1	300022;300003	1500;15000	1
10100303	3	1	101003	301;201	1280;43						88:talent_ico_710001	1	300022;300003	1500;15000	1
10100304	4	2	101003	201;101;301;2502	85;171;2560;0.04						88:talent_ico_710001	1	417100;300022;300003	12;3000;30000	1
10100305	5	1	101003	201;101	71;142						88:talent_ico_710002	1	300022;300003	1800;18000	1
10100306	6	1	101003	101;301	142;2133						88:talent_ico_710002	1	300022;300003	2400;24000	1
10100307	7	1	101003	301;201	2133;71						88:talent_ico_710002	1	300022;300003	2400;24000	1
10100308	8	2	101003	201;101;301;401	142;284;4266;200						88:talent_ico_710002	1	417100;300022;300003	18;3600;36000	1
10100309	9	1	101003	101;301	142;2133						88:talent_ico_710002	1	300022;300003	2400;24000	1
10100310	10	1	101003	301;201	2133;71						88:talent_ico_710002	1	300022;300003	2400;24000	1
10100311	11	1	101003	201;101	71;142						88:talent_ico_710002	1	300022;300003	1800;18000	1
10100312	12	3	101003				91017	1			88:talent_ico_71101003	1	417200;300022;300003	12;5400;54000	1
10100313	13	1	101003	201;101	114;228						88:talent_ico_710003	1	300022;300003	3600;36000	1
10100314	14	1	101003	101;301	228;3413						88:talent_ico_710003	1	300022;300003	3600;36000	1
10100315	15	1	101003	301;201	3413;114						88:talent_ico_710003	1	300022;300003	3600;36000	1
10100316	16	3	101003			10100312	92017	1	91017	1	88:talent_ico_72101003	1	417300;300022;300003	12;9000;90000	1
10100317	17	1	101003	301;201	2133;71						88:talent_ico_710002	1	300022;300003	2400;24000	1
10100318	18	1	101003	201;101	71;142						88:talent_ico_710002	1	300022;300003	1800;18000	1
10100319	19	1	101003	101;301	142;2133						88:talent_ico_710002	1	300022;300003	2400;24000	1
10100320	20	3	101003				91101003	1			88:talent_ico_81101003	1	417200;300022;300003	12;5400;54000	1
10100321	21	1	101003	101;301	228;3413						88:talent_ico_710003	1	300022;300003	3600;36000	1
10100322	22	1	101003	301;201	3413;114						88:talent_ico_710003	1	300022;300003	3600;36000	1
10100323	23	1	101003	201;101	114;228						88:talent_ico_710003	1	300022;300003	3600;36000	1
10100324	24	2	101003	201;101;301;2502	171;341;5119;0.06						88:talent_ico_710003	1	417200;300022;300003	12;5400;54000	1
10100325	25	1	101003	301;201	3413;114						88:talent_ico_710003	1	300022;300003	3600;36000	1
10100326	26	1	101003	201;101	114;228						88:talent_ico_710003	1	300022;300003	3600;36000	1
10100327	27	1	101003	101;301	228;3413						88:talent_ico_710003	1	300022;300003	3600;36000	1
10100328	28	3	101003			10100320	92101003	1	91101003	1	88:talent_ico_82101003	1	417300;300022;300003	12;9000;90000	1
10101101	1	1	101011	201;101	45;90						88:talent_ico_710001	1	300022;300003	1600;16000	1
10101102	2	1	101011	101;301	90;1347						88:talent_ico_710001	1	300022;300003	2000;20000	1
10101103	3	1	101011	301;201	1347;45						88:talent_ico_710001	1	300022;300003	2000;20000	1
10101104	4	2	101011	201;101;301;2101	90;180;2695;0.02						88:talent_ico_710001	1	417100;300022;300003	16;4000;40000	1
10101105	5	1	101011	201;101	75;150						88:talent_ico_710002	1	300022;300003	2400;24000	1
10101106	6	1	101011	101;301	150;2246						88:talent_ico_710002	1	300022;300003	3200;32000	1
10101107	7	1	101011	301;201	2246;75						88:talent_ico_710002	1	300022;300003	3200;32000	1
10101108	8	2	101011	201;101;301;2502	150;299;4491;0.04						88:talent_ico_710002	1	417100;300022;300003	24;4800;48000	1
10101109	9	1	101011	101;301	150;2246						88:talent_ico_710002	1	300022;300003	3200;32000	1
10101110	10	1	101011	301;201	2246;75						88:talent_ico_710002	1	300022;300003	3200;32000	1
10101111	11	1	101011	201;101	75;150						88:talent_ico_710002	1	300022;300003	2400;24000	1
10101112	12	3	101011				91101011	1			88:talent_ico_71101011	1	417200;300022;300003	16;7200;72000	1
10101113	13	1	101011	201;101	120;240						88:talent_ico_710003	1	300022;300003	4800;48000	1
10101114	14	1	101011	101;301	240;3593						88:talent_ico_710003	1	300022;300003	4800;48000	1
10101115	15	1	101011	301;201	3593;120						88:talent_ico_710003	1	300022;300003	4800;48000	1
10101116	16	3	101011			10101112	92101011	1	91101011	1	88:talent_ico_72101011	1	417300;300022;300003	16;12000;120000	1
10101117	17	1	101011	301;201	2246;75						88:talent_ico_710002	1	300022;300003	3200;32000	1
10101118	18	1	101011	201;101	75;150						88:talent_ico_710002	1	300022;300003	2400;24000	1
10101119	19	1	101011	101;301	150;2246						88:talent_ico_710002	1	300022;300003	3200;32000	1
10101120	20	3	101011				93101011	1			88:talent_ico_81101011	1	417200;300022;300003	16;7200;72000	1
10101121	21	1	101011	101;301	240;3593						88:talent_ico_710003	1	300022;300003	4800;48000	1
