mainId	roleId	star	upStarType	condition	type	initOpenAbility	SpLevel	SpDescId	PassiveLevel	capabilityValue	property	upstarIteam	upstarIteamNum	superUpStarExp	status	levelLimit	upProperty
11100212	111002	2	1						2	120	101:88.2;201:45;301:275.4	7111002;3000003	100;100000		1	80000	
11100213	111002	3	1		3	73111002	11	7311100203		180	101:132.3;201:67.5;301:413.1	7111002;3000003	100;150000		1	160000	
11100214	111002	4	1						3	180	101:132.3;201:67.5;301:413.1	7111002;3000003	200;200000		1	320000	
11100215	111002	5	1				12	7311100205		250	101:176.4;201:90;301:550.8	7111002;3000003	200;250000		1	640000	
11100216	111002	6	1		3	75111002			4	250	101:264.6;201:135;301:826.2	7111002;3000003	200;300000		1	1280000	
11200810	112008	0	1		2	61112008	5		1	0					1		
11200811	112008	1	1				6	7311200801		90	101:60.5;201:30.6;301:187.2	7112008;3000003	100;20000		1	50000	
11200812	112008	2	1						2	90	101:60.5;201:30.6;301:187.2	7112008;3000003	100;40000		1	100000	
11200813	112008	3	1		3	73112008	7	7311200803		130	101:90.8;201:45.9;301:280.8	7112008;3000003	100;60000		1	200000	
11200814	112008	4	1						3	130	101:90.8;201:45.9;301:280.8	7112008;3000003	200;80000		1	400000	
11200815	112008	5	1		3	75112008	8	7311200805		180	101:116.4;201:58.8;301:360	7112008;3000003	200;100000		1	800000	
11200816	112008	6	1						4	180	101:174.6;201:88.2;301:540	7112008;3000003	200;120000		1	1600000	
11200210	112002	0	1		2	61112002	9		1	0					1		
11200211	112002	1	1		3	71112002	10	7311200201		120	101:97;201:39.7;301:252.7	7112002;3000003	100;50000		1	40000	
11200212	112002	2	1						2	120	101:97;201:39.7;301:252.7	7112002;3000003	100;100000		1	80000	
11200213	112002	3	1				11	7311200203		180	101:145.5;201:59.5;301:379.1	7112002;3000003	100;150000		1	160000	
11200214	112002	4	1		3	74112002			3	180	101:145.5;201:59.5;301:379.1	7112002;3000003	200;200000		1	320000	
11200215	112002	5	1				12	7311200205		250	101:194;201:79.4;301:505.4	7112002;3000003	200;250000		1	640000	
11200216	112002	6	1		3	76112002			4	250	101:291.1;201:119.1;301:758.2	7112002;3000003	200;300000		1	1280000	
11300810	113008	0	1		2	61113008	5		1	0					1		
11300811	113008	1	1				6	7311300801		90	101:67.3;201:27.2;301:168.5	7113008;3000003	100;20000		1	50000	
11300812	113008	2	1						2	90	101:67.3;201:27.2;301:168.5	7113008;3000003	100;40000		1	100000	
11300813	113008	3	1		3	73113008	7	7311300803		130	101:100.9;201:40.9;301:252.7	7113008;3000003	100;60000		1	200000	
11300814	113008	4	1						3	130	101:100.9;201:40.9;301:252.7	7113008;3000003	200;80000		1	400000	
11300815	113008	5	1		3	75113008	8	7311300805		180	101:129.4;201:52.4;301:324	7113008;3000003	200;100000		1	800000	
11300816	113008	6	1						4	180	101:194;201:78.6;301:486	7113008;3000003	200;120000		1	1600000	
11300110	113001	0	1		2	61113001	9		1	0					1		
11300111	113001	1	1				10	7311300101		120	101:99;201:40.5;301:243	7113001;3000003	100;50000		1	40000	
11300112	113001	2	1						2	120	101:99;201:40.5;301:243	7113001;3000003	100;100000		1	80000	
11300113	113001	3	1		3	73113001	11	7311300103		180	101:148.5;201:60.8;301:364.5	7113001;3000003	100;150000		1	160000	
11300114	113001	4	1						3	180	101:148.5;201:60.8;301:364.5	7113001;3000003	200;200000		1	320000	
11300115	113001	5	1		3	75113001	12	7311300105		250	101:198;201:81;301:486	7113001;3000003	200;250000		1	640000	
11300116	113001	6	1						4	250	101:297;201:121.5;301:729	7113001;3000003	200;300000		1	1280000	
11400810	114008	0	1		2	61114008	5		1	0					1		
11400811	114008	1	1				6	7311400801		90	101:58.7;201:30.6;301:192.8	7114008;3000003	100;20000		1	50000	
11400812	114008	2	1						2	90	101:58.7;201:30.6;301:192.8	7114008;3000003	100;40000		1	100000	
11400813	114008	3	1		3	73114008	7	7311400803		130	101:88;201:45.9;301:289.2	7114008;3000003	100;60000		1	200000	
11400814	114008	4	1						3	130	101:88;201:45.9;301:289.2	7114008;3000003	200;80000		1	400000	
11400815	114008	5	1		3	75114008	8	7311400805		180	101:112.8;201:58.8;301:370.8	7114008;3000003	200;100000		1	800000	
11400816	114008	6	1						4	180	101:169.2;201:88.2;301:556.2	7114008;3000003	200;120000		1	1600000	
11400110	114001	0	1		2	61114001	9		1	0					1		
11400111	114001	1	1				10	7311400101		120	101:97;201:40.5;301:247.9	7114001;3000003	100;50000		1	40000	
11400112	114001	2	1						2	120	101:97;201:40.5;301:247.9	7114001;3000003	100;100000		1	80000	
11400113	114001	3	1		3	73114001	11	7311400103		180	101:145.5;201:60.8;301:371.8	7114001;3000003	100;150000		1	160000	
11400114	114001	4	1						3	180	101:145.5;201:60.8;301:371.8	7114001;3000003	200;200000		1	320000	
11400115	114001	5	1		3	75114001	12	7311400105		250	101:194;201:81;301:495.7	7114001;3000003	200;250000		1	640000	
11400116	114001	6	1						4	250	101:291.1;201:121.5;301:743.6	7114001;3000003	200;300000		1	1280000	
90400110	904001	0	1		2	61904001	1		1	0					1		
90400111	904001	1	1				2	7390400101		60	101:46.9;201:19.2;301:117.5	7904001;3000003	100;10000		1	30000	
90400112	904001	2	1						2	60	101:46.9;201:19.2;301:117.5	7904001;3000003	100;20000		1	60000	
90400113	904001	3	1		3	73904001	3	7390400103		80	101:46.9;201:19.2;301:117.5	7904001;3000003	100;30000		1	120000	
90400114	904001	4	1						3	80	101:53.2;201:21.8;301:133.4	7904001;3000003	200;40000		1	240000	
90400115	904001	5	1		3	75904001	4	7390400105		100	101:53.2;201:21.8;301:133.4	7904001;3000003	200;50000		1	480000	
90400116	904001	6	1						4	100	101:53.2;201:21.8;301:133.4	7904001;3000003	200;60000		1	960000	
90400210	904002	0	1		2	61904002	1		1	0					1		
90400211	904002	1	1				2	7390400201		60	101:46.4;201:19.4;301:117.5	7904002;3000003	100;10000		1	30000	
90400212	904002	2	1						2	60	101:46.4;201:19.4;301:117.5	7904002;3000003	100;20000		1	60000	
90400213	904002	3	1		3	73904002	3	7390400203		80	101:46.4;201:19.4;301:117.5	7904002;3000003	100;30000		1	120000	
90400214	904002	4	1						3	80	101:52.7;201:22;301:133.4	7904002;3000003	200;40000		1	240000	
90400215	904002	5	1		3	75904002	4	7390400205		100	101:52.7;201:22;301:133.4	7904002;3000003	200;50000		1	480000	
90400216	904002	6	1						4	100	101:52.7;201:22;301:133.4	7904002;3000003	200;60000		1	960000	
90400510	904005	0	1		2	61904005	5		1	0					1		
90400511	904005	1	1				6	7390400501		90	101:65.9;201:28.1;301:166.8	7904005;3000003	100;20000		1	40000	
90400512	904005	2	1						2	90	101:65.9;201:28.1;301:166.8	7904005;3000003	100;40000		1	80000	
90400513	904005	3	1		3	73904005	7	7390400503		130	101:98.8;201:42.1;301:250.2	7904005;3000003	100;60000		1	160000	
90400514	904005	4	1						3	130	101:98.8;201:42.1;301:250.2	7904005;3000003	200;80000		1	320000	
90400515	904005	5	1		3	75904005	8	7390400505		180	101:126.7;201:54;301:320.8	7904005;3000003	200;100000		1	640000	
90400516	904005	6	1						4	180	101:190.1;201:81;301:481.1	7904005;3000003	200;120000		1	1280000	
90400610	904006	0	1		2	61904006	1		1	0					1		
90400611	904006	1	1				2	7390400601		60	101:46.9;201:18.8;301:119.9	7904006;3000003	100;10000		1	30000	
90400612	904006	2	1						2	60	101:46.9;201:18.8;301:119.9	7904006;3000003	100;20000		1	60000	
90400613	904006	3	1		3	73904006	3	7390400603		80	101:46.9;201:18.8;301:119.9	7904006;3000003	100;30000		1	120000	
90400614	904006	4	1						3	80	101:53.2;201:21.3;301:136.1	7904006;3000003	200;40000		1	240000	
90400615	904006	5	1		3	75904006	4	7390400605		100	101:53.2;201:21.3;301:136.1	7904006;3000003	200;50000		1	480000	
90400616	904006	6	1						4	100	101:53.2;201:21.3;301:136.1	7904006;3000003	200;60000		1	960000	
90400910	904009	0	1		2	61904009	5		1	0					1		
90400911	904009	1	1				6	7390400901		90	101:63.8;201:28.6;301:168.5	7904009;3000003	100;20000		1	40000	
90400912	904009	2	1						2	90	101:63.8;201:28.6;301:168.5	7904009;3000003	100;40000		1	80000	
90400913	904009	3	1		3	73904009	7	7390400903		130	101:95.8;201:43;301:252.7	7904009;3000003	100;60000		1	160000	
90400914	904009	4	1						3	130	101:95.8;201:43;301:252.7	7904009;3000003	200;80000		1	320000	
90400915	904009	5	1		3	75904009	8	7390400905		180	101:122.8;201:55.1;301:324	7904009;3000003	200;100000		1	640000	
90400916	904009	6	1						4	180	101:184.1;201:82.6;301:486	7904009;3000003	200;120000		1	1280000	
90401010	904010	0	1		2	61904010	5		1	0					1		
90401011	904010	1	1				6	7390401001		90	101:66.6;201:28.1;301:165.1	7904010;3000003	100;20000		1	40000	
90401012	904010	2	1						2	90	101:66.6;201:28.1;301:165.1	7904010;3000003	100;40000		1	80000	
90401013	904010	3	1		3	73904010	7	7390401003		130	101:99.9;201:42.1;301:247.7	7904010;3000003	100;60000		1	160000	
90401014	904010	4	1						3	130	101:99.9;201:42.1;301:247.7	7904010;3000003	200;80000		1	320000	
90401015	904010	5	1		3	75904010	8	7390401005		180	101:128;201:54;301:317.5	7904010;3000003	200;100000		1	640000	
90401016	904010	6	1						4	180	101:192.1;201:81;301:476.3	7904010;3000003	200;120000		1	1280000	
90401410	904014	0	1		2	61904014	5		1	0					1		
90401411	904014	1	1				6	7390401401		120	101:81;201:49.5;301:297	7904014;3000003	100;50000		1	40000	
90401412	904014	2	1						2	120	101:81;201:49.5;301:297	7904014;3000003	100;100000		1	80000	
90401413	904014	3	1		3	73904014	7	7390401403		180	101:121.5;201:74.3;301:445.5	7904014;3000003	100;150000		1	160000	
90401414	904014	4	1						3	180	101:121.5;201:74.3;301:445.5	7904014;3000003	200;200000		1	320000	
90401415	904014	5	1		3	75904014	8	7390401405		250	101:162;201:99;301:594	7904014;3000003	200;250000		1	640000	
90401416	904014	6	1						4	250	101:243;201:148.5;301:891	7904014;3000003	200;300000		1	1280000	
90401510	904015	0	1		2	61904015	5		1	0					1		
90401511	904015	1	1				6	7390401501		120	101:68;201:27.2;301:166.8	7904015;3000003	100;50000		1	50000	
90401512	904015	2	1						2	120	101:68;201:27.2;301:166.8	7904015;3000003	100;100000		1	100000	
90401513	904015	3	1		3	73904015	7	7390401503		180	101:101.9;201:40.9;301:250.2	7904015;3000003	100;150000		1	200000	
90401514	904015	4	1						3	180	101:101.9;201:40.9;301:250.2	7904015;3000003	200;200000		1	400000	
90401515	904015	5	1		3	75904015	8	7390401505		250	101:130.7;201:52.4;301:320.8	7904015;3000003	200;250000		1	800000	
90401516	904015	6	1						4	250	101:196;201:78.6;301:481.1	7904015;3000003	200;300000		1	1600000	
90402010	904020	0	1		2	61904020	5		1	0					1		
90402011	904020	1	1				6	7390402001		120	101:68;201:27.8;301:163.4	7904020;3000003	100;50000		1	50000	
90402012	904020	2	1						2	120	101:68;201:27.8;301:163.4	7904020;3000003	100;100000		1	100000	
90402013	904020	3	1		3	73904020	7	7390402003		180	101:101.9;201:41.7;301:245.1	7904020;3000003	100;150000		1	200000	
90402014	904020	4	1						3	180	101:101.9;201:41.7;301:245.1	7904020;3000003	200;200000		1	400000	
90402015	904020	5	1		3	75904020	8	7390402005		250	101:130.7;201:53.5;301:314.3	7904020;3000003	200;250000		1	800000	
90402016	904020	6	1						4	250	101:196;201:80.2;301:471.4	7904020;3000003	200;300000		1	1600000	
90402210	904022	0	1		2	61904022	5		1	0					1		
90402211	904022	1	1				6	7390402201		90	101:67.3;201:27.5;301:166.8	7904022;3000003	100;20000		1	50000	
90402212	904022	2	1						2	90	101:67.3;201:27.5;301:166.8	7904022;3000003	100;40000		1	100000	
90402213	904022	3	1		3	73904022	7	7390402203		130	101:100.9;201:41.3;301:250.2	7904022;3000003	100;60000		1	200000	
90402214	904022	4	1						3	130	101:100.9;201:41.3;301:250.2	7904022;3000003	200;80000		1	400000	
90402215	904022	5	1		3	75904022	8	7390402205		180	101:129.4;201:52.9;301:320.8	7904022;3000003	200;100000		1	800000	
90402216	904022	6	1						4	180	101:194;201:79.4;301:481.1	7904022;3000003	200;120000		1	1600000	
90402510	904025	0	1		2	61904025	5		1	0					1		
90402511	904025	1	1				6	7390402501		90	101:53.9;201:34.3;301:203.9	7904025;3000003	100;20000		1	40000	
90402512	904025	2	1						2	90	101:53.9;201:34.3;301:203.9	7904025;3000003	100;40000		1	80000	
90402513	904025	3	1		3	73904025	7	7390402503		130	101:80.9;201:51.5;301:305.8	7904025;3000003	100;60000		1	160000	
90402514	904025	4	1						3	130	101:80.9;201:51.5;301:305.8	7904025;3000003	200;80000		1	320000	
90402515	904025	5	1		3	75904025	8	7390402505		180	101:103.7;201:66;301:392	7904025;3000003	200;100000		1	640000	
90402516	904025	6	1						4	180	101:155.5;201:99;301:588.1	7904025;3000003	200;120000		1	1280000	
90402610	904026	0	1		2	61904026	5		1	0					1		
90402611	904026	1	1				6	7390402601		90	101:54.5;201:34;301:203.9	7904026;3000003	100;20000		1	40000	
90402612	904026	2	1						2	90	101:54.5;201:34;301:203.9	7904026;3000003	100;40000		1	80000	
90402613	904026	3	1		3	73904026	7	7390402603		130	101:81.7;201:51;301:305.8	7904026;3000003	100;60000		1	160000	
90402614	904026	4	1						3	130	101:81.7;201:51;301:305.8	7904026;3000003	200;80000		1	320000	
90402615	904026	5	1		3	75904026	8	7390402605		180	101:104.8;201:65.3;301:392	7904026;3000003	200;100000		1	640000	
90402616	904026	6	1						4	180	101:157.1;201:98;301:588.1	7904026;3000003	200;120000		1	1280000	
90403110	904031	0	1		2	61904031	5		1	0					1		
90403111	904031	1	1				6	7390403101		90	101:53.4;201:34.3;301:205.9	7904031;3000003	100;20000		1	40000	
90403112	904031	2	1						2	90	101:53.4;201:34.3;301:205.9	7904031;3000003	100;40000		1	80000	
90403113	904031	3	1		3	73904031	7	7390403103		130	101:80;201:51.5;301:308.9	7904031;3000003	100;60000		1	160000	
90403114	904031	4	1						3	130	101:80;201:51.5;301:308.9	7904031;3000003	200;80000		1	320000	
90403115	904031	5	1		3	75904031	8	7390403105		180	101:102.6;201:66;301:396	7904031;3000003	200;100000		1	640000	
90403116	904031	6	1						4	180	101:153.9;201:99;301:594	7904031;3000003	200;120000		1	1280000	
90403310	904033	0	1		2	61904033	5		1	0					1		
90403311	904033	1	1				6	7390403301		90	101:66.6;201:27.5;301:168.5	7904033;3000003	100;20000		1	40000	
90403312	904033	2	1						2	90	101:66.6;201:27.5;301:168.5	7904033;3000003	100;40000		1	80000	
90403313	904033	3	1		3	73904033	7	7390403303		130	101:99.9;201:41.3;301:252.7	7904033;3000003	100;60000		1	160000	
90403314	904033	4	1						3	130	101:99.9;201:41.3;301:252.7	7904033;3000003	200;80000		1	320000	
90403315	904033	5	1		3	75904033	8	7390403305		180	101:128;201:52.9;301:324	7904033;3000003	200;100000		1	640000	
90403316	904033	6	1						4	180	101:192.1;201:79.4;301:486	7904033;3000003	200;120000		1	1280000	
90403410	904034	0	1		2	61904034	5		1	0					1		
90403411	904034	1	1				6	7390403401		90	101:65.9;201:27.8;301:168.5	7904034;3000003	100;20000		1	40000	
90403412	904034	2	1						2	90	101:65.9;201:27.8;301:168.5	7904034;3000003	100;40000		1	80000	
90403413	904034	3	1		3	73904034	7	7390403403		130	101:98.8;201:41.7;301:252.7	7904034;3000003	100;60000		1	160000	
90403414	904034	4	1						3	130	101:98.8;201:41.7;301:252.7	7904034;3000003	200;80000		1	320000	
90403415	904034	5	1		3	75904034	8	7390403405		180	101:126.7;201:53.5;301:324	7904034;3000003	200;100000		1	640000	
90403416	904034	6	1						4	180	101:190.1;201:80.2;301:486	7904034;3000003	200;120000		1	1280000	
90404110	904041	0	1		2	61904041	1		1	0					1		
90404111	904041	1	1				2	7390404101		60	101:47.4;201:19.2;301:116.3	7904041;3000003	100;10000		1	40000	
90404112	904041	2	1						2	60	101:47.4;201:19.2;301:116.3	7904041;3000003	100;20000		1	80000	
90404113	904041	3	1		3	73904041	3	7390404103		80	101:47.4;201:19.2;301:116.3	7904041;3000003	100;30000		1	160000	
90404114	904041	4	1						3	80	101:53.8;201:21.8;301:132	7904041;3000003	200;40000		1	320000	
90404115	904041	5	1		3	75904041	4	7390404105		100	101:53.8;201:21.8;301:132	7904041;3000003	200;50000		1	640000	
90404116	904041	6	1						4	100	101:53.8;201:21.8;301:132	7904041;3000003	200;60000		1	1280000	
90404310	904043	0	1		2	61904043	1		1	0					1		
90404311	904043	1	1				2	7390404301		60	101:47.9;201:18.8;301:117.5	7904043;3000003	100;10000		1	30000	
90404312	904043	2	1						2	60	101:47.9;201:18.8;301:117.5	7904043;3000003	100;20000		1	60000	
90404313	904043	3	1		3	73904043	3	7390404303		80	101:47.9;201:18.8;301:117.5	7904043;3000003	100;30000		1	120000	
90404314	904043	4	1						3	80	101:54.3;201:21.3;301:133.4	7904043;3000003	200;40000		1	240000	
90404315	904043	5	1		3	75904043	4	7390404305		100	101:54.3;201:21.3;301:133.4	7904043;3000003	200;50000		1	480000	
90404316	904043	6	1						4	100	101:54.3;201:21.3;301:133.4	7904043;3000003	200;60000		1	960000	
90800210	908002	0	1		2	61908002	5		1	0					1		
90800211	908002	1	1				6	7390800201		120	101:68;201:27.5;301:165.1	7908002;3000003	100;50000		1	30000	
90800212	908002	2	1						2	120	101:68;201:27.5;301:165.1	7908002;3000003	100;100000		1	60000	
90800213	908002	3	1		3	73908002	7	7390800203		180	101:101.9;201:41.3;301:247.7	7908002;3000003	100;150000		1	120000	
90800214	908002	4	1						3	180	101:101.9;201:41.3;301:247.7	7908002;3000003	200;200000		1	240000	
90800215	908002	5	1		3	75908002	8	7390800205		250	101:130.7;201:52.9;301:317.5	7908002;3000003	200;250000		1	480000	
90800216	908002	6	1						4	250	101:196;201:79.4;301:476.3	7908002;3000003	200;300000		1	960000	
11500810	115008	0	1		2	61115008	5		1	0					1		
11500811	115008	1	1				6	7311500801		90	101:97;201:40.5;301:247.9	7115008;3000003	100;20000		1	50000	
11500812	115008	2	1						2	90	101:97;201:40.5;301:247.9	7115008;3000003	100;40000		1	100000	
11500813	115008	3	1		3	73115008	7	7311500803		130	101:145.5;201:60.8;301:371.8	7115008;3000003	100;60000		1	200000	
11500814	115008	4	1						3	130	101:145.5;201:60.8;301:371.8	7115008;3000003	200;80000		1	400000	
11500815	115008	5	1		3	75115008	8	7311500805		180	101:194;201:81;301:495.7	7115008;3000003	200;100000		1	800000	
11500816	115008	6	1						4	180	101:291.1;201:121.5;301:743.6	7115008;3000003	200;120000		1	1600000	
12700810	127008	0	1		2	61127008	9		1	0					1		
12700811	127008	1	1				10	7312700801		120	101:100;201:38.9;301:250.3	7127008;3000003	100;50000		1	40000	
12700812	127008	2	1						2	120	101:100;201:38.9;301:250.3	7127008;3000003	100;100000		1	80000	
12700813	127008	3	1		3	73127008	11	7312700803		180	101:150;201:58.3;301:375.4	7127008;3000003	100;150000		1	160000	
12700814	127008	4	1						3	180	101:150;201:58.3;301:375.4	7127008;3000003	200;200000		1	320000	
12700815	127008	5	1		3	75127008	12	7312700805		250	101:200;201:77.8;301:500.6	7127008;3000003	200;250000		1	640000	
12700816	127008	6	1						4	250	101:300;201:116.6;301:750.9	7127008;3000003	200;300000		1	1280000	
13000810	130008	0	1		2	61130008	9		1	0					1		
13000811	130008	1	1				10	7313000801		120	101:97;201:40.9;301:245.4	7130008;3000003	100;50000		1	50000	
13000812	130008	2	1						2	120	101:97;201:40.9;301:245.4	7130008;3000003	100;100000		1	100000	
13000813	130008	3	1		3	73130008	11	7313000803		180	101:145.5;201:61.4;301:368.1	7130008;3000003	100;150000		1	200000	
13000814	130008	4	1						3	180	101:145.5;201:61.4;301:368.1	7130008;3000003	200;200000		1	400000	
13000815	130008	5	1		3	75130008	12	7313000805		250	101:194;201:81.8;301:490.9	7130008;3000003	200;250000		1	800000	
13000816	130008	6	1						4	250	101:291.1;201:122.7;301:736.3	7130008;3000003	200;300000		1	1600000	
13100810	131008	0	1		2	61131008	9		1	0					1		
13100811	131008	1	1				10	7313100801		120	101:99;201:38.9;301:252.7	7131008;3000003	100;50000		1	50000	
13100812	131008	2	1						2	120	101:99;201:38.9;301:252.7	7131008;3000003	100;100000		1	100000	
13100813	131008	3	1		3	73131008	11	7313100803		180	101:148.5;201:58.3;301:379.1	7131008;3000003	100;150000		1	200000	
13100814	131008	4	1						3	180	101:148.5;201:58.3;301:379.1	7131008;3000003	200;200000		1	400000	
13100815	131008	5	1		3	75131008	12	7313100805		250	101:198;201:77.8;301:505.4	7131008;3000003	200;250000		1	800000	
13100816	131008	6	1						4	250	101:297;201:116.6;301:758.2	7131008;3000003	200;300000		1	1600000	
11700810	117008	0	1		2	61117008	9		1	0					1		
11700811	117008	1	1				10	7311700801		120	101:100;201:38.9;301:250.3	7117008;3000003	100;50000		1	50000	
11700812	117008	2	1						2	120	101:100;201:38.9;301:250.3	7117008;3000003	100;100000		1	100000	
11700813	117008	3	1		3	73117008	11	7311700803		180	101:150;201:58.3;301:375.4	7117008;3000003	100;150000		1	200000	
11700814	117008	4	1						3	180	101:150;201:58.3;301:375.4	7117008;3000003	200;200000		1	400000	
11700815	117008	5	1		3	75117008	12	7311700805		250	101:200;201:77.8;301:500.6	7117008;3000003	200;250000		1	800000	
11700816	117008	6	1						4	250	101:300;201:116.6;301:750.9	7117008;3000003	200;300000		1	1600000	
12100810	121008	0	1		2	61121008	5		1	0					1		
12100811	121008	1	1				6	7312100801		90	101:99;201:40.5;301:243	7121008;3000003	100;20000		1	50000	
12100812	121008	2	1						2	90	101:99;201:40.5;301:243	7121008;3000003	100;40000		1	100000	
12100813	121008	3	1		3	73121008	7	7312100803		130	101:148.5;201:60.8;301:364.5	7121008;3000003	100;60000		1	200000	
12100814	121008	4	1						3	130	101:148.5;201:60.8;301:364.5	7121008;3000003	200;80000		1	400000	
12100815	121008	5	1		3	75121008	8	7312100805		180	101:198;201:81;301:486	7121008;3000003	200;100000		1	800000	
12100816	121008	6	1						4	180	101:297;201:121.5;301:729	7121008;3000003	200;120000		1	1600000	
10300610	103006	0	1		2	61103006	9		1	0					1		
10300611	103006	1	1				10	7310300601		120	101:98;201:40.9;301:243	7103006;3000003	100;50000		1	40000	
10300612	103006	2	1						2	120	101:98;201:40.9;301:243	7103006;3000003	100;100000		1	80000	
10300613	103006	3	1		3	73103006	11	7310300603		180	101:147;201:61.4;301:364.5	7103006;3000003	100;150000		1	160000	
10300614	103006	4	1						3	180	101:147;201:61.4;301:364.5	7103006;3000003	200;200000		1	320000	
10300615	103006	5	1		3	75103006	12	7310300605		250	101:196;201:81.8;301:486	7103006;3000003	200;250000		1	640000	
10300616	103006	6	1						4	250	101:294;201:122.7;301:729	7103006;3000003	200;300000		1	1280000	
10500410	105004	0	1		2	61105004	5		1	0					1		
10500411	105004	1	1				6	7310500401		90	101:65.9;201:28.1;301:166.8	7105004;3000003	100;20000		1	50000	
10500412	105004	2	1						2	90	101:65.9;201:28.1;301:166.8	7105004;3000003	100;40000		1	100000	
10500413	105004	3	1		3	73105004	7	7310500403		130	101:98.8;201:42.1;301:250.2	7105004;3000003	100;60000		1	200000	
10500414	105004	4	1						3	130	101:98.8;201:42.1;301:250.2	7105004;3000003	200;80000		1	400000	
10500415	105004	5	1		3	75105004	8	7310500405		180	101:126.7;201:54;301:320.8	7105004;3000003	200;100000		1	800000	
10500416	105004	6	1						4	180	101:190.1;201:81;301:481.1	7105004;3000003	200;120000		1	1600000	
10600910	106009	0	1		2	61106009	9		1	0					1		
10600911	106009	1	1		3	71106009	10	7310600901		120	101:101;201:38.9;301:247.9	7106009;3000003	100;50000		1	40000	
10600912	106009	2	1						2	120	101:101;201:38.9;301:247.9	7106009;3000003	100;100000		1	80000	
10600913	106009	3	1		3	73106009	11	7310600903		180	101:151.5;201:58.3;301:371.8	7106009;3000003	100;150000		1	160000	
10600914	106009	4	1						3	180	101:151.5;201:58.3;301:371.8	7106009;3000003	200;200000		1	320000	
10600915	106009	5	1		3	75106009	12	7310600905		250	101:202;201:77.8;301:495.7	7106009;3000003	200;250000		1	640000	
10600916	106009	6	1						4	250	101:302.9;201:116.6;301:743.6	7106009;3000003	200;300000		1	1280000	
10701010	107010	0	1		2	61107010	9		1	0					1		
10701011	107010	1	1		3	71107010	10	7310701001		120	101:104;201:40.5;301:230.9	7107010;3000003	100;50000		1	50000	
10701012	107010	2	1						2	120	101:104;201:40.5;301:230.9	7107010;3000003	100;100000		1	100000	
10701013	107010	3	1				11	7310701003		180	101:155.9;201:60.8;301:346.3	7107010;3000003	100;150000		1	200000	
10701014	107010	4	1		3	74107010			3	180	101:155.9;201:60.8;301:346.3	7107010;3000003	200;200000		1	400000	
10701015	107010	5	1				12	7310701005		250	101:207.9;201:81;301:461.7	7107010;3000003	200;250000		1	800000	
10701016	107010	6	1		3	76107010			4	250	101:311.9;201:121.5;301:692.6	7107010;3000003	200;300000		1	1600000	
12300810	123008	0	1		2	61123008	9		1	0					1		
12300811	123008	1	1		3	71123008	10	7312300801		120	101:93.6;201:42.8;301:286.3	7123008;3000003	100;50000		1	50000	
12300812	123008	2	1						2	120	101:93.6;201:42.8;301:286.3	7123008;3000003	100;100000		1	100000	
12300813	123008	3	1				11	7312300803		180	101:140.3;201:64.1;301:429.5	7123008;3000003	100;150000		1	200000	
12300814	123008	4	1		3	74123008			3	180	101:140.3;201:64.1;301:429.5	7123008;3000003	200;200000		1	400000	
12300815	123008	5	1				12	7312300805		250	101:187.1;201:85.5;301:572.7	7123008;3000003	200;250000		1	800000	
12300816	123008	6	1		3	76123008			4	250	101:280.7;201:128.3;301:859	7123008;3000003	200;300000		1	1600000	
12500810	125008	0	1		2	61125008	9		1	0					1		
12500811	125008	1	1		3	71125008	10	7312500801		120	101:97;201:40.5;301:247.9	7125008;3000003	100;20000		1	50000	
12500812	125008	2	1						2	120	101:97;201:40.5;301:247.9	7125008;3000003	100;40000		1	100000	
12500813	125008	3	1				11	7312500803		180	101:145.5;201:60.8;301:371.8	7125008;3000003	100;60000		1	200000	
12500814	125008	4	1		3	74125008			3	180	101:145.5;201:60.8;301:371.8	7125008;3000003	200;80000		1	400000	
12500815	125008	5	1				12	7312500805		250	101:194;201:81;301:495.7	7125008;3000003	200;100000		1	800000	
12500816	125008	6	1		3	76125008			4	250	101:291.1;201:121.5;301:743.6	7125008;3000003	200;120000		1	1600000	
12900810	129008	0	1		2	61129008	9		1	0					1		
12900811	129008	1	1				10	7312900801		120	101:68;201:27.5;301:165.1	7129008;3000003	100;50000		1		
12900812	129008	2	1						2	120	101:68;201:27.5;301:165.1	7129008;3000003	100;100000		1		
12900813	129008	3	1		3	73129008	11	7312900803		180	101:101.9;201:41.3;301:247.7	7129008;3000003	100;150000		1		
12900814	129008	4	1						3	180	101:101.9;201:41.3;301:247.7	7129008;3000003	200;200000		1		
12900815	129008	5	1		3	75129008	12	7312900805		250	101:130.7;201:52.9;301:317.5	7129008;3000003	200;250000		1		
12900816	129008	6	1						4	250	101:196;201:79.4;301:476.3	7129008;3000003	200;300000		1		
13700810	137008	0	1		2	61137008	9		1	0					1		
13700811	137008	1	1				10	7313700801		120	101:97;201:40.5;301:247.9	7137008;3000003	100;20000		1		
13700812	137008	2	1						2	120	101:97;201:40.5;301:247.9	7137008;3000003	100;40000		1		
13700813	137008	3	1		3	73137008	11	7313700803		180	101:145.5;201:60.8;301:371.8	7137008;3000003	100;60000		1		
13700814	137008	4	1						3	180	101:145.5;201:60.8;301:371.8	7137008;3000003	200;80000		1		
13700815	137008	5	1		3	75137008	12	7313700805		250	101:194;201:81;301:495.7	7137008;3000003	200;100000		1		
13700816	137008	6	1						4	250	101:291.1;201:121.5;301:743.6	7137008;3000003	200;120000		1		
