id	skinIcon	maxRoundNum	ruleID	video	videoStartTime	homeIcon	consumeId	shopIcon	shopBg	mailId	miniNum	status	poolDes	poolDes_zh_TW	poolDes_en_UK	poolDes_ja_JP	poolDes_ko_KR	poolDes_th_TH	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH
27	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_13600850.usm;Movie/gachapon_skin_14100850.usm	0		9000033	161:skin_draw_shop_icon_14100850	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>春色满园、炎夏海滩的绮梦</color>	本期限定互動皮膚：<color=#ea29b6>春色滿園、炎夏海灘的綺夢</color>	 Featured interactive skin: <color=#ea29b6>Bountiful Bloom, Sun-kissed Seashore Reverie</color>	＜期間限定＞お触りイベント付き外観:<color=#ea29b6>春の陽気に包まれて、夏薫る砂浜の綺夢にて</color>	이번 시즌 한정 시네마틱 스킨: <color=#ea29b6>봄의 정원, 여름 해변에서의 꿈</color>	คอสตูมโต้ตอบลิมิเต็ดในรอบนี้:\n<color=#ea29b6>สปริงการ์เดน และ ซัมเมอร์ดรีม</color>	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
28	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_15700850.usm	0		9000033	161:skin_draw_shop_icon_15700850	161:skin_draw_exchange_bg	1		1	本期互动皮肤：<color=#ea29b6>红唇夜语、私汤体验、心动触诊、微醺密语、月胧吟·凝露</color>	本期互動時裝：<color=#ea29b6>紅唇夜語、私湯體驗、心動觸診、微醺密語、月朧吟·凝露</color>	Featured interactive skin: <color=#ea29b6>Midnight Whisper, Whispering Steam, Heartfelt Touch, Tipsy Whispers, Moonlight Whisper (Dewdrop)</color>	お触りイベント付き外観：<color=#ea29b6>夜話を紡ぐ紅唇、内湯体験、ドキメキ触診、ほろ酔い蜜語、朧月吟 -露凝る-</color>	이번 시즌 시네마틱 인터랙션 스킨: <color=#ea29b6>홍순야화, 온천 체험, 두근두근 진찰, 술기운의 밀회, 달빛의 소원·서리</color>	คอสตูมโต้ตอบในรอบ​นี้: <color=#ea29b6>เสียงกระซิบย่ำค่ำ, ไพรเวตออนเซ็น, สัมผัสดวงใจ, เมามายพร่ำรัก, หยาดน้ำค้าง</color>	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
29	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_15100850.usm	0		9000033	161:skin_draw_shop_icon_15100850	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>微醺密语</color>！	本期限定互動皮膚：<color=#ea29b6>微醺密語</color>！	Featured interactive skin: <color=#ea29b6>Tipsy Whispers</color>!	＜期間限定＞お触りイベント付き外観:<color=#ea29b6>ほろ酔い蜜語</color>！	이번 시즌 한정 시네마틱 스킨: <color=#ea29b6>술기운의 밀회</color>	คอสตูม​โต้ตอบ​ลิมิเต็ด​ใน​รอบ​นี้​:​ <color=#ea29b6>เมามายพร่ำรัก</color>!​	微醺密语	微醺密語	Tipsy Whispers	ほろ酔い蜜語	술기운의 밀회	เมามายพร่ำรัก
30	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_12700150.usm	0		9000033	161:skin_draw_shop_icon_12700150	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>幽夜密会</color>！	本期限定互動皮膚：<color=#ea29b6>幽夜密會</color>！	Featured interactive skin: <color=#ea29b6>Restful Retreat</color>!	＜期間限定＞お触りイベント付き外観:<color=#ea29b6>身を以て心に伝う</color>	이번 시즌 한정 시네마틱 스킨: <color=#ea29b6>늦은 밤의 밀회</color>!	คอสตูมโต้ตอบลิมิเต็ดในรอบนี้: <color=#ea29b6>เดตลับคืนสลัว</color>!	幽夜密会	幽夜密會	Restful Retreat	身を以て心に伝う	늦은 밤의 밀회	เดตลับคืนสลัว
31	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_14100850.usm	0		9000033	161:skin_draw_shop_icon_14100850	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>炎夏海滩的绮梦</color>	本期限定互動皮膚：<color=#ea29b6>炎夏海灘的綺夢</color>	Acquire the limited interactive skin.	＜期間限定＞お触りイベント付き外観：<color=#ea29b6>夏薫る砂浜の綺夢にて</color>！	이번 시즌 한정 시네마틱 스킨: <color=#ea29b6>여름 해변에서의 꿈</color>!	คอสตูม​โต้ตอบ​ลิมิเต็ด​ใน​รอบ​นี้​:​ <color=#ea29b6>ซัมเมอร์ดรีม</color>​						
32	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_13600850.usm	0		9000033	161:skin_draw_shop_icon_13600850	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>春色满园</color>	本期限定互動皮膚：<color=#ea29b6>春色滿園</color>	Featured interactive skin: <color=#ea29b6>Bountiful Bloom</color>.	＜期間限定＞お触りイベント付き外観：<color=#ea29b6>春の陽気に包まれて</color>	이번 시즌 한정 시네마틱 스킨: <color=#ea29b6>봄의 정원</color>!	คอสตูม​โต้ตอบ​ลิมิเต็ด​ใน​รอบ​นี้​:​ <color=#ea29b6>สปริงการ์เดน</color>​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
33	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_13300850.usm	0		9000033	161:skin_draw_shop_icon_13300850	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>私汤体验</color>	本期限定互動皮膚：<color=#ea29b6>私湯體驗</color>	Featured interactive skin: <color=#ea29b6>Whispering Steam</color>	＜期間限定＞お触りイベント付き外観:<color=#ea29b6>内湯体験</color>	이번 시즌 한정 시네마틱 스킨: <color=#ea29b6>온천체험</color>	คอสตูม​โต้ตอบ​ลิมิเต็ด​ใน​รอบ​นี้​:​ <color=#ea29b6>ไพรเวตออนเซ็น</color>​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
34	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_15200850.usm	0		9000033	161:skin_draw_shop_icon_15200850	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>心动触诊</color>	本期限定互動時裝：<color=#ea29b6>心動觸診</color>	Featured interactive skin: <color=#ea29b6>Heartfelt Touch</color>	＜期間限定＞お触りイベント付き外観:<color=#ea29b6>ドキメキ触診</color>	이번 시즌 한정 시네마틱 스킨: <color=#ea29b6>두근두근 진찰</color>	คอสตูม​โต้ตอบ​ลิมิเต็ด​ใน​รอบ​นี้​:​ <color=#ea29b6>สัมผัสดวงใจ</color>​	精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
35	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_15700850.usm	0		9000033	161:skin_draw_shop_icon_15700850	161:skin_draw_exchange_bg	1		1												
36	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_15100850.usm	0		9000033	161:skin_draw_shop_icon_15100850	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>微醺密语</color>！	本期限定互動皮膚：<color=#ea29b6>微醺密語</color>！	Featured interactive skin: <color=#ea29b6>Tipsy Whispers</color>!	＜期間限定＞お触りイベント付き外観:<color=#ea29b6>ほろ酔い蜜語</color>！	이번 시즌 한정 시네마틱 스킨: <color=#ea29b6>술기운의 밀회</color>	คอสตูม​โต้ตอบ​ลิมิเต็ด​ใน​รอบ​นี้​:​ <color=#ea29b6>เมามายพร่ำรัก</color>!​	微醺密语	微醺密語	Tipsy Whispers	ほろ酔い蜜語	술기운의 밀회	เมามายพร่ำรัก
37	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_12700150.usm	0		9000033	161:skin_draw_shop_icon_12700150	161:skin_draw_exchange_bg	1		1	本期限定互动皮肤：<color=#ea29b6>幽夜密会</color>！	本期限定互動皮膚：<color=#ea29b6>幽夜密會</color>！	Featured interactive skin: <color=#ea29b6>Restful Retreat</color>!	＜期間限定＞お触りイベント付き外観:<color=#ea29b6>身を以て心に伝う</color>	이번 시즌 한정 시네마틱 스킨: <color=#ea29b6>늦은 밤의 밀회</color>!	คอสตูมโต้ตอบลิมิเต็ดในรอบนี้: <color=#ea29b6>เดตลับคืนสลัว</color>!	幽夜密会	幽夜密會	Restful Retreat	身を以て心に伝う	늦은 밤의 밀회	เดตลับคืนสลัว
38	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_15700850.usm;Movie/gachapon_skin_13300850.usm	0		9000033	161:skin_draw_shop_icon_general	161:skin_draw_exchange_bg	1		1												
39	161:skin_draw_tab_2	120	11300201	Movie/gachapon_skin_replicate01.usm	0		9000033	161:skin_draw_shop_icon_general	161:skin_draw_exchange_bg	1		1	本期互动皮肤：<color=#ea29b6>雾浴迷情、胜利后的奖励、浮光跃金、玉润冰沁、由身入心的放松、萌动女仆、春色满园、凝露、炎夏海滩的绮梦、微醺密语、心动触诊、私汤体验、红唇夜语</color>	本期互動皮膚：<color=#ea29b6>霧浴迷情、勝利後的獎勵、浮光躍金、玉潤冰沁、由身入心的放鬆、萌動女僕、春色滿園、凝露、炎夏海灘的綺夢、微醺密語、心動觸診、私湯體驗、紅唇夜語</color>	Featured interactive skins: <color=#ea29b6>Mistveil of Passion, Victory Reward, Flying Embers (Gleam), Sunset Radiance (Meltflake), Restful Retreat, Sweetheart Maid, Bountiful Bloom\n, Dewdrop, Sun-kissed Seashore Reverie, Tipsy Whispers, Heartfelt Touch, Whispering Steam, Midnight Whisper</color>	＜期間限定＞お触りイベント付き外観：<color=#ea29b6>魅惑のひととき、勝利後のご褒美、火樹流光、夕雪晩照、身を以て心に伝う、メイドの流儀、春の陽気に包まれて、朧月吟 -露凝る-、夏薫る砂浜の綺夢にて、ほろ酔い蜜語、心动触诊、内湯体験、夜話を紡ぐ紅唇</color>	/		精品展柜	精品展櫃	Glamour Galore	新海コレクション	뉴오션 컬렉션	ตู้โชว์คอสตูมพรีเมียม
