id	icon	appearNum	group	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	decr	decr_zh_TW	decr_en_UK	decr_ja_JP	decr_ko_KR	decr_th_TH
5038105	18:npc_icon_381_1	8	50381	1	贝克特	貝克特	Beckett	ベクター	베켓	เบ็คเก็ตต์	工作餐难吃得让人怀疑用油会犯法，还是你们这里好！	工作餐難吃得讓人懷疑用油會犯法，還是你們這裡好！	The working lunch is so awful, but yours is so much better!	うちの給食が不味すぎるよ。ここの料理が安くて美味しいし、本当に助かるよ。	사내 식당 음식은 정말 무슨 기름을 쓰면 범죄인지 안다니까요. 역시 여기가 낫네요!	อาหาร​ใน​ที่ทำงาน​ไม่​อร่อย​จน​คน​สงสัย​ว่า​ใช้​น้ำมัน​ผิดก​ฏ​หมาย​หรือเปล่า​ ของ​พวก​เธอ​นี่​ยัง​ดีกว่า​!​
5038106	18:npc_icon_381_1	9	50381	1	贝克特	貝克特	Beckett	ベクター	베켓	เบ็คเก็ตต์	一天不吃简直浑身难受。	一天不吃簡直渾身難受。	It makes me feel miserable that I can't eat it every day.	一度食べたら忘れられないんだ。	하루라도 안 먹으면 몸에 가시가 돋는 것 같아요	ไม่​ได้​กิน​อะไร​มา​ทั้งวัน​จน​ร่างกาย​รู้สึก​ไม่​ดี​เลย​จริงๆ​
5043201	18:npc_icon_432_4		50432	1	汀兰	汀蘭	Tinland	汀蘭	정란	ติงหลาน	好久没见你们了，送来的时候也听听歌吧？	好久沒見你們了，送來的時候也聽聽歌吧？	It's been a while. When you deliver, why don't you listen to some music?	久しぶり～来るときに新曲を聴かせるわ。	오랜만이네요, 오실 때 노래 한 곡 어떠세요?	ไม่​ได้​เจอ​พวกคุณ​นาน​เลย​ ตอน​ที่มา​ก็​ฟังเพลง​ด้วย​สิ​นะ​?​
5058801	18:npc_icon_588_1		50588	1	哈伦·希尔	哈倫·希爾	Harren Hill	ハーレン・ヒル	헬렌 힐	ฮาร์ลาน · ฮิลล์	新人，给你个机会在我面前好好表现一下。	新人，給你個機會在我面前好好表現一下。	Hey rookie, here's your chance to impress me.	おい新人、腕を披露するチャンスを与えてやろう。	신입, 내 앞에서 프레젠테이션 할 기회를 주지	เด็ก​ใหม่​ ให้โอกาส​เธอ​ได้​แสดงความสามารถ​ต่อหน้า​ฉัน​สักหน่อย​
5043101	18:npc_icon_431_1		50431	1	简	簡	Jane	簡	제인	เจน	放到情绪干预中心的前台就好，谢谢。	放到情緒干預中心的前台就好，謝謝。	Just leave it at the front desk of the ERC, thank you.	ERCの受付に置いてください。ありがとう。	이모션 컨트롤 센터 프론트에 맡겨놔주세요. 감사합니다	วาง​ไว้​ข้างหน้า​เคาน์เตอร์​ศูนย์​เยียวยา​พา​โธ​ซิ​ส​ก็​พอ​ ขอบคุณ​
5063201	18:npc_icon_632_4		50632	1	若拉	若拉	Rora	ルオラ	로라	โรล่า	现在和特莉丝见面，反而是我要和店长预约呢。	現在和特莉絲見面，反而是我要和店長預約呢。	Now, in order to meet with Triss, I must schedule an appointment with you, Manager.	トリスに会いたい時、店長とアポを取らないね。	트리스와 만나려면 오히려 제가 점장님과 먼저 약속을 잡아야겠네요	ตอนนี้​ถ้า​อยาก​เจอ​ท​ริ​ส​ กลายเป็น​ว่า​ฉัน​ต้อง​นัด​กับ​คุณ​ผู้จัดการ​ซะ​แล้ว​เหรอ​
5038199	18:npc_icon_381_1		5038199	1	自动点餐机	自動點餐機	Self-ordering Machine	オーダーマシン	키오스크	เครื่องสั่งอาหารอัตโนมัติ	已为客户隐藏个人信息，已为客户推荐最优菜单。	已為客戶隱藏個人資訊，已為客戶推薦最優功能表。	Customer personal information has been hidden. The best menu options have been recommended.	お客様の個人情報を隠蔽しました。最適なメニューをお勧めしました。	손님이 개인 정보를 숨기고 손님께 최적의 메뉴를 추천해 드렸습니다.	ซ่อน​ข้อมูล​ส่วนตัว​ของ​ลูกค้า​แล้ว​ แนะนำ​เมนู​อาหาร​ที่​ดี​ที่สุด​ให้​ลูกค้า​แล้ว​
6042701	18:npc_icon_427_1		60427	1	杰诺	傑諾	Jenoh	ゼノ	제노	เจโน่	我从叔叔那里听说了你们的事。	我從叔叔那裡聽說了你們的事。	I heard something about you guys from my uncle.	おじさんから君たちのことを聞いてるよ。	당신들 일은 아저씨한테 들었습니다	ฉัน​ได้ยิน​เรื่อง​ของ​พวกคุณ​มาจาก​คุณ​ลุง​
6042702	18:npc_icon_427_1	2	60427	1	杰诺	傑諾	Jenoh	ゼノ	제노	เจโน่	不太能吃辣，不过你们这边的好像可以尝试一下……	不太能吃辣，不過你們這邊的好像可以嘗試一下……	I can't handle spicy food very well, but it seems like I can give it a try here...	辛いのが苦手なんだよね……でも、ここの料理なら試してみるよ。	매운 건 잘 못 먹는데, 여기 꺼는 한번 먹을 수 있을 거 같아요…	กิน​เผ็ด​มาก​ไม่​ได้​ แต่​ของ​พวกคุณ​นี่​เหมือน​จะ​ลอง​ชิม​ดู​ได้​...​
6042703	18:npc_icon_427_1	4	60427	1	杰诺	傑諾	Jenoh	ゼノ	제노	เจโน่	最近凛北区的天气不太稳定，路上注意安全。	最近凜北區的天氣不太穩定，路上注意安全。	The weather in Boreala has been quite unpredictable lately, so be careful on the road.	凛北区周辺は最近天候が良くないので、くれぐれも交通安全に留意してほしい。	요즘 노스 타운의 날씨가 좀 뒤숭숭합니다. 가는 길 조심하세요.	ช่วงนี้​สภาพอากาศ​ของ​เขต​โบ​เรีย​ร่า​ค่อนข้าง​แปรปรวน​ เดินทาง​ปลอดภัย​นะ​
6042704	18:npc_icon_427_6	6	60427	1	杰诺	傑諾	Jenoh	ゼノ	제노	เจโน่	请随意推荐吧，好像都很合我的口味呢！	請隨意推薦吧，好像都很合我的口味呢！	Feel free to recommend your dishes. It seems like they all suit my taste!	どれも美味しそうですね。じゃあ、今日のおすすめ料理でお願いします！	뭐든 추천해 주세요, 아마 다 맛있을 테니까!	เชิญ​แนะนำ​ให้​ตามสบาย​ ดูท่า​แล้ว​คงจะ​ถูกปาก​ฉัน​ทั้ง​นั้นแหละ​!​
6042705	18:npc_icon_427_5	8	60427	1	杰诺	傑諾	Jenoh	ゼノ	제노	เจโน่	如果……早些遇到你们就好了……	如果……早些遇到你們就好了……	If only I had met you earlier...	君たちにもっと早く出会えたらな…	당신들과... 조금 더 빨리 만났으면... 좋았을 텐데…	ถ้า​หา​ก.​..​ได้​เจอ​กับ​พวกคุณ​เร็ว​กว่า​นี้​หน่อย​ก็​คง​ดี​...​
6042706	18:npc_icon_427_6	9	60427	1	杰诺	傑諾	Jenoh	ゼノ	제노	เจโน่	总感觉最近心情好了不少，我就说猫族也该多吃情绪餐饮嘛。	總感覺最近心情好了不少，我就說貓族也該多吃情緒餐飲嘛。	Lately, I've noticed a significant improvement in my mood. As I've mentioned before, Felinians should indulge in more Pathos Cuisine.	最近、気分が良くなった気がする。フェリニアンスにもパトス料理が必要なんだよね。	아무리 생각해도 요즘 정신건강이 좀 많이 좋아졌어. 내가 말했잖아, 캣족도 이모션 푸드를 좀 먹어줘야 한다고.	รู้สึก​ว่า​ช่วงนี้​อารมณ์​ดีขึ้น​เยอะ​เลย​ ฉัน​บอก​แล้ว​ว่า​เผ่า​แมว​ก็​ควรจะ​กิน​อาหาร​และ​เครื่องดื่ม​พา​โธส​ให้​เยอะ​ๆ​ น่ะ​
6045201	18:npc_icon_452_4		60452	1	海顿	海頓	Haydn	ハイドン	하이든	ไฮเดน	可以的话，演奏会后的晚宴就用你家的吧。	可以的話，演奏會後的晚宴就用你家的吧。	How about having dinner at your place after the concert?	できれば、演奏会の打ち上げ会も頼んだ。	가능하면 콘서트가 끝나면 너희 집에서 밥 먹고 싶어	ถ้า​เป็นไปได้​ งานเลี้ยง​ที่จะ​จัด​หลัง​งาน​ดนตรี​ก็​ใช้​ของ​บ้าน​คุณ​ก็แล้วกัน​
6060701	18:npc_icon_607_1		60607	1	十二夜中人	十二夜中人	Twelfth Night	十二夜をゆく者	열두 번째 밤	เงาแห่งราตรี	在你们的食物里，我嗅到了可能性与戏剧性……	在你們的食物裡，我嗅到了可能性與戲劇性……	I smell the possibilities and theatrics from your food...	この料理から、ドラマ性と可能性を感じる…	당신들의 요리에서 가능성과 희극성의 냄새를 맡았어...	ฉัน​ได้กลิ่น​ความเป็นไปได้​และ​ความ​น่าทึ่ง​ จาก​อาหาร​ของ​พวกคุณ​...​
6045501	18:npc_icon_455_2		60455	1	FC队长	FC隊長	Captain FC	FCキャプテン	FC 캡틴	หัวหน้าทีม FC	请来份热乎的！	請來份熱乎的！	Give me something warm, please!	なんか熱いものない？	따뜻한 걸로 주세요!	ขอแบบร้อนหนึ่งที่!
6065301	18:npc_icon_653_1		60653	1	战神小獭	戰神小獺	War God Otta	戦神ウソ君	군신 수달	เทพสงครามตัวน้อย	军方都和你们合作那么多了，就多给点优惠吧！	軍方都和你們合作那麼多了，就多給點優惠吧！	The military has been collaborating with you for so long, so please offer us more discounts!	いつも協力してるだろ？少し安くしてくれよ。	군부가 당신들이랑 그렇게 일을 같이 했는데, 서비스 좀 주시죠!	ทาง​กองทัพ​ร่วมมือ​กับ​พวกคุณ​มาก​ขนาด​นี้​แล้ว​ ให้​ส่วนลด​เยอะ​ๆ​ หน่อย​เถอะ​!​
6038101	18:npc_icon_381_1		60381	1	自动点餐机	自動點餐機	Self-ordering Machine	オーダーマシン	키오스크	เครื่องสั่งอาหารอัตโนมัติ	已为客户隐藏个人信息，已为客户推荐最优菜单。	已為客戶隱藏個人資訊，已為客戶推薦最優功能表。	Customer personal information has been hidden. The best menu options have been recommended.	お客様の個人情報を隠蔽しました。最適なメニューをお勧めしました。	손님이 개인 정보를 숨기고 손님께 최적의 메뉴를 추천해 드렸습니다.	ซ่อน​ข้อมูล​ส่วนตัว​ของ​ลูกค้า​แล้ว​ แนะนำ​เมนู​อาหาร​ที่​ดี​ที่สุด​ให้​ลูกค้า​แล้ว​
