id	proposalLevel	tag	roleRestrictions	sceneId	battleRules	roleNun	powerRatioTeamID	rounds	damageTotal	exp	cardExp	restartBattleBtn	status	name	name_zh_TW	name_en_UK	name_ja_JP	name_ko_KR	name_th_TH	buffDec	buffDec_zh_TW	buffDec_en_UK	buffDec_ja_JP	buffDec_ko_KR	buffDec_th_TH
92503	121300	301;304;305	0	15001	1	4	0	100	0			1	1	黑雾之渊·二	黑霧之淵·二	Misty Depths II	黒霧ノ淵Ⅱ	검은 안개의 심연II	เหวหมอกมืด·2	<color=#800080>梦魇涌动</color>：敌方单位每回合随机获得【防御力降低】【攻击力降低】【忍耐率降低】【暴击率降低】中的1个效果；同时我方单位单体技能造成的【间接伤害】提升80%	<color=#800080>夢魘湧動</color>：敵方單位每回合隨機獲得【防禦力降低】【攻擊力降低】【忍耐率降低】【爆擊率降低】中的1個效果；同時我方單位單體技能造成的【間接傷害】提升80%	<color=#800080>Nightmare Surge</color>: Enemy units randomly receive one of the following effects each turn: [DEF Down], [ATK Down], [Endurance Down], or [CRIT Rate Down]. Also, increases the [Indirect DMG] dealt by our units' single-target skills by 80%.	<color=#800080>ステージ効果</color>：敵はターンごとに以下のデバフのいずれか1つを付与される：「防御力低下」、「攻撃力低下」、「忍耐率低下」、「会心率低下」。；同時に味方の単体スキルによる「間接ダメージ」は80%増加する。	<color=#800080>나이트메어 침식</color>: 단일 적에게 턴당 랜덤으로 [방어력 감소], [공격력 감소], [인내율 감소], [크리티컬율 감소] 중에 1가지 효과를 획득하며, 동시에 아군 단일 스킬로 부여하는 [간접 대미지]는 80% 증가합니다.	<color=#800080>กระแสฝันร้าย</color>:​ ฝ่าย​ศัตรู​จะ​สุ่ม​รับ​เอฟเฟกต์​ 1​ อย่าง​จาก​ [​ลด​ DEF]​ [​ลด​ ATK]​ [​ลด​อัตรา​อดทน​]​ [​ลด​อัต​ราค​ริ​ติ​คอ​ล​]​ ขณะเดียวกัน​ฝ่าย​เรา​เพิ่ม​ [​ดา​เม​จ​ต่อเนื่อง​]​ ที่​ทำได้​ขึ้น​ 80%​
92504	121300	301;304;305	0	15001	1	4	0	100	0			1	1	黑雾之渊·二	黑霧之淵·二	Misty Depths II	黒霧ノ淵Ⅱ	검은 안개의 심연II	เหวหมอกมืด·2	<color=#800080>梦魇涌动</color>：敌方单位单体【奥义技能】伤害提升100%，但是【奥义技能】结束后会获得3回合受到伤害提升40%	<color=#800080>夢魘湧動</color>：敵方單位單體【奧義技能】傷害提升100%，但是【奧義技能】結束後會獲得3回合受到傷害提升40%	<color=#800080>Nightmare Surge</color>: Enemy unit gains a 100% increase in single-target Ultimate DMG dealt, but once the Ultimate ends, they will receive a 40% increase in DMG taken for 3 turns.	<color=#800080>ステージ効果</color>：敵の単体SP技の与ダメージ＋100%、SP技発動後、被ダメージ＋40%	<color=#800080>나이트메어 침식</color>: 단일 적의 [필살기 스킬] 대미지가 10% 증가하지만, [필살기 스킬] 종료 후 3턴 동안 적용되는 대미지가 40% 증가합니다.	<color=#800080>กระแสฝันร้าย</color>:​ ศัตรู​สร้าง​ดา​เม​จ​จาก​ [​สกิลอัล​ติ​เมท​]​ เป้า​เดี่ยว​เพิ่มขึ้น​ 100%​ แต่​หลังจาก​สกิลอัล​ติ​เมท​สิ้ง​สุด​ลง​ จะ​ได้รับ​สถานะ​ได้รับ​ดา​เม​จ​เพิ่มขึ้น​ 40%​ เป็นเวลา​ 3​ เทิร์น​
92505	130300	301;304;305	0	15001	1	4	0	100	0			1	1	黑雾之渊·三	黑霧之淵·三	Misty Depths III	黒霧ノ淵Ⅲ	검은 안개의 심연III	เหวหมอกมืด·3	<color=#800080>梦魇涌动</color>：敌方单位每回合随机获得【防御力降低】【攻击力降低】【忍耐率降低】【暴击率降低】中的1个效果；同时我方单位单体技能造成的【间接伤害】提升80%	<color=#800080>夢魘湧動</color>：敵方單位每回合隨機獲得【防禦力降低】【攻擊力降低】【忍耐率降低】【爆擊率降低】中的1個效果；同時我方單位單體技能造成的【間接傷害】提升80%	<color=#800080>Nightmare Surge</color>: Enemy units randomly receive one of the following effects each turn: [DEF Down], [ATK Down], [Endurance Down], or [CRIT Rate Down]. Also, increases the [Indirect DMG] dealt by our units' single-target skills by 80%.	<color=#800080>ステージ効果</color>：敵はターンごとに以下のデバフのいずれか1つを付与される：「防御力低下」、「攻撃力低下」、「忍耐率低下」、「会心率低下」。；同時に味方の単体スキルによる「間接ダメージ」は80%増加する。	<color=#800080>나이트메어 침식</color>: 단일 적에게 턴당 랜덤으로 [방어력 감소], [공격력 감소], [인내율 감소], [크리티컬율 감소] 중에 1가지 효과를 획득하며, 동시에 아군 단일 스킬로 부여하는 [간접 대미지]는 80% 증가합니다.	<color=#800080>กระแสฝันร้าย</color>:​ ฝ่าย​ศัตรู​จะ​สุ่ม​รับ​เอฟเฟกต์​ 1​ อย่าง​จาก​ [​ลด​ DEF]​ [​ลด​ ATK]​ [​ลด​อัตรา​อดทน​]​ [​ลด​อัต​ราค​ริ​ติ​คอ​ล​]​ ขณะเดียวกัน​ฝ่าย​เรา​เพิ่ม​ [​ดา​เม​จ​ต่อเนื่อง​]​ ที่​ทำได้​ขึ้น​ 80%​
92506	130300	301;304;305	0	15001	1	4	0	100	0			1	1	黑雾之渊·三	黑霧之淵·三	Misty Depths III	黒霧ノ淵Ⅲ	검은 안개의 심연III	เหวหมอกมืด·3	<color=#800080>梦魇涌动</color>：敌方单位单体【奥义技能】伤害提升100%，但是【奥义技能】结束后会获得3回合受到伤害提升40%	<color=#800080>夢魘湧動</color>：敵方單位單體【奧義技能】傷害提升100%，但是【奧義技能】結束後會獲得3回合受到傷害提升40%	<color=#800080>Nightmare Surge</color>: Enemy unit gains a 100% increase in single-target Ultimate DMG dealt, but once the Ultimate ends, they will receive a 40% increase in DMG taken for 3 turns.	<color=#800080>ステージ効果</color>：敵の単体SP技の与ダメージ＋100%、SP技発動後、被ダメージ＋40%	<color=#800080>나이트메어 침식</color>: 단일 적의 [필살기 스킬] 대미지가 10% 증가하지만, [필살기 스킬] 종료 후 3턴 동안 적용되는 대미지가 40% 증가합니다.	<color=#800080>กระแสฝันร้าย</color>:​ ศัตรู​สร้าง​ดา​เม​จ​จาก​ [​สกิลอัล​ติ​เมท​]​ เป้า​เดี่ยว​เพิ่มขึ้น​ 100%​ แต่​หลังจาก​สกิลอัล​ติ​เมท​สิ้ง​สุด​ลง​ จะ​ได้รับ​สถานะ​ได้รับ​ดา​เม​จ​เพิ่มขึ้น​ 40%​ เป็นเวลา​ 3​ เทิร์น​
92507	139300	301;304;305	0	15001	1	4	0	100	0			1	1	黑雾之渊·四	黑霧之淵·四	Misty Depths IV	黒霧ノ淵Ⅳ	검은 안개의 심연IV	เหวหมอกมืด·4	<color=#800080>梦魇涌动</color>：敌方单位每回合随机获得【防御力降低】【攻击力降低】【忍耐率降低】【暴击率降低】中的1个效果；同时我方单位单体技能造成的【间接伤害】提升80%	<color=#800080>夢魘湧動</color>：敵方單位每回合隨機獲得【防禦力降低】【攻擊力降低】【忍耐率降低】【爆擊率降低】中的1個效果；同時我方單位單體技能造成的【間接傷害】提升80%	<color=#800080>Nightmare Surge</color>: Enemy units randomly receive one of the following effects each turn: [DEF Down], [ATK Down], [Endurance Down], or [CRIT Rate Down]. Also, increases the [Indirect DMG] dealt by our units' single-target skills by 80%.	<color=#800080>ステージ効果</color>：敵はターンごとに以下のデバフのいずれか1つを付与される：「防御力低下」、「攻撃力低下」、「忍耐率低下」、「会心率低下」。；同時に味方の単体スキルによる「間接ダメージ」は80%増加する。	<color=#800080>나이트메어 침식</color>: 단일 적에게 턴당 랜덤으로 [방어력 감소], [공격력 감소], [인내율 감소], [크리티컬율 감소] 중에 1가지 효과를 획득하며, 동시에 아군 단일 스킬로 부여하는 [간접 대미지]는 80% 증가합니다.	<color=#800080>กระแสฝันร้าย</color>:​ ฝ่าย​ศัตรู​จะ​สุ่ม​รับ​เอฟเฟกต์​ 1​ อย่าง​จาก​ [​ลด​ DEF]​ [​ลด​ ATK]​ [​ลด​อัตรา​อดทน​]​ [​ลด​อัต​ราค​ริ​ติ​คอ​ล​]​ ขณะเดียวกัน​ฝ่าย​เรา​เพิ่ม​ [​ดา​เม​จ​ต่อเนื่อง​]​ ที่​ทำได้​ขึ้น​ 80%​
92508	139300	301;304;305	0	15001	1	4	0	100	0			1	1	黑雾之渊·四	黑霧之淵·四	Misty Depths IV	黒霧ノ淵Ⅳ	검은 안개의 심연IV	เหวหมอกมืด·4	<color=#800080>梦魇涌动</color>：敌方单位单体【奥义技能】伤害提升100%，但是【奥义技能】结束后会获得3回合受到伤害提升40%	<color=#800080>夢魘湧動</color>：敵方單位單體【奧義技能】傷害提升100%，但是【奧義技能】結束後會獲得3回合受到傷害提升40%	<color=#800080>Nightmare Surge</color>: Enemy unit gains a 100% increase in single-target Ultimate DMG dealt, but once the Ultimate ends, they will receive a 40% increase in DMG taken for 3 turns.	<color=#800080>ステージ効果</color>：敵の単体SP技の与ダメージ＋100%、SP技発動後、被ダメージ＋40%	<color=#800080>나이트메어 침식</color>: 단일 적의 [필살기 스킬] 대미지가 10% 증가하지만, [필살기 스킬] 종료 후 3턴 동안 적용되는 대미지가 40% 증가합니다.	<color=#800080>กระแสฝันร้าย</color>:​ ศัตรู​สร้าง​ดา​เม​จ​จาก​ [​สกิลอัล​ติ​เมท​]​ เป้า​เดี่ยว​เพิ่มขึ้น​ 100%​ แต่​หลังจาก​สกิลอัล​ติ​เมท​สิ้ง​สุด​ลง​ จะ​ได้รับ​สถานะ​ได้รับ​ดา​เม​จ​เพิ่มขึ้น​ 40%​ เป็นเวลา​ 3​ เทิร์น​
92509	148300	301;304;305	0	15001	1	4	0	100	0			1	1	黑雾之渊·五	黑霧之淵·五	Misty Depths V	黒霧ノ淵Ⅴ	검은 안개의 심연V	เหวหมอกมืด·5	<color=#800080>梦魇涌动</color>：敌方单位每回合随机获得【防御力降低】【攻击力降低】【忍耐率降低】【暴击率降低】中的1个效果；同时我方单位单体技能造成的【间接伤害】提升80%	<color=#800080>夢魘湧動</color>：敵方單位每回合隨機獲得【防禦力降低】【攻擊力降低】【忍耐率降低】【爆擊率降低】中的1個效果；同時我方單位單體技能造成的【間接傷害】提升80%	<color=#800080>Nightmare Surge</color>: Enemy units randomly receive one of the following effects each turn: [DEF Down], [ATK Down], [Endurance Down], or [CRIT Rate Down]. Also, increases the [Indirect DMG] dealt by our units' single-target skills by 80%.	<color=#800080>ステージ効果</color>：敵はターンごとに以下のデバフのいずれか1つを付与される：「防御力低下」、「攻撃力低下」、「忍耐率低下」、「会心率低下」。；同時に味方の単体スキルによる「間接ダメージ」は80%増加する。	<color=#800080>나이트메어 침식</color>: 단일 적에게 턴당 랜덤으로 [방어력 감소], [공격력 감소], [인내율 감소], [크리티컬율 감소] 중에 1가지 효과를 획득하며, 동시에 아군 단일 스킬로 부여하는 [간접 대미지]는 80% 증가합니다.	<color=#800080>กระแสฝันร้าย</color>:​ ฝ่าย​ศัตรู​จะ​สุ่ม​รับ​เอฟเฟกต์​ 1​ อย่าง​จาก​ [​ลด​ DEF]​ [​ลด​ ATK]​ [​ลด​อัตรา​อดทน​]​ [​ลด​อัต​ราค​ริ​ติ​คอ​ล​]​ ขณะเดียวกัน​ฝ่าย​เรา​เพิ่ม​ [​ดา​เม​จ​ต่อเนื่อง​]​ ที่​ทำได้​ขึ้น​ 80%​
92510	148300	301;304;305	0	15001	1	4	0	100	0			1	1	黑雾之渊·五	黑霧之淵·五	Misty Depths V	黒霧ノ淵Ⅴ	검은 안개의 심연V	เหวหมอกมืด·5	<color=#800080>梦魇涌动</color>：敌方单位单体【奥义技能】伤害提升100%，但是【奥义技能】结束后会获得3回合受到伤害提升40%	<color=#800080>夢魘湧動</color>：敵方單位單體【奧義技能】傷害提升100%，但是【奧義技能】結束後會獲得3回合受到傷害提升40%	<color=#800080>Nightmare Surge</color>: Enemy unit gains a 100% increase in single-target Ultimate DMG dealt, but once the Ultimate ends, they will receive a 40% increase in DMG taken for 3 turns.	<color=#800080>ステージ効果</color>：敵の単体SP技の与ダメージ＋100%、SP技発動後、被ダメージ＋40%	<color=#800080>나이트메어 침식</color>: 단일 적의 [필살기 스킬] 대미지가 10% 증가하지만, [필살기 스킬] 종료 후 3턴 동안 적용되는 대미지가 40% 증가합니다.	<color=#800080>กระแสฝันร้าย</color>:​ ศัตรู​สร้าง​ดา​เม​จ​จาก​ [​สกิลอัล​ติ​เมท​]​ เป้า​เดี่ยว​เพิ่มขึ้น​ 100%​ แต่​หลังจาก​สกิลอัล​ติ​เมท​สิ้ง​สุด​ลง​ จะ​ได้รับ​สถานะ​ได้รับ​ดา​เม​จ​เพิ่มขึ้น​ 40%​ เป็นเวลา​ 3​ เทิร์น​
92511	157300	301;304;305	0	15001	1	4	0	100	0			1	1	黑雾之渊·六	黑霧之淵·六	Misty Depths VI	黒霧ノ淵Ⅵ	검은 안개의 심연VI 	เหวหมอกมืด·6	<color=#800080>梦魇涌动</color>：敌方单位每回合随机获得【防御力降低】【攻击力降低】【忍耐率降低】【暴击率降低】中的1个效果；同时我方单位单体技能造成的【间接伤害】提升80%	<color=#800080>夢魘湧動</color>：敵方單位每回合隨機獲得【防禦力降低】【攻擊力降低】【忍耐率降低】【爆擊率降低】中的1個效果；同時我方單位單體技能造成的【間接傷害】提升80%	<color=#800080>Nightmare Surge</color>: Enemy units randomly receive one of the following effects each turn: [DEF Down], [ATK Down], [Endurance Down], or [CRIT Rate Down]. Also, increases the [Indirect DMG] dealt by our units' single-target skills by 80%.	<color=#800080>ステージ効果</color>：敵はターンごとに以下のデバフのいずれか1つを付与される：「防御力低下」、「攻撃力低下」、「忍耐率低下」、「会心率低下」。；同時に味方の単体スキルによる「間接ダメージ」は80%増加する。	<color=#800080>나이트메어 침식</color>: 단일 적에게 턴당 랜덤으로 [방어력 감소], [공격력 감소], [인내율 감소], [크리티컬율 감소] 중에 1가지 효과를 획득하며, 동시에 아군 단일 스킬로 부여하는 [간접 대미지]는 80% 증가합니다.	<color=#800080>กระแสฝันร้าย</color>:​ ฝ่าย​ศัตรู​จะ​สุ่ม​รับ​เอฟเฟกต์​ 1​ อย่าง​จาก​ [​ลด​ DEF]​ [​ลด​ ATK]​ [​ลด​อัตรา​อดทน​]​ [​ลด​อัต​ราค​ริ​ติ​คอ​ล​]​ ขณะเดียวกัน​ฝ่าย​เรา​เพิ่ม​ [​ดา​เม​จ​ต่อเนื่อง​]​ ที่​ทำได้​ขึ้น​ 80%​
92512	157300	301;304;305	0	15001	1	4	0	100	0			1	1	黑雾之渊·六	黑霧之淵·六	Misty Depths VI	黒霧ノ淵Ⅵ	검은 안개의 심연VI 	เหวหมอกมืด·6	<color=#800080>梦魇涌动</color>：敌方单位单体【奥义技能】伤害提升100%，但是【奥义技能】结束后会获得3回合受到伤害提升40%	<color=#800080>夢魘湧動</color>：敵方單位單體【奧義技能】傷害提升100%，但是【奧義技能】結束後會獲得3回合受到傷害提升40%	<color=#800080>Nightmare Surge</color>: Enemy unit gains a 100% increase in single-target Ultimate DMG dealt, but once the Ultimate ends, they will receive a 40% increase in DMG taken for 3 turns.	<color=#800080>ステージ効果</color>：敵の単体SP技の与ダメージ＋100%、SP技発動後、被ダメージ＋40%	<color=#800080>나이트메어 침식</color>: 단일 적의 [필살기 스킬] 대미지가 10% 증가하지만, [필살기 스킬] 종료 후 3턴 동안 적용되는 대미지가 40% 증가합니다.	<color=#800080>กระแสฝันร้าย</color>:​ ศัตรู​สร้าง​ดา​เม​จ​จาก​ [​สกิลอัล​ติ​เมท​]​ เป้า​เดี่ยว​เพิ่มขึ้น​ 100%​ แต่​หลังจาก​สกิลอัล​ติ​เมท​สิ้ง​สุด​ลง​ จะ​ได้รับ​สถานะ​ได้รับ​ดา​เม​จ​เพิ่มขึ้น​ 40%​ เป็นเวลา​ 3​ เทิร์น​
92513	166300	301;304;305	0	15001	1	4	0	100	0			1	1	黑雾之渊·七	黑霧之淵·七	Misty Depths VII	黒霧ノ淵Ⅶ	검은 안개의 심연VII	เหวหมอกมืด·7	<color=#800080>梦魇涌动</color>：敌方单位每回合随机获得【防御力降低】【攻击力降低】【忍耐率降低】【暴击率降低】中的1个效果；同时我方单位单体技能造成的【间接伤害】提升80%	<color=#800080>夢魘湧動</color>：敵方單位每回合隨機獲得【防禦力降低】【攻擊力降低】【忍耐率降低】【爆擊率降低】中的1個效果；同時我方單位單體技能造成的【間接傷害】提升80%	<color=#800080>Nightmare Surge</color>: Enemy units randomly receive one of the following effects each turn: [DEF Down], [ATK Down], [Endurance Down], or [CRIT Rate Down]. Also, increases the [Indirect DMG] dealt by our units' single-target skills by 80%.	<color=#800080>ステージ効果</color>：敵はターンごとに以下のデバフのいずれか1つを付与される：「防御力低下」、「攻撃力低下」、「忍耐率低下」、「会心率低下」。；同時に味方の単体スキルによる「間接ダメージ」は80%増加する。	<color=#800080>나이트메어 침식</color>: 단일 적에게 턴당 랜덤으로 [방어력 감소], [공격력 감소], [인내율 감소], [크리티컬율 감소] 중에 1가지 효과를 획득하며, 동시에 아군 단일 스킬로 부여하는 [간접 대미지]는 80% 증가합니다.	<color=#800080>กระแสฝันร้าย</color>:​ ฝ่าย​ศัตรู​จะ​สุ่ม​รับ​เอฟเฟกต์​ 1​ อย่าง​จาก​ [​ลด​ DEF]​ [​ลด​ ATK]​ [​ลด​อัตรา​อดทน​]​ [​ลด​อัต​ราค​ริ​ติ​คอ​ล​]​ ขณะเดียวกัน​ฝ่าย​เรา​เพิ่ม​ [​ดา​เม​จ​ต่อเนื่อง​]​ ที่​ทำได้​ขึ้น​ 80%​
92514	166300	301;304;305	0	15001	1	4	0	100	0			1	1	黑雾之渊·七	黑霧之淵·七	Misty Depths VII	黒霧ノ淵Ⅶ	검은 안개의 심연VII	เหวหมอกมืด·7	<color=#800080>梦魇涌动</color>：敌方单位单体【奥义技能】伤害提升100%，但是【奥义技能】结束后会获得3回合受到伤害提升40%	<color=#800080>夢魘湧動</color>：敵方單位單體【奧義技能】傷害提升100%，但是【奧義技能】結束後會獲得3回合受到傷害提升40%	<color=#800080>Nightmare Surge</color>: Enemy unit gains a 100% increase in single-target Ultimate DMG dealt, but once the Ultimate ends, they will receive a 40% increase in DMG taken for 3 turns.	<color=#800080>ステージ効果</color>：敵の単体SP技の与ダメージ＋100%、SP技発動後、被ダメージ＋40%	<color=#800080>나이트메어 침식</color>: 단일 적의 [필살기 스킬] 대미지가 10% 증가하지만, [필살기 스킬] 종료 후 3턴 동안 적용되는 대미지가 40% 증가합니다.	<color=#800080>กระแสฝันร้าย</color>:​ ศัตรู​สร้าง​ดา​เม​จ​จาก​ [​สกิลอัล​ติ​เมท​]​ เป้า​เดี่ยว​เพิ่มขึ้น​ 100%​ แต่​หลังจาก​สกิลอัล​ติ​เมท​สิ้ง​สุด​ลง​ จะ​ได้รับ​สถานะ​ได้รับ​ดา​เม​จ​เพิ่มขึ้น​ 40%​ เป็นเวลา​ 3​ เทิร์น​
92515	175300	301;304;305	0	15001	1	4	0	100	0			1	1	黑雾之渊·八	黑霧之淵·八	Misty Depths VIII	黒霧ノ淵Ⅷ	검은 안개의 심연VIII	เหวหมอกมืด·8	<color=#800080>梦魇涌动</color>：敌方单位每回合随机获得【防御力降低】【攻击力降低】【忍耐率降低】【暴击率降低】中的1个效果；同时我方单位单体技能造成的【间接伤害】提升80%	<color=#800080>夢魘湧動</color>：敵方單位每回合隨機獲得【防禦力降低】【攻擊力降低】【忍耐率降低】【爆擊率降低】中的1個效果；同時我方單位單體技能造成的【間接傷害】提升80%	<color=#800080>Nightmare Surge</color>: Enemy units randomly receive one of the following effects each turn: [DEF Down], [ATK Down], [Endurance Down], or [CRIT Rate Down]. Also, increases the [Indirect DMG] dealt by our units' single-target skills by 80%.	<color=#800080>ステージ効果</color>：敵はターンごとに以下のデバフのいずれか1つを付与される：「防御力低下」、「攻撃力低下」、「忍耐率低下」、「会心率低下」。；同時に味方の単体スキルによる「間接ダメージ」は80%増加する。	<color=#800080>나이트메어 침식</color>: 단일 적에게 턴당 랜덤으로 [방어력 감소], [공격력 감소], [인내율 감소], [크리티컬율 감소] 중에 1가지 효과를 획득하며, 동시에 아군 단일 스킬로 부여하는 [간접 대미지]는 80% 증가합니다.	<color=#800080>กระแสฝันร้าย</color>:​ ฝ่าย​ศัตรู​จะ​สุ่ม​รับ​เอฟเฟกต์​ 1​ อย่าง​จาก​ [​ลด​ DEF]​ [​ลด​ ATK]​ [​ลด​อัตรา​อดทน​]​ [​ลด​อัต​ราค​ริ​ติ​คอ​ล​]​ ขณะเดียวกัน​ฝ่าย​เรา​เพิ่ม​ [​ดา​เม​จ​ต่อเนื่อง​]​ ที่​ทำได้​ขึ้น​ 80%​
92516	175300	301;304;305	0	15001	1	4	0	100	0			1	1	黑雾之渊·八	黑霧之淵·八	Misty Depths VIII	黒霧ノ淵Ⅷ	검은 안개의 심연VIII	เหวหมอกมืด·8	<color=#800080>梦魇涌动</color>：敌方单位单体【奥义技能】伤害提升100%，但是【奥义技能】结束后会获得3回合受到伤害提升40%	<color=#800080>夢魘湧動</color>：敵方單位單體【奧義技能】傷害提升100%，但是【奧義技能】結束後會獲得3回合受到傷害提升40%	<color=#800080>Nightmare Surge</color>: Enemy unit gains a 100% increase in single-target Ultimate DMG dealt, but once the Ultimate ends, they will receive a 40% increase in DMG taken for 3 turns.	<color=#800080>ステージ効果</color>：敵の単体SP技の与ダメージ＋100%、SP技発動後、被ダメージ＋40%	<color=#800080>나이트메어 침식</color>: 단일 적의 [필살기 스킬] 대미지가 10% 증가하지만, [필살기 스킬] 종료 후 3턴 동안 적용되는 대미지가 40% 증가합니다.	<color=#800080>กระแสฝันร้าย</color>:​ ศัตรู​สร้าง​ดา​เม​จ​จาก​ [​สกิลอัล​ติ​เมท​]​ เป้า​เดี่ยว​เพิ่มขึ้น​ 100%​ แต่​หลังจาก​สกิลอัล​ติ​เมท​สิ้ง​สุด​ลง​ จะ​ได้รับ​สถานะ​ได้รับ​ดา​เม​จ​เพิ่มขึ้น​ 40%​ เป็นเวลา​ 3​ เทิร์น​
92517	184300	301;304;305	0	15001	1	4	0	100	0			1	1	黑雾之渊·九	黑霧之淵·九	Misty Depths IX	黒霧ノ淵Ⅸ	검은 안개의 심연IX	เหวหมอกมืด·9	<color=#800080>梦魇涌动</color>：敌方单位每回合随机获得【防御力降低】【攻击力降低】【忍耐率降低】【暴击率降低】中的1个效果；同时我方单位单体技能造成的【间接伤害】提升80%	<color=#800080>夢魘湧動</color>：敵方單位每回合隨機獲得【防禦力降低】【攻擊力降低】【忍耐率降低】【爆擊率降低】中的1個效果；同時我方單位單體技能造成的【間接傷害】提升80%	<color=#800080>Nightmare Surge</color>: Enemy units randomly receive one of the following effects each turn: [DEF Down], [ATK Down], [Endurance Down], or [CRIT Rate Down]. Also, increases the [Indirect DMG] dealt by our units' single-target skills by 80%.	<color=#800080>ステージ効果</color>：敵はターンごとに以下のデバフのいずれか1つを付与される：「防御力低下」、「攻撃力低下」、「忍耐率低下」、「会心率低下」。；同時に味方の単体スキルによる「間接ダメージ」は80%増加する。	<color=#800080>나이트메어 침식</color>: 단일 적에게 턴당 랜덤으로 [방어력 감소], [공격력 감소], [인내율 감소], [크리티컬율 감소] 중에 1가지 효과를 획득하며, 동시에 아군 단일 스킬로 부여하는 [간접 대미지]는 80% 증가합니다.	<color=#800080>กระแสฝันร้าย</color>:​ ฝ่าย​ศัตรู​จะ​สุ่ม​รับ​เอฟเฟกต์​ 1​ อย่าง​จาก​ [​ลด​ DEF]​ [​ลด​ ATK]​ [​ลด​อัตรา​อดทน​]​ [​ลด​อัต​ราค​ริ​ติ​คอ​ล​]​ ขณะเดียวกัน​ฝ่าย​เรา​เพิ่ม​ [​ดา​เม​จ​ต่อเนื่อง​]​ ที่​ทำได้​ขึ้น​ 80%​
92518	184300	301;304;305	0	15001	1	4	0	100	0			1	1	黑雾之渊·九	黑霧之淵·九	Misty Depths IX	黒霧ノ淵Ⅸ	검은 안개의 심연IX	เหวหมอกมืด·9	<color=#800080>梦魇涌动</color>：敌方单位单体【奥义技能】伤害提升100%，但是【奥义技能】结束后会获得3回合受到伤害提升40%	<color=#800080>夢魘湧動</color>：敵方單位單體【奧義技能】傷害提升100%，但是【奧義技能】結束後會獲得3回合受到傷害提升40%	<color=#800080>Nightmare Surge</color>: Enemy unit gains a 100% increase in single-target Ultimate DMG dealt, but once the Ultimate ends, they will receive a 40% increase in DMG taken for 3 turns.	<color=#800080>ステージ効果</color>：敵の単体SP技の与ダメージ＋100%、SP技発動後、被ダメージ＋40%	<color=#800080>나이트메어 침식</color>: 단일 적의 [필살기 스킬] 대미지가 10% 증가하지만, [필살기 스킬] 종료 후 3턴 동안 적용되는 대미지가 40% 증가합니다.	<color=#800080>กระแสฝันร้าย</color>:​ ศัตรู​สร้าง​ดา​เม​จ​จาก​ [​สกิลอัล​ติ​เมท​]​ เป้า​เดี่ยว​เพิ่มขึ้น​ 100%​ แต่​หลังจาก​สกิลอัล​ติ​เมท​สิ้ง​สุด​ลง​ จะ​ได้รับ​สถานะ​ได้รับ​ดา​เม​จ​เพิ่มขึ้น​ 40%​ เป็นเวลา​ 3​ เทิร์น​
92519	193300	301;304;305	0	15001	1	4	0	100	0			1	1	黑雾之渊·十	黑霧之淵·十	Misty Depths X	黒霧ノ淵Ⅹ	검은 안개의 심연X	เหวหมอกมืด·10	<color=#800080>梦魇涌动</color>：敌方单位每回合随机获得【防御力降低】【攻击力降低】【忍耐率降低】【暴击率降低】中的1个效果；同时我方单位单体技能造成的【间接伤害】提升80%	<color=#800080>夢魘湧動</color>：敵方單位每回合隨機獲得【防禦力降低】【攻擊力降低】【忍耐率降低】【爆擊率降低】中的1個效果；同時我方單位單體技能造成的【間接傷害】提升80%	<color=#800080>Nightmare Surge</color>: Enemy units randomly receive one of the following effects each turn: [DEF Down], [ATK Down], [Endurance Down], or [CRIT Rate Down]. Also, increases the [Indirect DMG] dealt by our units' single-target skills by 80%.	<color=#800080>ステージ効果</color>：敵はターンごとに以下のデバフのいずれか1つを付与される：「防御力低下」、「攻撃力低下」、「忍耐率低下」、「会心率低下」。；同時に味方の単体スキルによる「間接ダメージ」は80%増加する。	<color=#800080>나이트메어 침식</color>: 단일 적에게 턴당 랜덤으로 [방어력 감소], [공격력 감소], [인내율 감소], [크리티컬율 감소] 중에 1가지 효과를 획득하며, 동시에 아군 단일 스킬로 부여하는 [간접 대미지]는 80% 증가합니다.	<color=#800080>กระแสฝันร้าย</color>:​ ฝ่าย​ศัตรู​จะ​สุ่ม​รับ​เอฟเฟกต์​ 1​ อย่าง​จาก​ [​ลด​ DEF]​ [​ลด​ ATK]​ [​ลด​อัตรา​อดทน​]​ [​ลด​อัต​ราค​ริ​ติ​คอ​ล​]​ ขณะเดียวกัน​ฝ่าย​เรา​เพิ่ม​ [​ดา​เม​จ​ต่อเนื่อง​]​ ที่​ทำได้​ขึ้น​ 80%​
