Id,,BuffIcon,WordName,,HitEffect,EffectIcon,TriggerEffect,Effect,EffectPosition,EndEffect,Action,HeadShow
304004144,炽炎领域,,skillshow_name_304004144,<color=#F43308>炽炎领域</color>,,,,3040004_lingyu,,,,0
304004161,焰羽,,skillshow_name_304004161,<color=#F43308>焰羽</color>,,,,,,,,0
320002181,,,skillshow_name_320002181,,,,,,,,,0
300000140,威势领域,,skillshow_name_300000140,<color=#1BA7A9>威势领域</color>,,,,3900001_lingyu,,,,0
300000240,生命领域,,skillshow_name_300000240,<color=#11B44B>生命领域</color>,,,,3900002_lingyu,,,,0
300000340,裁决领域,,skillshow_name_300000340,<color=#ffcf69>裁决领域</color>,,,,3900003_lingyu,,,,0
300000440,星弦领域,,skillshow_name_300000440,<color=#F43308>星弦领域</color>,,,,3900004_lingyu,,,,0
300000540,守护领域,,skillshow_name_300000540,<color=#0CF0DD>守护领域</color>,,,,3900005_lingyu,,,,0
300000640,元素领域,,skillshow_name_300000640,<color=#0B0E90>元素领域</color>,,,,3900006_lingyu,,,,0
340005150,安憩之所,,skillshow_name_340005150,<color=#ffcf69>安憩之所</color>,,,,3040005_lingyu,,,,0
320001179,好饿,hp_steal_up,skillshow_name_320001179,,,,,,,,,0
301400931,浸骨花香,,skillshow_name_301400931,赋予浸骨花香,eft_buff_asp_up,,,,,,,0
350036121,回春（竹傀儡）,hp_heal_round,skillshow_name_350036121,赋予回春,,,,,,,,0
350036222,枯萎（竹傀儡）,hp_heal_round_reduce,skillshow_name_350036222,赋予枯萎,,,,,,,,0
330001231,免疫韧性（临时特效）,,,闪避,eft_buff_avoid,ui_zd_zi_shanbi,,",3050003_cy",,,,0
301618715,,,skillshow_name_301618715,<color=#1BEDF0>附加青萝卜</color>,,,,,,,,0
301618716,,,skillshow_name_301618716,<color=#22FF00>附加绿萝卜</color>,,,,,,,,0
301618720,,,skillshow_name_301618720,<color=#8000FF>附加紫萝卜</color>,,,,,,,,0
301618722,,,skillshow_name_301618722,,,,,,,,,0
301618735,,,skillshow_name_301618735,<color=#c00041>附加红萝卜</color>,,,,,,,,0
301618736,,,skillshow_name_301618736,<color=#FF5900>附加橙萝卜</color>,,,,,,,,0
301618739,,,skillshow_name_301618739,<color=#FFE200>附加黄萝卜</color>,,,,,,,,0
301618741,,,skillshow_name_301618741,<color=#006EFF>附加蓝萝卜</color>,,,,,,,,0
401403010,,atk_reduce,skillshow_name_401403010,<color=#FFBB00>熄火</color>,,,,,,,,0
401618701,,,skillshow_name_401618701,<color=#4C4A31>附加黑萝卜</color>,,,,,,,,0
301602024,,,skillshow_name_301602024,推理对决,,,,,,,,0
301602031,,,skillshow_name_301602031,完美主义,,,,,,,,0
301500131,盛开的刹那,,skillshow_name_301500131,盛开的刹那,,,,3015001_lingyu,,,,0
301401920,赋予佣兵经验,,skillshow_name_301401920,赋予佣兵经验,,,,,,,,
