Name,Value,SyncClient,Desc
rolepet_consume_change,"1006201,3,1002142,1,1002141;1006202,3,1002142,1,1002141;1006203,3,1002142,1,1002141;1006204,3,1002142,1,1002141;1006205,3,1002142,1,1002141;1006206,3,1002142,1,1002141;1006207,3,1002142,1,1002141;1006101,1,1002103;1006102,1,1002103;1006103,1,1002103;1006104,1,1002103;1006105,1,1002103;1006106,1,1002103;1006107,1,1002103;1006108,1,1002102;1006109,1,1002102;1006110,1,1002102;1006111,1,1002102;1006112,1,1002102;1006113,1,1002102;1006114,1,1002102;1006115,1,1002101;1006116,1,1002101;1006117,1,1002101;1006118,1,1002101;1006119,1,1002101;1006120,1,1002101;1006121,1,1002101",,星痕养成材料对应选择自选箱(同材料对应多个箱子的情况下开箱获得数量多的箱子放前面）
diamond_lottery_rate,60,,钻石兑换扭蛋劵的比例
lottery_premiumpoints_num,"100,500,1500,3000,5000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000",,"N充值积分可增加转盘抽取次数（配置：第1次需要积分，第2次需要积分,……第N次需要积分）"
lottery_item,"1000001,1000002",,钻石大转盘顶部资源显示（配置：itemId，itemId，……itemId）
newbie_buff,10116,,新手BUFF在哪一关弹出提示
skill_symbol,".,?;:'!，。？！：；",,技能描述中英文符号
rolefavor_stage,4,,每个消耗体力的关卡为上阵星痕增加的好感度
naomiplot_right_option,"1,5",,奈奥米主题活动剧情指认凶手：配置正确选项
skin_story_qudao,"0,8,9,10",,需要显示的皮肤剧情的渠道设置
assist_role_range,"10000,1000,15",,随机助战范围参数（取多少个人，降序排列后取前几名，一次随机几个人）
assist_role_refresh_cd,5,,随机助战刷新cd（单位秒）
assist_role_records,30,,助战记录保留条数
assist_role_rewards,"1001005,200,3",,助战奖励（每次奖励id，每次奖励数量，每日最大次数）
max_infrastructure_reward_time,144000,,神谕司建筑产出大于等于xx（秒）后，停止产出
build_reddot_time,72000,,神谕司红点提示时间
build_appoint_cd,0,,神谕司每个建筑委任间隔
build_auto_update,"1001,1002,1003,1004",,神谕司满足条件自动0级升1级的建筑id
build_invitation_item,1000017,,神谕司邀请函道具
build_food_exp,"1,10;2,20;3,50;4,100",,神谕司不同品质料理，提供的经验
build_appointment_time,6,,神谕司约会邀请魔女后，时间流速：现实1秒=游戏内x秒
build_appointment_unlockfoodfavar,5,,魔女好感度x级，喂食时直接得知魔女的喜好食物
build_appointment_inviting,7,,魔女好感度x级，邀请魔女不需要消耗邀请函
