id	ScheduleId	unlockType	unlockId	unlockNum	taskContentType	taskContentId	taskContenNum	point	openType	openParameter	ifDaily	status	desc	desc_zh_TW	desc_en_UK	desc_ja_JP	desc_ko_KR	desc_th_TH
2014	20	25		106070	252		1	60	721		0	1	参与1次天梯竞技场	參與1次天梯競技場	Complete 1 battle in the Arena.	アリーナランク戦に1回出場する	래더 아레나에서 1회 참여	เข้าร่วม​สกาย​อารี​น่า​ 1​ ครั้ง​
2015	20	25		105030	1118		3	60	723		0	1	参与3次幻影特训场	參與3次幻影特訓場	Battle in Master Duel 3 times.	ファントム特訓に3回参加する	팬텀 특훈장 3회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​ 3​ ครั้ง​
2016	20	25		109210	1106		3	60	722		0	1	参与3次幻影斗技场	參與3次幻影鬥技場	Participate in Phantom Clash 3 times.	ファントム闘技場に3回出場する	팬텀 투기장 3회 참여	เข้าร่วม​แฟน​ธอม​อารี​น่า​ 3​ ครั้ง​
2017	20				601	1	5	80	601	1	0	1	进行5次召唤	進行5次召喚	Make 5 summons.	召喚を5回行う	소환 5회 진행	รับสมัคร 5 ครั้ง
2018	20	25		102170	1602		5	80	522		0	1	进行5次猫球抽取	進行5次貓球抽取	Summon Catos 5 times.	ガトガチャを5回回す	냥냥볼 뽑기 5회 진행	จุ่มแคทบอล 5 ครั้ง
2019	20			1	405		1	60			1	1	每日登陆	每日登入	Log in daily.	ログインする	매일 접속	ล็อกอินทุกวัน
2101	21				7	3000004	200	60	0		0	1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
2102	21				7	3000003	100000	60			0	1	累计消耗100000新海币	累計消耗100000新海幣	Spend 100,000 Catto Coins in total.	累計で100000新海コインを消費する	뉴오션 코인 누적 100000 소모	ใช้​เหรียญ​แค​ทโตะ​สะสม​ 100,000​ เหรียญ​
2103	21				1803		150	60	301		0	1	每日活跃度达到150点	每日活躍度達到150點	Reach 150 Daily Activeness.	活躍度が150に達する	일일 활약도 150 달성	ค่า​แอ็ก​ที​ฟ​รายวัน​ถึง​ 150​ แต้ม​
2104	21				1101	6	3	60	224		0	1	通关任意难度经验副本3次	通關任意難度經驗副本3次	Complete any EXP Stage 3 times.	EXPステージを3回クリアする	랜덤 난이도 EXP 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2105	21				1101	4	3	60	283		0	1	通关任意难度芯片副本3次	通關任意難度晶片副本3次	Complete any Chip Stage 3 times.	チップステージを3回クリアする	랜덤 난이도 칩 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2106	21				1101	5	3	60	223		0	1	通关任意难度粒子副本3次	通關任意難度粒子副本3次	Complete any Particle Stage 3 times.	粒子ステージを3回クリアする	랜덤 난이도 파티클 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อนุภาค​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2107	21				1101	1	3	60	288		0	1	通关任意难度装备副本3次	通關任意難度裝備副本3次	Complete any Equipment Stage 3 times.	装備ステージを3回クリアする	랜덤 난이도 장비 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อุปกรณ์​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2108	21	25		104020	1405		1	60	518		0	1	完成1次离岛空运	完成1次離島空運	Complete Air Express 1 time.	離島空便を１回完了する	항공 운송 1회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 1​ ครั้ง​
2109	21				1416		10	60	511		0	1	制作10个任意料理	製作10個任意料理	Create any food 10 times.	任意の料理を10個製作する	요리 10개 제작	ทำอาหาร​แบบ​ใด​ก็ได้​ 10​ รายการ​
2110	21				1403		5	60	517		0	1	完成5个外卖订单	完成5個外賣訂單	Complete 5 delivery orders.	出前を5回完了する	배달 주문 5건 완료	ส่งสำเร็จ 5 ออเดอร์
2111	21				7	4198001	10	60	230		0	1	任意渔场钓鱼10次	任意漁場釣魚10次	Fish 10 times in any Fishery.	任意の漁場で釣りを10回完了する	임의의 낚시터에서 낚시 10회	ตกปลา​ที่​บ่อ​ปลา​ใด​ก็ได้​ 10​ ครั้ง​
2112	21	25		104110	1103		2	60	236		0	1	通关2次巨型傀入侵	通關2次巨型傀入侵	Complete Giant Anomaly Invasion 2 times.	巨大型傀侵入を2回クリアする	자이언트 퍼펫 침입 2회 클리어	ผ่าน​การ​รุกราน​ของ​หุ่นเชิด​ยักษ์​ 2​ ครั้ง​
2113	21	25		107120	274		1	60	212		0	1	参与1次世界首领	 參與1次世界首領	Fight the World Boss once.	ワールドBOSSの討伐に1回参加する	월드 보스 1회 참여	เข้าร่วม​เวิลด์​บอส​ 1​ ครั้ง​
2114	21	25		106070	252		1	60	721		0	1	参与1次天梯竞技场	參與1次天梯競技場	Complete 1 battle in the Arena.	アリーナランク戦に1回出場する	래더 아레나에서 1회 참여	เข้าร่วม​สกาย​อารี​น่า​ 1​ ครั้ง​
2115	21	25		105030	1118		3	60	723		0	1	参与3次幻影特训场	參與3次幻影特訓場	Battle in Master Duel 3 times.	ファントム特訓に3回参加する	팬텀 특훈장 3회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​ 3​ ครั้ง​
2116	21	25		109210	1106		3	60	722		0	1	参与3次幻影斗技场	參與3次幻影鬥技場	Participate in Phantom Clash 3 times.	ファントム闘技場に3回出場する	팬텀 투기장 3회 참여	เข้าร่วม​แฟน​ธอม​อารี​น่า​ 3​ ครั้ง​
2117	21				601	1	5	80	601	1	0	1	进行5次召唤	進行5次召喚	Make 5 summons.	召喚を5回行う	소환 5회 진행	รับสมัคร 5 ครั้ง
2118	21	25		102170	1602		5	80	522		0	1	进行5次猫球抽取	進行5次貓球抽取	Summon Catos 5 times.	ガトガチャを5回回す	냥냥볼 뽑기 5회 진행	จุ่มแคทบอล 5 ครั้ง
2119	21			1	405		1	60			1	1	每日登陆	每日登入	Log in daily.	ログインする	매일 접속	ล็อกอินทุกวัน
2201	22				7	3000004	200	60	0		0	1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
2202	22				7	3000003	100000	60			0	1	累计消耗100000新海币	累計消耗100000新海幣	Spend 100,000 Catto Coins in total.	累計で100000新海コインを消費する	뉴오션 코인 누적 100000 소모	ใช้​เหรียญ​แค​ทโตะ​สะสม​ 100,000​ เหรียญ​
2203	22				1803		150	60	301		0	1	每日活跃度达到150点	每日活躍度達到150點	Reach 150 Daily Activeness.	活躍度が150に達する	일일 활약도 150 달성	ค่า​แอ็ก​ที​ฟ​รายวัน​ถึง​ 150​ แต้ม​
2204	22				1101	6	3	60	224		0	1	通关任意难度经验副本3次	通關任意難度經驗副本3次	Complete any EXP Stage 3 times.	EXPステージを3回クリアする	랜덤 난이도 EXP 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2205	22				1101	4	3	60	283		0	1	通关任意难度芯片副本3次	通關任意難度晶片副本3次	Complete any Chip Stage 3 times.	チップステージを3回クリアする	랜덤 난이도 칩 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2206	22				1101	5	3	60	223		0	1	通关任意难度粒子副本3次	通關任意難度粒子副本3次	Complete any Particle Stage 3 times.	粒子ステージを3回クリアする	랜덤 난이도 파티클 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อนุภาค​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2207	22				1101	1	3	60	288		0	1	通关任意难度装备副本3次	通關任意難度裝備副本3次	Complete any Equipment Stage 3 times.	装備ステージを3回クリアする	랜덤 난이도 장비 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อุปกรณ์​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2208	22	25		104020	1405		1	60	518		0	1	完成1次离岛空运	完成1次離島空運	Complete Air Express 1 time.	離島空便を１回完了する	항공 운송 1회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 1​ ครั้ง​
2209	22				1416		10	60	511		0	1	制作10个任意料理	製作10個任意料理	Create any food 10 times.	任意の料理を10個製作する	요리 10개 제작	ทำอาหาร​แบบ​ใด​ก็ได้​ 10​ รายการ​
2210	22				1403		5	60	517		0	1	完成5个外卖订单	完成5個外賣訂單	Complete 5 delivery orders.	出前を5回完了する	배달 주문 5건 완료	ส่งสำเร็จ 5 ออเดอร์
2211	22				7	4198001	10	60	230		0	1	任意渔场钓鱼10次	任意漁場釣魚10次	Fish 10 times in any Fishery.	任意の漁場で釣りを10回完了する	임의의 낚시터에서 낚시 10회	ตกปลา​ที่​บ่อ​ปลา​ใด​ก็ได้​ 10​ ครั้ง​
2212	22	25		104110	1103		2	60	236		0	1	通关2次巨型傀入侵	通關2次巨型傀入侵	Complete Giant Anomaly Invasion 2 times.	巨大型傀侵入を2回クリアする	자이언트 퍼펫 침입 2회 클리어	ผ่าน​การ​รุกราน​ของ​หุ่นเชิด​ยักษ์​ 2​ ครั้ง​
2213	22	25		107120	274		1	60	212		0	1	参与1次世界首领	 參與1次世界首領	Fight the World Boss once.	ワールドBOSSの討伐に1回参加する	월드 보스 1회 참여	เข้าร่วม​เวิลด์​บอส​ 1​ ครั้ง​
2214	22	25		106070	252		1	60	721		0	1	参与1次天梯竞技场	參與1次天梯競技場	Complete 1 battle in the Arena.	アリーナランク戦に1回出場する	래더 아레나에서 1회 참여	เข้าร่วม​สกาย​อารี​น่า​ 1​ ครั้ง​
2215	22	25		105030	1118		3	60	723		0	1	参与3次幻影特训场	參與3次幻影特訓場	Battle in Master Duel 3 times.	ファントム特訓に3回参加する	팬텀 특훈장 3회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​ 3​ ครั้ง​
2216	22	25		109210	1106		3	60	722		0	1	参与3次幻影斗技场	參與3次幻影鬥技場	Participate in Phantom Clash 3 times.	ファントム闘技場に3回出場する	팬텀 투기장 3회 참여	เข้าร่วม​แฟน​ธอม​อารี​น่า​ 3​ ครั้ง​
2217	22				601	1	5	80	601	1	0	1	进行5次召唤	進行5次召喚	Make 5 summons.	召喚を5回行う	소환 5회 진행	รับสมัคร 5 ครั้ง
2218	22	25		102170	1602		5	80	522		0	1	进行5次猫球抽取	進行5次貓球抽取	Summon Catos 5 times.	ガトガチャを5回回す	냥냥볼 뽑기 5회 진행	จุ่มแคทบอล 5 ครั้ง
2219	22			1	405		1	60			1	1	每日登陆	每日登入	Log in daily.	ログインする	매일 접속	ล็อกอินทุกวัน
2301	23				7	3000004	200	60	0		0	1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
2302	23				7	3000003	100000	60			0	1	累计消耗100000新海币	累計消耗100000新海幣	Spend 100,000 Catto Coins in total.	累計で100000新海コインを消費する	뉴오션 코인 누적 100000 소모	ใช้​เหรียญ​แค​ทโตะ​สะสม​ 100,000​ เหรียญ​
2303	23				1803		150	60	301		0	1	每日活跃度达到150点	每日活躍度達到150點	Reach 150 Daily Activeness.	活躍度が150に達する	일일 활약도 150 달성	ค่า​แอ็ก​ที​ฟ​รายวัน​ถึง​ 150​ แต้ม​
2304	23				1101	6	3	60	224		0	1	通关任意难度经验副本3次	通關任意難度經驗副本3次	Complete any EXP Stage 3 times.	EXPステージを3回クリアする	랜덤 난이도 EXP 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2305	23				1101	4	3	60	283		0	1	通关任意难度芯片副本3次	通關任意難度晶片副本3次	Complete any Chip Stage 3 times.	チップステージを3回クリアする	랜덤 난이도 칩 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2306	23				1101	5	3	60	223		0	1	通关任意难度粒子副本3次	通關任意難度粒子副本3次	Complete any Particle Stage 3 times.	粒子ステージを3回クリアする	랜덤 난이도 파티클 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อนุภาค​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2307	23				1101	1	3	60	288		0	1	通关任意难度装备副本3次	通關任意難度裝備副本3次	Complete any Equipment Stage 3 times.	装備ステージを3回クリアする	랜덤 난이도 장비 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อุปกรณ์​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2308	23	25		104020	1405		1	60	518		0	1	完成1次离岛空运	完成1次離島空運	Complete Air Express 1 time.	離島空便を１回完了する	항공 운송 1회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 1​ ครั้ง​
2309	23				1416		10	60	511		0	1	制作10个任意料理	製作10個任意料理	Create any food 10 times.	任意の料理を10個製作する	요리 10개 제작	ทำอาหาร​แบบ​ใด​ก็ได้​ 10​ รายการ​
2310	23				1403		5	60	517		0	1	完成5个外卖订单	完成5個外賣訂單	Complete 5 delivery orders.	出前を5回完了する	배달 주문 5건 완료	ส่งสำเร็จ 5 ออเดอร์
2311	23				7	4198001	10	60	230		0	1	任意渔场钓鱼10次	任意漁場釣魚10次	Fish 10 times in any Fishery.	任意の漁場で釣りを10回完了する	임의의 낚시터에서 낚시 10회	ตกปลา​ที่​บ่อ​ปลา​ใด​ก็ได้​ 10​ ครั้ง​
2312	23	25		104110	1103		2	60	236		0	1	通关2次巨型傀入侵	通關2次巨型傀入侵	Complete Giant Anomaly Invasion 2 times.	巨大型傀侵入を2回クリアする	자이언트 퍼펫 침입 2회 클리어	ผ่าน​การ​รุกราน​ของ​หุ่นเชิด​ยักษ์​ 2​ ครั้ง​
2313	23	25		107120	274		1	60	212		0	1	参与1次世界首领	 參與1次世界首領	Fight the World Boss once.	ワールドBOSSの討伐に1回参加する	월드 보스 1회 참여	เข้าร่วม​เวิลด์​บอส​ 1​ ครั้ง​
2314	23	25		106070	252		1	60	721		0	1	参与1次天梯竞技场	參與1次天梯競技場	Complete 1 battle in the Arena.	アリーナランク戦に1回出場する	래더 아레나에서 1회 참여	เข้าร่วม​สกาย​อารี​น่า​ 1​ ครั้ง​
2315	23	25		105030	1118		3	60	723		0	1	参与3次幻影特训场	參與3次幻影特訓場	Battle in Master Duel 3 times.	ファントム特訓に3回参加する	팬텀 특훈장 3회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​ 3​ ครั้ง​
2316	23	25		109210	1106		3	60	722		0	1	参与3次幻影斗技场	參與3次幻影鬥技場	Participate in Phantom Clash 3 times.	ファントム闘技場に3回出場する	팬텀 투기장 3회 참여	เข้าร่วม​แฟน​ธอม​อารี​น่า​ 3​ ครั้ง​
2317	23				601	1	5	80	601	1	0	1	进行5次召唤	進行5次召喚	Make 5 summons.	召喚を5回行う	소환 5회 진행	รับสมัคร 5 ครั้ง
2318	23	25		102170	1602		5	80	522		0	1	进行5次猫球抽取	進行5次貓球抽取	Summon Catos 5 times.	ガトガチャを5回回す	냥냥볼 뽑기 5회 진행	จุ่มแคทบอล 5 ครั้ง
2319	23			1	405		1	60			1	1	每日登陆	每日登入	Log in daily.	ログインする	매일 접속	ล็อกอินทุกวัน
2401	24				7	3000004	200	60	0		0	1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
2402	24				7	3000003	100000	60			0	1	累计消耗100000新海币	累計消耗100000新海幣	Spend 100,000 Catto Coins in total.	累計で100000新海コインを消費する	뉴오션 코인 누적 100000 소모	ใช้​เหรียญ​แค​ทโตะ​สะสม​ 100,000​ เหรียญ​
2403	24				1803		150	60	301		0	1	每日活跃度达到150点	每日活躍度達到150點	Reach 150 Daily Activeness.	活躍度が150に達する	일일 활약도 150 달성	ค่า​แอ็ก​ที​ฟ​รายวัน​ถึง​ 150​ แต้ม​
2404	24				1101	6	3	60	224		0	1	通关任意难度经验副本3次	通關任意難度經驗副本3次	Complete any EXP Stage 3 times.	EXPステージを3回クリアする	랜덤 난이도 EXP 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2405	24				1101	4	3	60	283		0	1	通关任意难度芯片副本3次	通關任意難度晶片副本3次	Complete any Chip Stage 3 times.	チップステージを3回クリアする	랜덤 난이도 칩 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2406	24				1101	5	3	60	223		0	1	通关任意难度粒子副本3次	通關任意難度粒子副本3次	Complete any Particle Stage 3 times.	粒子ステージを3回クリアする	랜덤 난이도 파티클 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อนุภาค​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2407	24				1101	1	3	60	288		0	1	通关任意难度装备副本3次	通關任意難度裝備副本3次	Complete any Equipment Stage 3 times.	装備ステージを3回クリアする	랜덤 난이도 장비 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อุปกรณ์​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2408	24	25		104020	1405		1	60	518		0	1	完成1次离岛空运	完成1次離島空運	Complete Air Express 1 time.	離島空便を１回完了する	항공 운송 1회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 1​ ครั้ง​
2409	24				1416		10	60	511		0	1	制作10个任意料理	製作10個任意料理	Create any food 10 times.	任意の料理を10個製作する	요리 10개 제작	ทำอาหาร​แบบ​ใด​ก็ได้​ 10​ รายการ​
2410	24				1403		5	60	517		0	1	完成5个外卖订单	完成5個外賣訂單	Complete 5 delivery orders.	出前を5回完了する	배달 주문 5건 완료	ส่งสำเร็จ 5 ออเดอร์
2411	24				7	4198001	10	60	230		0	1	任意渔场钓鱼10次	任意漁場釣魚10次	Fish 10 times in any Fishery.	任意の漁場で釣りを10回完了する	임의의 낚시터에서 낚시 10회	ตกปลา​ที่​บ่อ​ปลา​ใด​ก็ได้​ 10​ ครั้ง​
2412	24	25		104110	1103		2	60	236		0	1	通关2次巨型傀入侵	通關2次巨型傀入侵	Complete Giant Anomaly Invasion 2 times.	巨大型傀侵入を2回クリアする	자이언트 퍼펫 침입 2회 클리어	ผ่าน​การ​รุกราน​ของ​หุ่นเชิด​ยักษ์​ 2​ ครั้ง​
2413	24	25		107120	274		1	60	212		0	1	参与1次世界首领	 參與1次世界首領	Fight the World Boss once.	ワールドBOSSの討伐に1回参加する	월드 보스 1회 참여	เข้าร่วม​เวิลด์​บอส​ 1​ ครั้ง​
2414	24	25		106070	252		1	60	721		0	1	参与1次天梯竞技场	參與1次天梯競技場	Complete 1 battle in the Arena.	アリーナランク戦に1回出場する	래더 아레나에서 1회 참여	เข้าร่วม​สกาย​อารี​น่า​ 1​ ครั้ง​
2415	24	25		105030	1118		3	60	723		0	1	参与3次幻影特训场	參與3次幻影特訓場	Battle in Master Duel 3 times.	ファントム特訓に3回参加する	팬텀 특훈장 3회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​ 3​ ครั้ง​
2416	24	25		109210	1106		3	60	722		0	1	参与3次幻影斗技场	參與3次幻影鬥技場	Participate in Phantom Clash 3 times.	ファントム闘技場に3回出場する	팬텀 투기장 3회 참여	เข้าร่วม​แฟน​ธอม​อารี​น่า​ 3​ ครั้ง​
2417	24				601	1	5	80	601	1	0	1	进行5次召唤	進行5次召喚	Make 5 summons.	召喚を5回行う	소환 5회 진행	รับสมัคร 5 ครั้ง
2418	24	25		102170	1602		5	80	522		0	1	进行5次猫球抽取	進行5次貓球抽取	Summon Catos 5 times.	ガトガチャを5回回す	냥냥볼 뽑기 5회 진행	จุ่มแคทบอล 5 ครั้ง
2419	24			1	405		1	60			1	1	每日登陆	每日登入	Log in daily.	ログインする	매일 접속	ล็อกอินทุกวัน
2501	25				7	3000004	200	60	0		0	1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
2502	25				7	3000003	100000	60			0	1	累计消耗100000新海币	累計消耗100000新海幣	Spend 100,000 Catto Coins in total.	累計で100000新海コインを消費する	뉴오션 코인 누적 100000 소모	ใช้​เหรียญ​แค​ทโตะ​สะสม​ 100,000​ เหรียญ​
2503	25				1803		150	60	301		0	1	每日活跃度达到150点	每日活躍度達到150點	Reach 150 Daily Activeness.	活躍度が150に達する	일일 활약도 150 달성	ค่า​แอ็ก​ที​ฟ​รายวัน​ถึง​ 150​ แต้ม​
2504	25				1101	6	3	60	224		0	1	通关任意难度经验副本3次	通關任意難度經驗副本3次	Complete any EXP Stage 3 times.	EXPステージを3回クリアする	랜덤 난이도 EXP 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2505	25				1101	4	3	60	283		0	1	通关任意难度芯片副本3次	通關任意難度晶片副本3次	Complete any Chip Stage 3 times.	チップステージを3回クリアする	랜덤 난이도 칩 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2506	25				1101	5	3	60	223		0	1	通关任意难度粒子副本3次	通關任意難度粒子副本3次	Complete any Particle Stage 3 times.	粒子ステージを3回クリアする	랜덤 난이도 파티클 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อนุภาค​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2507	25				1101	1	3	60	288		0	1	通关任意难度装备副本3次	通關任意難度裝備副本3次	Complete any Equipment Stage 3 times.	装備ステージを3回クリアする	랜덤 난이도 장비 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อุปกรณ์​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2508	25	25		104020	1405		1	60	518		0	1	完成1次离岛空运	完成1次離島空運	Complete Air Express 1 time.	離島空便を１回完了する	항공 운송 1회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 1​ ครั้ง​
2509	25				1416		10	60	511		0	1	制作10个任意料理	製作10個任意料理	Create any food 10 times.	任意の料理を10個製作する	요리 10개 제작	ทำอาหาร​แบบ​ใด​ก็ได้​ 10​ รายการ​
2510	25				1403		5	60	517		0	1	完成5个外卖订单	完成5個外賣訂單	Complete 5 delivery orders.	出前を5回完了する	배달 주문 5건 완료	ส่งสำเร็จ 5 ออเดอร์
2511	25				7	4198001	10	60	230		0	1	任意渔场钓鱼10次	任意漁場釣魚10次	Fish 10 times in any Fishery.	任意の漁場で釣りを10回完了する	임의의 낚시터에서 낚시 10회	ตกปลา​ที่​บ่อ​ปลา​ใด​ก็ได้​ 10​ ครั้ง​
2512	25	25		104110	1103		2	60	236		0	1	通关2次巨型傀入侵	通關2次巨型傀入侵	Complete Giant Anomaly Invasion 2 times.	巨大型傀侵入を2回クリアする	자이언트 퍼펫 침입 2회 클리어	ผ่าน​การ​รุกราน​ของ​หุ่นเชิด​ยักษ์​ 2​ ครั้ง​
2513	25	25		107120	274		1	60	212		0	1	参与1次世界首领	 參與1次世界首領	Fight the World Boss once.	ワールドBOSSの討伐に1回参加する	월드 보스 1회 참여	เข้าร่วม​เวิลด์​บอส​ 1​ ครั้ง​
2514	25	25		106070	252		1	60	721		0	1	参与1次天梯竞技场	參與1次天梯競技場	Complete 1 battle in the Arena.	アリーナランク戦に1回出場する	래더 아레나에서 1회 참여	เข้าร่วม​สกาย​อารี​น่า​ 1​ ครั้ง​
2515	25	25		105030	1118		3	60	723		0	1	参与3次幻影特训场	參與3次幻影特訓場	Battle in Master Duel 3 times.	ファントム特訓に3回参加する	팬텀 특훈장 3회 참여	เข้าร่วม​สนาม​ซ้อม​แฟน​ธอม​ 3​ ครั้ง​
2516	25	25		109210	1106		3	60	722		0	1	参与3次幻影斗技场	參與3次幻影鬥技場	Participate in Phantom Clash 3 times.	ファントム闘技場に3回出場する	팬텀 투기장 3회 참여	เข้าร่วม​แฟน​ธอม​อารี​น่า​ 3​ ครั้ง​
2517	25				601	1	5	80	601	1	0	1	进行5次召唤	進行5次召喚	Make 5 summons.	召喚を5回行う	소환 5회 진행	รับสมัคร 5 ครั้ง
2518	25	25		102170	1602		5	80	522		0	1	进行5次猫球抽取	進行5次貓球抽取	Summon Catos 5 times.	ガトガチャを5回回す	냥냥볼 뽑기 5회 진행	จุ่มแคทบอล 5 ครั้ง
2519	25			1	405		1	60			1	1	每日登陆	每日登入	Log in daily.	ログインする	매일 접속	ล็อกอินทุกวัน
2601	26				7	3000004	200	60	0		0	1	消耗200点情绪	消耗200點情緒	Spend 200 Pathos.	エモーションを200消費する	이모션 200 소모	ใช้พาโธส 200 แต้ม
2602	26				7	3000003	100000	60			0	1	累计消耗100000新海币	累計消耗100000新海幣	Spend 100,000 Catto Coins in total.	累計で100000新海コインを消費する	뉴오션 코인 누적 100000 소모	ใช้​เหรียญ​แค​ทโตะ​สะสม​ 100,000​ เหรียญ​
2603	26				1803		150	60	301		0	1	每日活跃度达到150点	每日活躍度達到150點	Reach 150 Daily Activeness.	活躍度が150に達する	일일 활약도 150 달성	ค่า​แอ็ก​ที​ฟ​รายวัน​ถึง​ 150​ แต้ม​
2604	26				1101	6	3	60	224		0	1	通关任意难度经验副本3次	通關任意難度經驗副本3次	Complete any EXP Stage 3 times.	EXPステージを3回クリアする	랜덤 난이도 EXP 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ EXP​ ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2605	26				1101	4	3	60	283		0	1	通关任意难度芯片副本3次	通關任意難度晶片副本3次	Complete any Chip Stage 3 times.	チップステージを3回クリアする	랜덤 난이도 칩 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​ชิป​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2606	26				1101	5	3	60	223		0	1	通关任意难度粒子副本3次	通關任意難度粒子副本3次	Complete any Particle Stage 3 times.	粒子ステージを3回クリアする	랜덤 난이도 파티클 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อนุภาค​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2607	26				1101	1	3	60	288		0	1	通关任意难度装备副本3次	通關任意難度裝備副本3次	Complete any Equipment Stage 3 times.	装備ステージを3回クリアする	랜덤 난이도 장비 던전 3회 클리어	ผ่าน​ดัน​เจี้ยน​อุปกรณ์​ความ​ยาก​ใด​ก็ได้​ 3​ ครั้ง​
2608	26	25		104020	1405		1	60	518		0	1	完成1次离岛空运	完成1次離島空運	Complete Air Express 1 time.	離島空便を１回完了する	항공 운송 1회 완료	สำเร็จ​การขนส่ง​ทางอากาศ​ 1​ ครั้ง​
2609	26				1416		10	60	511		0	1	制作10个任意料理	製作10個任意料理	Create any food 10 times.	任意の料理を10個製作する	요리 10개 제작	ทำอาหาร​แบบ​ใด​ก็ได้​ 10​ รายการ​
2610	26				1403		5	60	517		0	1	完成5个外卖订单	完成5個外賣訂單	Complete 5 delivery orders.	出前を5回完了する	배달 주문 5건 완료	ส่งสำเร็จ 5 ออเดอร์
2611	26				7	4198001	10	60	230		0	1	任意渔场钓鱼10次	任意漁場釣魚10次	Fish 10 times in any Fishery.	任意の漁場で釣りを10回完了する	임의의 낚시터에서 낚시 10회	ตกปลา​ที่​บ่อ​ปลา​ใด​ก็ได้​ 10​ ครั้ง​
