taskAchId	startType	taskContentType	taskContentId	taskContenNum	rewardId	rewardNum	openType	openParameter	status	taskTitle	taskTitle_zh_TW	taskTitle_en_UK	taskTitle_ja_JP	taskTitle_ko_KR	taskTitle_th_TH
708	1	1410		6			520		1	将餐厅升至<color=#ff4dc0>6</color>级	將餐廳升至<color=#ff4dc0>6</color>級	Upgrade the Cafe to lv.<color=#ff4dc0>6</color>.	レストランを<color=#ff4dc0>Lv.6</color>にレベルアップする	카페테리아 <color=#ff4dc0>6</color>레벨 달성	อัปคาเฟ่ถึงเลเวล <color=#ff4dc0>6</color>
709	1	1213	45	2			701		1	将任意<color=#ff4dc0>2</color>个战斗员提升至<color=#ff4dc0>45</color>级	將任意<color=#ff4dc0>2</color>個戰鬥員提升至<color=#ff4dc0>45</color>級	Raise <color=#ff4dc0>2</color> Combatants to lv.<color=#ff4dc0>45</color>.	任意の戦闘員<color=#ff4dc0>2</color>名を<color=#ff4dc0>Lv.45</color>にレベルアップする	임의의 전투원 <color=#ff4dc0>2</color>명 <color=#ff4dc0>45</color>레벨 달성	อัปเกรดตัวละครใดก็ได้ <color=#ff4dc0>2</color> คน ให้ถึงเลเวล <color=#ff4dc0>45</color>
710	1	1116	1	40			411		1	通关拟真战斗中心-训练中枢<color=#ff4dc0>40</color>层	通關擬真戰鬥中心-訓練中樞<color=#ff4dc0>40</color>層	Clear <color=#ff4dc0>40</color> Floors in SimuBattle Center - Training Hub.	模擬戦闘センター・訓練中枢<color=#ff4dc0>40</color>層をクリアする	시뮬레이션 전투 센터-훈련 허브 <color=#ff4dc0>40</color>층 클리어	ผ่านด่านศูนย์ฝึกจำลองการรบ-ศูนย์การฝึก ชั้นที่ <color=#ff4dc0>40</color>
801	2	1306	106	6			253		1	获得<color=#ff4dc0>6</color>件暴伤套装备	獲得<color=#ff4dc0>6</color>件爆傷套裝備	Get <color=#ff4dc0>6</color> pieces of CRIT DMG Set equipment.	会心ダメージセットの装備を<color=#ff4dc0>6</color>個獲得する	크리티컬 대미지 세트 장비 <color=#ff4dc0>6</color>개 획득	ได้รับอุปกรณ์เซ็ตดาเมจคริ <color=#ff4dc0>6</color> ชิ้น
802	1	1701	3	6			701		1	将任意<color=#ff4dc0>6</color>件装备升至<color=#ff4dc0>3</color>星	將任意<color=#ff4dc0>6</color>件裝備升至<color=#ff4dc0>3</color>星	Upgrade <color=#ff4dc0>6</color> pieces of equipment to <color=#ff4dc0>3</color>★.	任意の装備<color=#ff4dc0>6</color>個を<color=#ff4dc0>★3</color>に昇格する	임의의 장비 <color=#ff4dc0>6</color>개 <color=#ff4dc0>3</color>★까지 승급	อัปเกรดดาวอุปกรณ์ใดก็ได้ <color=#ff4dc0>6</color> ชิ้น ให้ถึงระดับ <color=#ff4dc0>3</color>★
803	1	1404	4	5			517	4	1	累计配送<color=#ff4dc0>5</color>单旧城区外卖	累計配送<color=#ff4dc0>5</color>單舊城區外賣	Complete <color=#ff4dc0>5</color> delivery orders in Oldtown.	オールドタウンの出前を<color=#ff4dc0>5</color>回完了する	구시가지로 누적 <color=#ff4dc0>5</color>회 배달	ส่งอาหารในเขตเมืองโบราณ <color=#ff4dc0>5</color> ออเดอร์
804	1	1114	4	3			294		1	完成旧城区调查中的<color=#ff4dc0>3</color>项任务	完成舊城區調查中的<color=#ff4dc0>3</color>項任務	Complete <color=#ff4dc0>3</color> Investigation Missions in Oldtown.	オールドタウンの調査任務を<color=#ff4dc0>3</color>つ完成する	구시가지에서 조사중인 미션 <color=#ff4dc0>3</color>개 완료	ทำภารกิจสืบสวนในเขตเมืองโบราณ <color=#ff4dc0>3</color> ภารกิจ
805	2	1414	4	1			260		1	前往旧城区钓起<color=#ff4dc0>1</color>条鱼	前往舊城區釣起<color=#ff4dc0>1</color>條魚	Catch <color=#ff4dc0>1</color> fish in Oldtown.	オールドタウンで魚を<color=#ff4dc0>1</color>匹釣る	구시가지에서 물고기 <color=#ff4dc0>1</color>마리 낚기	ไปตกปลาที่เขตเมืองโบราณ <color=#ff4dc0>1</color>ตัว
806	1	601	1	120			601		1	累计召唤<color=#ff4dc0>120</color>次	累計召喚<color=#ff4dc0>120</color>次	Make <color=#ff4dc0>120</color> summons in total.	召喚を<color=#ff4dc0>120</color>回行う	소환 누적 <color=#ff4dc0>120</color>회	รับสมัคร<color=#ff4dc0>120</color> ครั้ง
901	1	1404	5	1			517	5	1	配送<color=#ff4dc0>1</color>单中心区外卖	配送<color=#ff4dc0>1</color>單中心區外賣	Complete <color=#ff4dc0>1</color> delivery order in Central District.	中央区の出前を<color=#ff4dc0>1</color>回完了する	센트럴로 <color=#ff4dc0>1</color>회 배달	ส่งอาหารเขตศูนย์กลาง <color=#ff4dc0>1</color> ออเดอร์
902	1	1213	50	1			701		1	将任意战斗员提升至<color=#ff4dc0>50</color>级	將任意戰鬥員提升至<color=#ff4dc0>50</color>級	Raise any Combatant to lv.<color=#ff4dc0>50</color>.	任意の戦闘員を<color=#ff4dc0>Lv.50</color>にレベルアップする	임의의 전투원 <color=#ff4dc0>50</color>레벨 달성	อัปตัวละครใดก็ได้ให้ถึงเลเวล <color=#ff4dc0>50</color>
903	1	1116	1	45			411		1	通关拟真战斗中心-训练中枢<color=#ff4dc0>45</color>层	通關擬真戰鬥中心-訓練中樞<color=#ff4dc0>45</color>層	Clear <color=#ff4dc0>45</color> Floors in SimuBattle Center - Training Hub.	模擬戦闘センター・訓練中枢<color=#ff4dc0>45</color>層をクリアする	시뮬레이션 전투 센터-훈련 허브 <color=#ff4dc0>45</color>층 클리어	ผ่านด่านศูนย์ฝึกจำลองการรบ-ศูนย์การฝึก ชั้นที่ <color=#ff4dc0>45</color>
904	1	1410		7			520		1	将餐厅升至<color=#ff4dc0>7</color>级	將餐廳升至<color=#ff4dc0>7</color>級	Upgrade the Cafe to lv.<color=#ff4dc0>7</color>.	レストランを<color=#ff4dc0>Lv.7</color>にレベルアップする	카페테리아 <color=#ff4dc0>7</color>레벨 달성	อัปคาเฟ่ถึงเลเวล <color=#ff4dc0>7</color>
905	2	9999	5740013	1			514	5540013	1	提交<color=#ff4dc0>1</color>份「自省酸奶杯」	提交<color=#ff4dc0>1</color>份「自省優酪乳杯」	Submit <color=#ff4dc0>1</color> Reflective Yogurt.	「自省ヨーグルト」を<color=#ff4dc0>1</color>個提出する	반성의 요거트 컵 <color=#ff4dc0>1</color>개 제출	ส่งมอบ [โยเกิร์ตสะท้อนตัวเอง] <color=#ff4dc0>1</color> ชุด
906	1	1106	0	1			722		1	参与<color=#ff4dc0>1</color>次幻影斗技场	參與<color=#ff4dc0>1</color>次幻影鬥技場	Participate in Phantom Clash <color=#ff4dc0>1</color> time.	ファントム闘技場に<color=#ff4dc0>1</color>回出場する	팬텀 투기장 <color=#ff4dc0>1</color>회 참여	เข้าร่วมแฟนธอมอารีน่า <color=#ff4dc0>3</color> รอบ
1001	1	1404	5	5			517	5	1	累计配送<color=#ff4dc0>5</color>单中心区外卖	累計配送<color=#ff4dc0>5</color>單中心區外賣	Complete <color=#ff4dc0>5</color> delivery orders in Central District.	中央区の出前を<color=#ff4dc0>5</color>回完了する	센트럴 타운에 누적 <color=#ff4dc0>5</color>회 배달	ส่งอาหารเขตศูนย์กลาง <color=#ff4dc0>5</color> ออเดอร์
1002	1	104	3	1			701		1	将任意<color=#ff4dc0>1</color>个战斗员升至<color=#ff4dc0>3</color>星	將任意<color=#ff4dc0>1</color>位戰鬥員升至<color=#ff4dc0>3</color>星	Raise <color=#ff4dc0>1</color> Combatant to <color=#ff4dc0>3</color>★.	任意の戦闘員<color=#ff4dc0>1</color>名を<color=#ff4dc0>★3</color>に昇格する	임의의 전투원 <color=#ff4dc0>1</color>명 <color=#ff4dc0>3</color>★ 달성	เพิ่มดาวตัวละครใดก็ได้ <color=#ff4dc0>1</color> คน ให้ถึงระดับ <color=#ff4dc0>3</color>★
1003	1	1701	4	6			701		1	将任意<color=#ff4dc0>6</color>件装备升至<color=#ff4dc0>4</color>星	將任意<color=#ff4dc0>6</color>件裝備升至<color=#ff4dc0>4</color>星	Upgrade <color=#ff4dc0>6</color> pieces of equipment to <color=#ff4dc0>4</color>★.	任意の装備<color=#ff4dc0>6</color>個を<color=#ff4dc0>★4</color>に昇格する	임의의 장비 <color=#ff4dc0>6</color>개 <color=#ff4dc0>4</color>★까지 승급	เพิ่มดาวอุปกรณ์ใดก็ได้ <color=#ff4dc0>6</color> ชิ้น ให้ถึงระดับ <color=#ff4dc0>4</color>★
1004	1	1116	1	50			411		1	通关拟真战斗中心-训练中枢<color=#ff4dc0>50</color>层	通關擬真戰鬥中心-訓練中樞<color=#ff4dc0>50</color>層	Clear <color=#ff4dc0>50</color> Floors in SimuBattle Center - Training Hub.	模擬戦闘センター・訓練中枢<color=#ff4dc0>50</color>層をクリアする	시뮬레이션 전투 센터-훈련 허브 <color=#ff4dc0>50</color>층 클리어	ผ่านด่านศูนย์ฝึกจำลองการรบ-ศูนย์การฝึก ชั้นที่ <color=#ff4dc0>50</color>
1005	1	1114	5	3			295		1	完成中心区调查中的<color=#ff4dc0>3</color>项任务	完成中心區調查中的<color=#ff4dc0>3</color>項任務	Complete <color=#ff4dc0>3</color> Investigation Missions in the Central District.	中央区の調査任務を<color=#ff4dc0>3</color>つ完成する	센트럴에서 조사중인 미션 <color=#ff4dc0>3</color>개 완료	ทำภารกิจสืบสวนในเขตศูนย์กลาง <color=#ff4dc0>3</color> ภารกิจ
1006	1	1213	35	8			701		1	将任意<color=#ff4dc0>8</color>个战斗员提升至<color=#ff4dc0>35</color>级	將任意<color=#ff4dc0>8</color>位戰鬥員提升至<color=#ff4dc0>35</color>級	Raise <color=#ff4dc0>8</color> Combatants to lv.<color=#ff4dc0>35</color>.	任意の戦闘員<color=#ff4dc0>8</color>名を<color=#ff4dc0>Lv.35</color>にレベルアップする	임의의 전투원 <color=#ff4dc0>8</color>명 <color=#ff4dc0>35</color>레벨 달성	อัปเกรดตัวละครใดก็ได้ <color=#ff4dc0>8</color> คน ให้ถึงเลเวล <color=#ff4dc0>35</color>
1007	1	601	1	150			601		1	累计召唤<color=#ff4dc0>150</color>次	累計召喚<color=#ff4dc0>150</color>次	Make <color=#ff4dc0>150</color> summons in total.	召喚を<color=#ff4dc0>150</color>回行う	소환 누적 <color=#ff4dc0>150</color>회	รับสมัคร <color=#ff4dc0>150</color> ครั้ง
1008	1	1410		8			520		1	将餐厅升至<color=#ff4dc0>8</color>级	將餐廳升至<color=#ff4dc0>8</color>級	Upgrade the Cafe to lv.<color=#ff4dc0>8</color>.	レストランを<color=#ff4dc0>Lv.8</color>にレベルアップする	카페테리아 <color=#ff4dc0>8</color>레벨 달성	อัปคาเฟ่ถึงเลเวล <color=#ff4dc0>8</color>
1009	1	1213	50	1			701		1	将任意<color=#ff4dc0>2</color>个战斗员提升至<color=#ff4dc0>50</color>级	將任意<color=#ff4dc0>2</color>個戰鬥員提升至<color=#ff4dc0>50</color>級	Raise <color=#ff4dc0>2</color> Combatants to lv.<color=#ff4dc0>50</color>.	任意の戦闘員<color=#ff4dc0>2</color>名を<color=#ff4dc0>lv.50</color>にレベルアップする	임의의 전투원 <color=#ff4dc0>2</color>명 <color=#ff4dc0>50</color>레벨 달성	อัปเกรดตัวละครใดก็ได้ <color=#ff4dc0>2</color> คน ให้ถึงเลเวล <color=#ff4dc0>50</color>
1010	1	1116	1	60			411		1	通关拟真战斗中心-训练中枢<color=#ff4dc0>60</color>层	通關擬真戰鬥中心-訓練中樞<color=#ff4dc0>60</color>層	Clear <color=#ff4dc0>60</color> Floors in SimuBattle Center - Training Hub.	模擬戦闘センター・訓練中枢<color=#ff4dc0>60</color>層をクリアする	시뮬레이션 전투 센터-훈련 허브 <color=#ff4dc0>60</color>층 클리어	ผ่านด่านศูนย์ฝึกจำลองการรบ-ศูนย์การฝึก ชั้นที่ <color=#ff4dc0>60</color>
1101	1	1410		9			520		1	将餐厅升至<color=#ff4dc0>9</color>级	將餐廳升至<color=#ff4dc0>9</color>級	Upgrade the Cafe to lv.<color=#ff4dc0>9</color>.	レストランを<color=#ff4dc0>Lv.9</color>にレベルアップする	카페테리아 <color=#ff4dc0>9</color>레벨 달성	อัปคาเฟ่ถึงเลเวล <color=#ff4dc0>9</color>
1102	1	1701	5	6			701		1	将任意<color=#ff4dc0>6</color>件装备升至<color=#ff4dc0>5</color>星	將任意<color=#ff4dc0>6</color>件裝備升至<color=#ff4dc0>5</color>星	Upgrade <color=#ff4dc0>6</color> pieces of equipment to <color=#ff4dc0>5</color>★.	任意の装備<color=#ff4dc0>6</color>個を<color=#ff4dc0>★5</color>に昇格する	임의의 장비 <color=#ff4dc0>6</color>개 <color=#ff4dc0>5</color>★까지 승급	อัปเกรดดาวอุปกรณ์ใดก็ได้ <color=#ff4dc0>6</color> ชิ้น ให้ถึงระดับ <color=#ff4dc0>5</color>★
1103	1	1205	7	1			701		1	将任意<color=#ff4dc0>1</color>个战斗员突破<color=#ff4dc0>6</color>次	將任意<color=#ff4dc0>1</color>位戰鬥員突破<color=#ff4dc0>6</color>次	Ascend <color=#ff4dc0>1</color> Combatant <color=#ff4dc0>6</color> times.	任意の戦闘員<color=#ff4dc0>1</color>名を<color=#ff4dc0>6</color>回突破する	임의의 전투원 <color=#ff4dc0>1</color>명 <color=#ff4dc0>6</color>회 돌파	ปลดลิมิตตัวละครใดก็ได้ <color=#ff4dc0>1</color> คน ทั้งหมด <color=#ff4dc0>6</color> ครั้ง
1104	1	1116	1	70			411		1	通关拟真战斗中心-训练中枢<color=#ff4dc0>70</color>层	通關擬真戰鬥中心-訓練中樞<color=#ff4dc0>70</color>層	Clear <color=#ff4dc0>70</color> Floors in SimuBattle Center - Training Hub.	模擬戦闘センター・訓練中枢<color=#ff4dc0>70</color>層をクリアする	시뮬레이션 전투 센터-훈련 허브 <color=#ff4dc0>70</color>층 클리어	ผ่านด่านศูนย์ฝึกจำลองการรบ-ศูนย์การฝึก ชั้นที่ <color=#ff4dc0>70</color>
1105	1	1116	1	100			411		1	通关拟真战斗中心-训练中枢<color=#ff4dc0>100</color>层	通關擬真戰鬥中心-訓練中樞<color=#ff4dc0>100</color>層	Clear <color=#ff4dc0>100</color> Floors in SimuBattle Center - Training Hub.	模擬戦闘センター・訓練中枢<color=#ff4dc0>100</color>層をクリアする	시뮬레이션 전투 센터-훈련 허브 <color=#ff4dc0>100</color>층 클리어	ผ่านด่านศูนย์ฝึกจำลองการรบ-ศูนย์การฝึก ชั้นที่ <color=#ff4dc0>100</color>
1201	1	104	3	6			701		1	将任意<color=#ff4dc0>6</color>个战斗员升至<color=#ff4dc0>3</color>星	將任意<color=#ff4dc0>6</color>個戰鬥員升至<color=#ff4dc0>3</color>星	Raise <color=#ff4dc0>6</color> Combatants to <color=#ff4dc0>3</color>★.	任意の戦闘員<color=#ff4dc0>6</color>名を<color=#ff4dc0>★3</color>に昇格する	임의의 전투원 <color=#ff4dc0>6</color>명 <color=#ff4dc0>3</color>★ 달성	อัปเกรดดาวตัวละครใดก็ได้ <color=#ff4dc0>6</color> คน ให้ถึงระดับ <color=#ff4dc0>3</color>★
1202	1	1701	5	18			701		1	将任意<color=#ff4dc0>18</color>件装备升至<color=#ff4dc0>5</color>星	將任意<color=#ff4dc0>18</color>件裝備升至<color=#ff4dc0>5</color>星	Upgrade <color=#ff4dc0>18</color> pieces of equipment to <color=#ff4dc0>5</color>★.	任意の装備<color=#ff4dc0>18</color>個を<color=#ff4dc0>★5</color>に昇格する	임의의 장비 <color=#ff4dc0>18</color>개 <color=#ff4dc0>5</color>★ 달성	เพิ่มดาวอุปกรณ์ใดก็ได้ <color=#ff4dc0>18</color> ชิ้น ให้ถึงระดับ <color=#ff4dc0>5</color>★
1203	1	1404	6	5			517	6	1	累计配送<color=#ff4dc0>5</color>单凛北区外卖	累計配送<color=#ff4dc0>5</color>單凜北區外賣	Complete <color=#ff4dc0>5</color> delivery orders in Boreala.	凛北区の出前を<color=#ff4dc0>5</color>回完了する	노스 타운으로 누적 <color=#ff4dc0>5</color>회 배달	ส่งอาหารในเขตโบเรียร่า <color=#ff4dc0>5</color> ออเดอร์
1204	1	104	6	1			701		1	将任意<color=#ff4dc0>1</color>个战斗员升至<color=#ff4dc0>6</color>星	將任意<color=#ff4dc0>1</color>個戰鬥員升至<color=#ff4dc0>6</color>星	Raise <color=#ff4dc0>1</color> Combatant to <color=#ff4dc0>6</color>★.	任意の戦闘員<color=#ff4dc0>1</color>名を<color=#ff4dc0>★6</color>に昇格する	임의의 전투원 <color=#ff4dc0>1</color>명 <color=#ff4dc0>6</color>★ 달성	เพิ่มดาวตัวละครใดก็ได้ <color=#ff4dc0>1</color> คน ให้ถึงระดับ <color=#ff4dc0>6</color>★
1205	1	1106	0	3			722		1	参与<color=#ff4dc0>3</color>次幻影斗技场	參與<color=#ff4dc0>3</color>次幻影鬥技場	Participate in Phantom Clash <color=#ff4dc0>3</color> times.	ファントム闘技場に<color=#ff4dc0>3</color>回出場する	팬텀투기장 <color=#ff4dc0>3</color>회 참여	เข้าร่วมแฟนธอมอารีน่า <color=#ff4dc0>3</color> รอบ
1206	1	1701	5	12			701		1	将任意<color=#ff4dc0>12</color>件装备升至<color=#ff4dc0>5</color>星	將任意<color=#ff4dc0>12</color>件裝備升至<color=#ff4dc0>5</color>星	Upgrade <color=#ff4dc0>12</color> pieces of equipment to <color=#ff4dc0>5</color>★.	任意の装備<color=#ff4dc0>12</color>個を<color=#ff4dc0>★5</color>に昇格する	임의의<color=#ff4dc0>12</color>개 장비를<color=#ff4dc0>5</color>★까지 승급	เพิ่มดาวอุปกรณ์ใดก็ได้ <color=#ff4dc0>12</color> ชิ้น ให้ถึงระดับ <color=#ff4dc0>5</color>★
1207	1	1410		9			520		1	将餐厅升至<color=#ff4dc0>9</color>级	將餐廳升至<color=#ff4dc0>9</color>級	Upgrade the Cafe to lv.<color=#ff4dc0>9</color>.	レストランを<color=#ff4dc0>Lv.9</color>にレベルアップする	카페테리아 <color=#ff4dc0>9</color>레벨 달성	อัปคาเฟ่ถึงเลเวล <color=#ff4dc0>9</color>
1208	1	1116	1	60			411		1	通关拟真战斗中心-训练中枢<color=#ff4dc0>60</color>层	通關擬真戰鬥中心-訓練中樞<color=#ff4dc0>60</color>層	Clear <color=#ff4dc0>60</color> Floors in SimuBattle Center - Training Hub.	模擬戦闘センター・訓練中枢<color=#ff4dc0>60</color>層をクリアする	시뮬레이션 전투 센터-훈련 허브 <color=#ff4dc0>60</color>층 클리어	ผ่านด่านศูนย์ฝึกจำลองการรบ-ศูนย์การฝึก ชั้นที่ <color=#ff4dc0>60</color>
1209	1	601	1	1			601		1	累计召唤<color=#ff4dc0>1</color>次	累計召喚<color=#ff4dc0>1</color>次	Make <color=#ff4dc0>1</color> summon in total.	召喚を<color=#ff4dc0>1</color>回行う	누적 소환 <color=#ff4dc0>1</color>회	รับสมัครครบ <color=#ff4dc0>1</color> ครั้ง
1210	1	601	1	5			601		1	累计召唤<color=#ff4dc0>5</color>次	累計召喚<color=#ff4dc0>5</color>次	Make <color=#ff4dc0>5</color> summons in total.	召喚を<color=#ff4dc0>5</color>回行う	누적 소환 <color=#ff4dc0>5</color>회	รับสมัครครบ <color=#ff4dc0>5</color> ครั้ง
