id	guideModuleId	type	title	guideRolo	action	voice	region	regionId	regionType	ifFrame	position	special	timeDelay	regionCoordinate	ifGuide	status	text	text_zh_TW	text_en_UK	text_ja_JP	text_ko_KR	text_th_TH
35	101101_1_1	2	0	42:card_icon_108008_2	idleR1		1	1	1	1	3	0	0	0	0	1	再根据其属性选择<color=#f44eef>克制</color>其属性的非天的技能牌。	再根據其屬性選擇<color=#f44eef>克制</color>其屬性的非天的技能牌。	Then, based on the enemy's elemental, select Asura's skill cards that <color=#f44eef>counter</color> their elemental.	属性カラーをチェックして、<color=#f44eef>有利属性</color>のアスラのスキルカードを選択してください。	그 후, 속성에 따라 해당 속성과 <color=#f44eef>역상성</color>인 아수라의 스킬 카드를 선택하세요	เลือกการ์ดสกิลของอาสึระ\nที่<color=#f44eef>ชนะทาง</color>คุณสมบัติของศัตรูนะคะ
36	101101_1_2	1	0	42:card_icon_108008_2	idleR1		4	2	1	1	3	0	0	0	0	1	剩下这名敌人拥有更高的生命值和防御力，合理利用技能牌的<color=#f44eef>特殊效果</color>才能更快将其击败。	剩下這名敵人擁有更高的生命值和防禦力，合理利用技能牌的<color=#f44eef>特殊效果</color>才能更快將其擊敗。	The remaining enemy possesses higher HP and DEF. To defeat it quicker, make effective use of the <color=#f44eef>special effects</color> of the skill cards.	残りの敵はより高いHPと防御力を持っています。スキルカードの<color=#f44eef>特殊効果</color>を合理的に活用することで、より素早く敵を倒すことができます。	더 높은 HP와 방어력을 가진 적이라도, 스킬 카드의 <color=#f44eef>특수 효과</color>를 잘 활용하면 빠르게 처치할 수 있답니다	หุ่นเชิดที่เหลือมี HP และ DEF ที่สูงกว่า\nใช้<color=#f44eef>เอฟเฟกต์</color>จากการ์ดสกิลที่เหมาะสม\nจะสามารถจัดการพวกมันได้เร็วขึ้นค่ะ
37	101101_1_2	4	0	42:card_icon_108008_2	idleR1		1	6	1	1	3	0	0	0	0	1	非天这张技能牌带有<color=#f44eef>易伤</color>的特殊效果，<color=#f44eef>长按</color>查看技能牌详情。	非天這張技能牌帶有<color=#f44eef>易傷</color>的特殊效果，<color=#f44eef>長按</color>查看技能牌詳情。	This Asura skill card has the <color=#f44eef>Vulnerability</color> effect. <color=#f44eef>Touch and hold</color> to view the skill card details.	このスキルカードを発動させると、敵に<color=#f44eef>被ダメージ増加</color>の特殊効果を付与できます。<color=#f44eef>長押し</color>してスキルカードの情報をチェックしてください。	아수라의 이 스킬 카드는 <color=#f44eef>취약</color>이라는 특수 효과를 가지고 있습니다. <color=#f44eef>길게 누르면</color>스킬 카드의 상세 정보를 확인할 수 있습니다.	การ์ดสกิลใบนี้ของอาสึระสามารถสร้าง\nเอฟเฟกต์ <color=#f44eef>[เปราะบาง]</color> ใส่ศัตรูได้\n<color=#f44eef>กดค้าง</color>เพื่อดูรายละเอียดการ์ดสกิลค่ะ
38	101101_1_2	2	0	42:card_icon_108008_2	idleR1		1	6	1	1	3	0	0	0	0	1	选择这张带有<color=#f44eef>易伤</color>的技能牌。	選擇這張帶有<color=#f44eef>易傷</color>的技能牌。	Select this skill card with the <color=#f44eef>Vulnerability</color> effect.	<color=#f44eef>被ダメージ増加</color>効果のあるスキルカードを選択してください。	<color=#f44eef>취약</color> 효과가 있는 스킬 카드를 선택하세요	เลือกใช้การ์ดสกิลใบนี้ที่สร้างเอฟเฟกต์\n<color=#f44eef>[เปราะบาง]</color> ได้นะคะ
39	101101_1_2	4	0	42:card_icon_108008_2	idleR1		1	1	1	1	3	0	0	0	0	1	而小白的奥义技能可以造成特殊的<color=#f44eef>破灭伤害</color>，<color=#f44eef>长按</color>查看技能牌详情。	而小白的奧義技能可以造成特殊的<color=#f44eef>破滅傷害</color>，<color=#f44eef>長按</color>查看技能牌詳情。	Shiro's Ultimate can deal special <color=#f44eef>Dire DMG</color>. <color=#f44eef>Touch and hold</color> to view the details of the skill card.	シロのSP技は敵に特殊な<color=#f44eef>破滅ダメージ</color>を与えられます。<color=#f44eef>長押し</color>してスキルカードの情報をチェックしてください。	화이트의 필살기는 특수한 <color=#f44eef>파멸 대미지</color>를 부여합니다. <color=#f44eef>길게 눌러 </color>스킬 카드의 상세정보를 확인해보세요	สกิลอัลติเมทของชิโระ สามารถสร้าง\n<color=#f44eef>[ดาเมจทำลายล้าง]</color> ได้\n<color=#f44eef>กดค้าง</color>เพื่อดูรายละเอียดการ์ดสกิลค่ะ
40	101101_1_2	1	0	42:card_icon_108008_2	idleR1		2	0	1	1	3	0	0	0	0	1	已经选好的技能牌造成的<color=#f44eef>易伤</color>效果正好能配合小白的奥义技能<color=#f44eef>破灭伤害</color>。	已經選好的技能牌造成的<color=#f44eef>易傷</color>效果正好能配合小白的奧義技能<color=#f44eef>破滅傷害</color>。	The <color=#f44eef>Vulnerability</color> inflicted by the selected skill cards will synergize perfectly with Shiro's Ultimate's <color=#f44eef>Dire DMG</color>.	既に選んだ<color=#f44eef>被ダメージ増加</color>効果のあるスキルカードは、シロの<color=#f44eef>破滅ダメージ</color>効果のあるSP技の底上げに使用できます。	선택한 스킬 카드에 의한 <color=#f44eef>취약</color> 효과는 화이트의 필살기가 부여하는 <color=#f44eef>파멸 대미지</color>와 좋은 시너지 효과가 있답니다	เอฟเฟกต์ <color=#f44eef>[เปราะบาง]</color> จากสกิลของอาสึระ\nสามารถคอมโบกับ <color=#f44eef>[ดาเมจทำลายล้าง]</color>\nจากอัลติเมทของชิโระได้พอดีค่ะ
41	101101_1_2	2	0	42:card_icon_108008_2	idleR1		1	1	1	1	3	0	0	0	0	1	利用技能牌之间的相互配合，击败强敌吧！	利用技能牌之間的相互配合，擊敗強敵吧！	Combine skill cards strategically to defeat powerful foes!	多様なスキルカードを駆使して、強敵を倒しましょう。	스킬 카드 간의 연계를 활용해 강력한 적을 처치해 보세요!	คุณผู้ตรวจการ สามารถใช้คอมโบสกิล\nเพื่อสร้างความได้เปรียบนะคะ
42	101170_1_1	1	0	42:card_icon_108008_2	idleR1		4	2	1	1	3	0	0	0	0	1	该敌人的<color=#f44eef>奥义技能</color>具有很强的治疗效果。	該敵人的<color=#f44eef>奧義技能</color>具有很強的治療效果。	This enemy's <color=#f44eef>Ultimate</color> possesses potent healing effects.	敵の<color=#f44eef>SP技</color>は、HPを大量に回復させることができます。	해당 적의 <color=#f44eef>필살기</color>는 강력한 치유 효과를 가지고 있습니다	สกิลอัลติเมทของหุ่นเชิดตัวดังกล่าว\nมีเอฟเฟกต์ [ฟื้นฟู] ที่ทรงพลังค่ะ
43	101170_1_1	1	0	42:card_icon_108008_2	idleR1		3	1	1	1	1	0	0	0	0	1	而<color=#f44eef>艾可-机械助理</color>的<color=#f44eef>奥义技能</color>可以扣除敌方目标的奥义能量。	而<color=#f44eef>艾可-機械助理</color>的<color=#f44eef>奧義技能</color>可以扣除敵方目標的奧義能量。	<color=#f44eef>Echo: Mechanicat</color>'s <color=#f44eef>Ultimate</color> can deplete the enemy's SP.	<color=#f44eef>アイコ･アシスタントロボット</color>の<color=#f44eef>SP技</color>は、敵のSPを減少させることができます。	그리고 <color=#f44eef>에코-머신 어시스턴트</color>의 <color=#f44eef>필살기</color>는 적 목표의 필살기 게이지를 차감할 수 있습니다	แต่<color=#f44eef>สกิลอัลติเมท</color>ของ\n<color=#f44eef>[เอคโค-เหมียวเครื่องกล]</color> สามารถ\nลดพลังงาน SP ของศัตรูได้ค่ะ
44	101170_1_1	1	0	42:card_icon_108008_2	idleR1		1	0	1	1	3	0	0	0	0	1	多使用<color=#87cefa>艾可</color>的技能牌积累<color=#87cefa>艾可</color>的奥义能量，使用奥义技能延缓敌人的治疗。	多使用<color=#87cefa>艾可</color>的技能牌積累<color=#87cefa>艾可</color>的奧義能量，使用奧義技能延緩敵人的治療。	Make use of <color=#87cefa>Echo's</color> skill cards to accumulate <color=#87cefa>her SP</color> and delay the enemy's healing with her powerful Ultimate.	<color=#87cefa>アイコ</color>のスキルカードをどんどん使って、貯めたSPでSP技を発動し、敵の回復速度を遅らせましょう。	<color=#87cefa>에코</color>의 스킬 카드를 사용하여 <color=#87cefa>에코</color>의 필살기 게이지를 모으고, 필살기를 사용하여 적의 치유를 지연시키세요	ใช้การ์ดสกิลของ<color=#87cefa>เอคโค</color>หลายๆ ครั้ง\nเพื่อสะสมพลังงาน SP ของ<color=#87cefa>เอคโค</color>และ\nใช้สกิลอัลติเมทเพื่อหยุดการฟื้นฟูค่ะ
45	101180_1_1	1	0	42:card_icon_108008_2	idleR1		9	2	1	1	3	0	0	0	0	1	技能牌的图标可以预览该技能的大致类型。	技能牌的圖示可以預覽該技能的大致類型。	The skill card icons provide a rough overview of this skill.	スキルカードのアイコンから、スキルの種類をチェックできます。	스킬 카드의 아이콘을 통해 스킬의 종류를 미리 확인할 수 있습니다	สามารถดูประเภทของสกิลได้\nจากไอคอนของการ์ดดังกล่าวนะคะ
46	101180_1_1	4	0	42:card_icon_108008_2	idleR1		4	2	1	1	3	0	0	0	0	1	<color=#f44eef>长按</color>目标角色，可以查看该目标属性和技能的详细信息。	<color=#f44eef>長按</color>目標角色，可以查看該目標屬性和技能的詳細資訊。	<color=#f44eef>Touch and hold</color> on the target character to view detailed information about their attributes and skills.	キャラクターを<color=#f44eef>長押し</color>すると、ステータスやスキルの詳細を確認できます。	목표를 <color=#f44eef>길게 눌러</color>, 목표의 속성과 스킬에 대한 상세 정보를 조회할 수 있습니다.	สามารถดูรายละเอียด คุณสมบัติ และ\nการ์ดสกิล เมื่อ<color=#f44eef>กดค้าง</color>ที่เป้าหมายได้ค่ะ
47	102090_1_1	1	0	42:card_icon_108008_2	idleR1		4	1	1	1	3	0	0	0	0	1	敌人的技能会使目标获得<color=#e32636>流血</color>的减益效果。	敵人的技能會使目標獲得<color=#e32636>流血</color>的減益效果。	Enemy skills can inflict <color=#e32636>Bleeding</color> effects on their targets.	敵のスキルはターゲットに<color=#e32636>出血</color>効果を付与します。	적의 스킬은 대상에게 <color=#e32636>출혈</color> 디버프를 부여합니다.	สกิลของหุ่นเชิดดังกล่าว จะทำให้\nเป้าหมายได้รับดีบัฟ <color=#e32636>[เลือดไหล]</color> ค่ะ
48	102090_1_1	1	0	42:card_icon_108008_2	idleR1		3	1	1	1	1	0	0	0	0	1	特莉丝-恬静时刻的治疗技能附带<color=#f44eef>驱散</color>减益效果的能力。	特莉絲-恬靜時刻的治療技能附帶<color=#f44eef>驅散</color>減益效果的能力。	Triss: Pure Grace's healing skill has the ability to <color=#f44eef>dispel</color> debuffs.	トリス･ピースフルタイムの回復スキルを使用すれば<color=#f44eef>デバフ効果を解除</color>できます。	트리스 -[사일런스 타임]의 치유 스킬은 디버프를 <color=#f44eef>해제</color>할 수 있습니다	สกิลฟื้นฟูของทริส สามารถ<color=#f44eef>ลบล้าง</color>\nเอฟเฟกต์ดีบัฟได้ค่ะ
49	102090_1_1	1	0	42:card_icon_108008_2	idleR1		1	6	1	1	3	0	0	0	0	1	在我方角色陷入<color=#e32636>流血</color>状态后，使用带有<color=#f44eef>驱散</color>的治疗技能进行应对。	在我方角色陷入<color=#e32636>流血</color>狀態後，使用帶有<color=#f44eef>驅散</color>的治療技能進行應對。	When an ally is afflicted with <color=#e32636>Bleeding</color>, utilize a healing skill with <color=#f44eef>dispel</color> effect to counter it.	<color=#e32636>出血</color>効果を付与された味方に<color=#f44eef>デバフを解除</color>できる回復スキルを使用しましょう。	아군이 <color=#e32636>출혈</color> 상태일 경우, <color=#f44eef>해제</color> 능력을 가지고 있는 치유 스킬로 대응할 수 있습니다.	เมื่อเอเจนต์ในทีมติดดีบัฟ <color=#e32636>[เลือดไหล]</color>\nควรใช้สกิลฟื้นฟูที่มีเอฟเฟกต์ <color=#f44eef>[ลบล้าง]</color>\nเพื่อรับมือนะคะ
50	102140_2_1	4	0	42:card_icon_108008_2	idleR1		4	2	1	1	3	4	0	0	0	1	部分关卡中的强大敌人会带有影响战局的特殊效果，<color=#f44eef>长按</color>【祈-碧魂灯】查看携带的特殊效果<color=#f44eef>【梦中人】</color>。	部分關卡中的強大敵人會帶有影響戰局的特殊效果，<color=#f44eef>長按</color>【祈-碧魂燈】查看攜帶的特殊效果<color=#f44eef>【夢中人】</color>。	Enemies in certain stages may have special effects that significantly impact the battle. <color=#f44eef>Touch and hold</color> on [Qi: Soul Lantern] to see the unique effect of <color=#f44eef>[Reverie's Grasp]</color>.	一部のステージでは、戦闘に影響を与える特殊効果を持った強力な敵が登場します。「祈･碧魂灯」を<color=#f44eef>長押し</color>すると、<color=#f44eef>夢中人</color>の効果をチェックできます。	일부 스테이지에 있는 강한 적들은 전투 전반에 영향을 줄 수 있는 특수효과를 가지고 있습니다.  [기-벽혼등]을 <color=#f44eef>길게 눌러</color> 특수효과 <color=#f44eef>[꿈 속의 사람]</color>을 확인해 주세요	ศัตรูที่แข็งแกร่งในบางด่านจะมี\nเอฟเฟกต์พิเศษที่ส่งผลต่อการต่อสู้\n<color=#f44eef>กดค้าง</color>ที่ [ฉี-โคมแสงลี้ลับ] เพื่อดู\nเอฟเฟกต์ของสกิล <color=#f44eef>[คนในฝัน]</color> นะคะ
51	102140_2_1	1	0	42:card_icon_108008_2	idleR1		0	0	1	0	4;300,300	0	0	0	0	1	请合理<color=#f44eef>调整攻击顺序</color>或者使用<color=#f44eef>驱散</color>技能应对<color=#f44eef>【梦中人】</color>造成的减益效果。	請合理<color=#f44eef>調整攻擊順序</color>或者使用<color=#f44eef>驅散</color>技能應對<color=#f44eef>【夢中人】</color>造成的減益效果。	Carefully <color=#f44eef>plan your attack order</color> or utilize <color=#f44eef>Dispelling</color> skills to counter the debuffs inflicted by the <color=#f44eef>[Reverie's Grasp]</color>.	<color=#f44eef>攻撃の順番</color>を調整するか、<color=#f44eef>デバフ効果を解除</color>できるスキルで<color=#f44eef>夢中人</color>に対応してください。	<color=#f44eef>공격 순서를 조정</color>하거나, <color=#f44eef>해제</color> 스킬을 사용해 <color=#f44eef>[꿈속의 사람]</color>의 디버프 효과에 대비하세요	<color=#f44eef>ปรับลำดับการโจมตี</color>ให้เหมาะสม\nหรือใช้สกิลที่มีเอฟเฟกต์ <color=#f44eef>[ลบล้าง]</color> เพื่อ\nรับมือกับดีบัฟจากสกิล <color=#f44eef>[คนในฝัน]</color> นะคะ
52	102260_1_1	2	0	42:card_icon_108008_2	idleR1		4;4	1;2	1	1	3	0	0	0	0	1	<color=#0db3ed>蓝色情绪</color>的敌人对我方<color=#e15a68>红色情绪</color>的单位有较大威胁。	<color=#0db3ed>藍色情緒</color>的敵人對我方<color=#e15a68>紅色情緒</color>的單位有較大威脅。	Enemies with <color=#0db3ed>Blue Pathos</color> pose a significant threat to your Combatants with <color=#e15a68>Red Pathos</color>.	<color=#0db3ed>ブルー属性</color>の敵は、<color=#e15a68>レッド属性</color>の味方にとって大きな脅威です。	<color=#0db3ed>블루 이모션</color>의 적은 <color=#e15a68>레드 이모션</color>의 아군에게 더욱 위협적입니다	ศัตรูที่มี <color=#0db3ed>พาโธสสีน้ำเงิน</color> เป็นอันตรายต่อ\nเอเจนต์ที่มี <color=#e15a68>พาโธสสีแดง</color> ในทีม\nเป็นอย่างมากค่ะ
53	102260_1_1	1	0	42:card_icon_108008_2	idleR1		3	1	1	1	1	0	0	0	0	1	而南弥生可以使用带有<color=#f44eef>嘲讽</color>效果的技能牌吸引敌人的攻击从而保护队友。	而南彌生可以使用帶有<color=#f44eef>嘲諷</color>效果的技能牌吸引敵人的攻擊從而保護隊友。	Minami can use skill cards with <color=#f44eef>Taunt</color> effect to draw the enemy's attacks and protect her allies.	南弥生は、<color=#f44eef>挑発</color>の効果を持つスキルカードで敵の攻撃を引きつけ、味方を守ることができます。	미나미의 <color=#f44eef>도발</color> 효과가 있는 스킬 카드를 이용하여 적의 공격을 유도하면, 다른 아군을 보호할 수 있습니다	มินามิสามารถใช้การ์ดสกิลที่มีเอฟเฟกต์\n<color=#f44eef>[ยั่วยุ]</color> เพื่อดึงดูดการโจมตีจากศัตรูและ\nปกป้องเพื่อนร่วมทีมได้ค่ะ
54	102260_1_1	4	0	42:card_icon_108008_2	idleR1		1	1	1	1	3	0	0	0	0	1	<color=#f44eef>长按</color>查看技能牌详情。	<color=#f44eef>長按</color>查看技能牌詳情。	<color=#f44eef>Touch and hold</color> to view the details of the skill card.	<color=#f44eef>長押し</color>すると、スキルカードの詳細が表示されます。	<color=#f44eef>길게 눌러</color> 스킬 카드의 상세 정보를 확인하세요	<color=#f44eef>กดค้าง</color> เพื่อดูรายละเอียดการ์ดสกิลนะคะ
55	102260_1_1	2	0	42:card_icon_108008_2	idleR1		1	1	1	1	3	0	0	0	0	1	选择南弥生带有<color=#f44eef>嘲讽</color>效果的技能牌保护队友，并快速击败<color=#0db3ed>蓝色情绪</color>的敌人。	選擇南彌生帶有<color=#f44eef>嘲諷</color>效果的技能牌保護隊友，並快速擊敗<color=#0db3ed>藍色情緒</color>的敵人。	Capitalize on Minami's skill card with <color=#f44eef>Taunt</color> effect to protect your allies and swiftly defeat the enemies with <color=#0db3ed>Blue Pathos</color>.	<color=#f44eef>挑発</color>の効果を持つスキルカードを選んで味方を守り、<color=#0db3ed>ブルー属性</color>の敵を倒しましょう。	<color=#f44eef>도발</color> 효과가 있는 미나미의 스킬 카드를 사용해 아군을 보호하고, 빠르게 <color=#0db3ed>블루 이모션</color>의 적을 처치하세요	ใช้การ์ดสกิลของมินามิที่มีเอฟเฟกต์\n<color=#f44eef>[ยั่วยุ]</color> เพื่อปกป้องเพื่อนร่วมทีม และ\nจัดการศัตรูที่มี <color=#0db3ed>พาโธสสีน้ำเงิน</color> ก่อนนะคะ
56	102210_1_1	4	0	42:card_icon_108008_2	idleR1		15	1	1	1	3	0	0	0	0	1	猫球的主动技能可以在战斗中使用为我们提供助力。<color=#f44eef>长按</color>可以查看详细信息。	貓球的主動技能可以在戰鬥中使用為我們提供助力。<color=#f44eef>長按</color>可以查看詳細資訊。	The Cato's active skill can assist us in battle. <color=#f44eef>Touch and hold</color> to view details.	ガトのアクティブスキルは戦闘中大きな助けとなります。<color=#f44eef>長押し</color>して詳細を確認してください。	냥냥볼의 액티브 스킬을 활용해 전투에 도움을 줄 수 있습니다. <color=#f44eef>길게 눌러 </color> 상세 정보를 확인하세요	สามารถใช้สกิลแอคทีฟของแคทบอล\nเพื่อซัพพอร์ตเอเจนต์ในทีมในขณะต่อสู้\n<color=#f44eef>กดค้าง</color>เพื่อดูรายละเอียดข้อมูลค่ะ
57	102210_1_1	2	0	42:card_icon_108008_2	idleR1		15	1	1	1	3	0	0	0	0	1	点击选中猫球，猫球技能将进入预备队列。	點擊選中貓球，貓球技能將進入預備隊列。	Tap to select the Cato, adding its skill to the queue.	タップしてガトを選択すると、ガトスキルは自動的に待機列に配置されます。	냥냥볼을 선택하면 냥냥볼 스킬이 예비 리스트로 들어갑니다	คลิกที่แคทบอล สกิลแคทบอลดังกล่าว\nจะถูกนำไปเรียงในช่องการ์ดสกิลค่ะ
58	101060_0_0	1	0	42:card_icon_108008_2	idleR1		0	0	0	0	2	0	0	0	0	1	遇到精英敌人会与调查官的小队进行<color=#f44eef>战力比拼。</color>	遇到精英敵人會與調查官的小隊進行<color=#f44eef>戰力比拼。</color>	Engaging elite enemies triggers a <color=#f44eef>Power Showdown</color> between them and your team.	敵の精鋭と遭遇した場合、<color=#f44eef>戦力バトル</color>が発生します。	엘리트 퍼펫과 전장에서 만나면, 조사관님의 소대와 <color=#f44eef>전투력 비교</color>를 진행합니다	เมื่อพบกับศัตรู จะมีการ<color=#f44eef>เปรียบเทียบ</color>\n<color=#f44eef>CP</color> ของทั้งสองทีมก่อนค่ะ
59	101060_0_0	1	0	42:card_icon_108008_2	idleR1		0	0	0	0	2	0	0	0	0	1	在战力比拼中获胜的一方将在战斗中<color=#f44eef>优先出牌</color>，获得巨大的优势。	在戰力比拼中獲勝的一方將在戰鬥中<color=#f44eef>優先出牌</color>，獲得巨大的優勢。	The side with greater power will enjoy the advantage of <color=#f44eef>playing cards first</color>, granting them a significant edge.	戦力バトルで勝利した側は戦闘開始時に<color=#f44eef>先手</color>を取ることができ、大きなアドバンテージを得られます。	전투력 비교 시 전투력이 더 강한 쪽에서 <color=#f44eef>선공</color>을 가져가며, 전투의 우위를 선점할 수 있습니다	ทีมที่มี CP สูงกว่า จะได้เป็น<color=#f44eef>ฝ่ายเริ่มก่อน</color>\nและจะได้เปรียบเป็นอย่างมากค่ะ
60	101060_0_0	1	0	42:card_icon_108008_2	idleR1		0	0	0	0	4	0	0	0	0	1	<color=#f44eef>敌方战力更高</color>将在战斗中<color=#f44eef>优先出牌</color>。作为后手出牌方此次面对强敌难以取胜。	<color=#f44eef>敵方戰力更高</color>將在戰鬥中<color=#f44eef>優先出牌</color>。作為後手出牌方此次面對強敵難以取勝。	<color=#f44eef>The enemy possesses superior power</color>, and they will <color=#f44eef>take the first turn</color>, posing a challenge to overcome as the second player.	<color=#f44eef>敵の戦力がより高い</color>場合、戦闘中の<color=#f44eef>先手</color>を奪われます。負けた側は、強敵を相手に勝利することは難しいでしょう。	<color=#f44eef>전투력이 높은 적</color>이 전투에서 <color=#f44eef>선공</color>이 되며, 후공의 경우 전투에서 승리하기 어렵습니다	<color=#f44eef>ทีมศัตรูที่มี CP สูงกว่า</color> จะได้<color=#f44eef>เริ่มก่อน</color>\nทำให้ทีมของคุณผู้ตรวจการที่เริ่มทีหลัง\nยากที่จะชนะได้ค่ะ
61	101060_0_0	1	0	42:card_icon_108008_2	idleR1		0	0	0	0	4	0	0	0	0	1	后续战斗请<color=#f44eef>升级战斗员</color>提升小队战斗力，在战力比拼中高于敌方战力从而获取先手优势。	後續戰鬥請<color=#f44eef>升級戰鬥員</color>提升小隊戰鬥力，在戰力比拼中高於敵方戰力從而獲取先手優勢。	To enhance the team's power and gain an upper hand in Power Showdown, consider <color=#f44eef>upgrading your Combatants</color> in future battles.	次の作戦に備え、<color=#f44eef>戦闘員を育成し</color>、戦力を高めてください。戦力バトルに勝利し、先手を取りましょう。	추후 전투에서는 <color=#f44eef>전투원 레벨업</color>을 통해 팀의 전투력을 향상시켜, 선공을 선점하세요	การต่อสู้ครั้งถัดไป โปรด<color=#f44eef>อัปเลเวลเอเจนต์</color>\nเพื่อเพิ่มค่า CP ของทีม เมื่อมี CP สูงกว่า\nจะได้เริ่มก่อน และกุมความได้เปรียบค่ะ
