Id,,SaveBit,StorypackName,Type
5803200,安洁-通用好感3-3,448,anjie_tongyong_haogan3_3,3
5803201,安洁-通用好感3-4,449,anjie_tongyong_haogan3_4,3
5803202,安洁-通用好感3-5,450,anjie_tongyong_haogan3_5,3
5803203,安洁-通用好感3-6,451,anjie_tongyong_haogan3_6,3
5803204,安洁-通用好感3-7,452,anjie_tongyong_haogan3_7,3
5803205,安洁-通用好感4-1,453,anjie_tongyong_haogan4_1,3
5803206,安洁-通用好感4-2,454,anjie_tongyong_haogan4_2,3
5803207,安洁-通用好感4-3,455,anjie_tongyong_haogan4_3,3
5803208,安洁-通用好感4-4,456,anjie_tongyong_haogan4_4,3
5803209,安洁-通用好感4-5,457,anjie_tongyong_haogan4_5,3
5803210,安洁-通用好感4-6,458,anjie_tongyong_haogan4_6,3
5803211,安洁-通用好感4-7,459,anjie_tongyong_haogan4_7,3
5803212,安洁-通用好感5-1,460,anjie_tongyong_haogan5_1,3
5803213,安洁-通用好感5-2,461,anjie_tongyong_haogan5_2,3
5803214,安洁-通用好感5-3,462,anjie_tongyong_haogan5_3,3
5803215,安洁-通用好感5-4,463,anjie_tongyong_haogan5_4,3
5803216,安洁-通用好感5-5,464,anjie_tongyong_haogan5_5,3
5803217,米娅-餐厅好感1,465,miya_canting_haogan1,3
5803218,米娅-餐厅好感3,466,miya_canting_haogan3,3
5803219,米娅-餐厅好感5,467,miya_canting_haogan5,3
5803220,米娅-自宅好感1,468,miya_zizhai_haogan1,3
5803221,米娅-自宅好感3,469,miya_zizhai_haogan3,3
5803222,米娅-自宅好感5,470,miya_zizhai_haogan5,3
5803223,米娅-圣殿好感1,471,miya_shengdian_haogan1,3
5803224,米娅-圣殿好感3,472,miya_shengdian_haogan3,3
5803225,米娅-圣殿好感5,473,miya_shengdian_haogan5,3
5803226,米娅-图书馆好感1,474,miya_tushuguan_haogan1,3
5803227,米娅-图书馆好感3,475,miya_tushuguan_haogan3,3
5803228,米娅-图书馆好感5,476,miya_tushuguan_haogan5,3
5803229,米娅-乐园好感1,477,miya_leyuan_haogan1,3
5803230,米娅-乐园好感3,478,miya_leyuan_haogan3,3
5803231,米娅-乐园好感5,479,miya_leyuan_haogan5,3
5803232,米娅-通用好感1-1,480,miya_tongyong_haogan1_1,3
5803233,米娅-通用好感1-2,481,miya_tongyong_haogan1_2,3
5803234,米娅-通用好感1-3,482,miya_tongyong_haogan1_3,3
5803235,米娅-通用好感1-4,483,miya_tongyong_haogan1_4,3
5803236,米娅-通用好感1-5,484,miya_tongyong_haogan1_5,3
5803237,米娅-通用好感1-6,485,miya_tongyong_haogan1_6,3
5803238,米娅-通用好感1-7,486,miya_tongyong_haogan1_7,3
5803239,米娅-通用好感1-8,487,miya_tongyong_haogan1_8,3
5803240,米娅-通用好感1-9,488,miya_tongyong_haogan1_9,3
5803241,米娅-通用好感1-10,489,miya_tongyong_haogan1_10,3
5803242,米娅-通用好感2-1,490,miya_tongyong_haogan2_1,3
5803243,米娅-通用好感2-2,491,miya_tongyong_haogan2_2,3
5803244,米娅-通用好感2-3,492,miya_tongyong_haogan2_3,3
5803245,米娅-通用好感2-4,493,miya_tongyong_haogan2_4,3
5803246,米娅-通用好感2-5,494,miya_tongyong_haogan2_5,3
5803247,米娅-通用好感2-6,495,miya_tongyong_haogan2_6,3
5803248,米娅-通用好感2-7,496,miya_tongyong_haogan2_7,3
5803249,米娅-通用好感2-8,497,miya_tongyong_haogan2_8,3
5803250,米娅-通用好感2-9,498,miya_tongyong_haogan2_9,3
5803251,米娅-通用好感2-10,499,miya_tongyong_haogan2_10,3
5803252,米娅-通用好感3-1,500,miya_tongyong_haogan3_1,3
5803253,米娅-通用好感3-2,501,miya_tongyong_haogan3_2,3
5803254,米娅-通用好感3-3,502,miya_tongyong_haogan3_3,3
5803255,米娅-通用好感3-4,503,miya_tongyong_haogan3_4,3
5803256,米娅-通用好感3-5,504,miya_tongyong_haogan3_5,3
5803257,米娅-通用好感3-6,505,miya_tongyong_haogan3_6,3
5803258,米娅-通用好感3-7,506,miya_tongyong_haogan3_7,3
5803259,米娅-通用好感4-1,507,miya_tongyong_haogan4_1,3
5803260,米娅-通用好感4-2,508,miya_tongyong_haogan4_2,3
5803261,米娅-通用好感4-3,509,miya_tongyong_haogan4_3,3
5803262,米娅-通用好感4-4,510,miya_tongyong_haogan4_4,3
5803263,米娅-通用好感4-5,511,miya_tongyong_haogan4_5,3
5803264,米娅-通用好感4-6,512,miya_tongyong_haogan4_6,3
5803265,米娅-通用好感4-7,513,miya_tongyong_haogan4_7,3
5803266,米娅-通用好感5-1,514,miya_tongyong_haogan5_1,3
5803267,米娅-通用好感5-2,515,miya_tongyong_haogan5_2,3
5803268,米娅-通用好感5-3,516,miya_tongyong_haogan5_3,3
5803269,米娅-通用好感5-4,517,miya_tongyong_haogan5_4,3
5803270,米娅-通用好感5-5,518,miya_tongyong_haogan5_5,3
5803271,律特殊事件1对话,519,teshu_lv_01,3
5803272,律特殊事件1约会,520,teshu_lv_02,3
5803273,律特殊事件2对话,521,teshu_lv_03,3
5803274,律特殊事件2约会,522,teshu_lv_04,3
5803275,律特殊事件3对话,523,teshu_lv_05,3
5803276,律特殊事件3约会,524,teshu_lv_06,3
5803277,律特殊事件4对话,525,teshu_lv_07,3
5803278,律特殊事件4约会,526,teshu_lv_08,3
5803279,律特殊事件5对话,527,teshu_lv_09,3
5803280,律特殊事件5约会,528,teshu_lv_10,3
5803281,律特殊事件6对话,529,teshu_lv_11,3
5803282,律特殊事件6约会,530,teshu_lv_12,3
5803283,克萝萝特殊事件1对话,531,teshu_keluoluo_01,3
5803284,克萝萝特殊事件1约会,532,teshu_keluoluo_02,3
5803285,克萝萝特殊事件2对话,533,teshu_keluoluo_03,3
5803286,克萝萝特殊事件2约会,534,teshu_keluoluo_04,3
5803287,克萝萝特殊事件3对话,535,teshu_keluoluo_05,3
5803288,克萝萝特殊事件3约会,536,teshu_keluoluo_06,3
5803289,克萝萝特殊事件4对话,537,teshu_keluoluo_07,3
5803290,克萝萝特殊事件4约会,538,teshu_keluoluo_08,3
5803291,克萝萝特殊事件5对话,539,teshu_keluoluo_09,3
5803292,克萝萝特殊事件5约会,540,teshu_keluoluo_10,3
5803293,克萝萝特殊事件6对话,541,teshu_keluoluo_11,3
5803294,克萝萝特殊事件6约会,542,teshu_keluoluo_12,3
5803295,黑神特殊事件1对话,543,teshu_heishen_01,3
5803296,黑神特殊事件1约会,544,teshu_heishen_02,3
5803297,黑神特殊事件2对话,545,teshu_heishen_03,3
5803298,黑神特殊事件2约会,546,teshu_heishen_04,3
5803299,黑神特殊事件3对话,547,teshu_heishen_05,3
5803300,黑神特殊事件3约会,548,teshu_heishen_06,3
5803301,黑神特殊事件4对话,549,teshu_heishen_07,3
5803302,黑神特殊事件4约会,550,teshu_heishen_08,3
5803303,黑神特殊事件5对话,551,teshu_heishen_09,3
5803304,黑神特殊事件5约会,552,teshu_heishen_10,3
5803305,黑神特殊事件6对话,553,teshu_heishen_11,3
5803306,黑神特殊事件6约会,554,teshu_heishen_12,3
5803307,安洁特殊事件1对话,555,teshu_anjie_01,3
5803308,安洁特殊事件1约会,556,teshu_anjie_02,3
5803309,安洁特殊事件2对话,557,teshu_anjie_03,3
5803310,安洁特殊事件2约会,558,teshu_anjie_04,3
5803311,安洁特殊事件3对话,559,teshu_anjie_05,3
5803312,安洁特殊事件3约会,560,teshu_anjie_06,3
5803313,安洁特殊事件4对话,561,teshu_anjie_07,3
5803314,安洁特殊事件4约会,562,teshu_anjie_08,3
5803315,安洁特殊事件5对话,563,teshu_anjie_09,3
5803316,安洁特殊事件5约会,564,teshu_anjie_10,3
5803317,安洁特殊事件6对话,565,teshu_anjie_11,3
5803318,安洁特殊事件6约会,566,teshu_anjie_12,3
5803319,米娅特殊事件1对话,567,teshu_miya_01,3
5803320,米娅特殊事件1约会,568,teshu_miya_02,3
5803321,米娅特殊事件2对话,569,teshu_miya_03,3
5803322,米娅特殊事件2约会,570,teshu_miya_04,3
5803323,米娅特殊事件3对话,571,teshu_miya_05,3
5803324,米娅特殊事件3约会,572,teshu_miya_06,3
5803325,米娅特殊事件4对话,573,teshu_miya_07,3
5803326,米娅特殊事件4约会,574,teshu_miya_08,3
5803327,米娅特殊事件5对话,575,teshu_miya_09,3
5803328,米娅特殊事件5约会,576,teshu_miya_10,3
5803329,米娅特殊事件6对话,577,teshu_miya_11,3
5803330,米娅特殊事件6约会,578,teshu_miya_12,3
5803331,律每周剧情—起始,579,week_lv_01_01,3
5803332,律每周剧情—精灵,580,week_lv_01_02,3
5803333,律每周剧情—森林,581,week_lv_01_03,3
5803334,律每周剧情—中途,582,week_lv_01_04,3
5803335,律每周剧情—半兽人,583,week_lv_01_05,3
5803336,律每周剧情—龙族,584,week_lv_01_06,3
5803337,律每周剧情—暂别,585,week_lv_01_07,3
5803338,克萝萝每周剧情—起始,586,week_keluoluo_01_01,3
5803339,克萝萝每周剧情—有干劲,587,week_keluoluo_01_02,3
5803340,克萝萝每周剧情—有回报,588,week_keluoluo_01_03,3
5803341,克萝萝每周剧情—中途,589,week_keluoluo_01_04,3
5803342,克萝萝每周剧情—软绵绵,590,week_keluoluo_01_05,3
5803343,克萝萝每周剧情—偷懒,591,week_keluoluo_01_06,3
5803344,克萝萝每周剧情—暂别,592,week_keluoluo_01_07,3
5803345,黑神每周剧情—起始,593,week_heishen_01_01,3
5803346,黑神每周剧情—执行任务,594,week_heishen_01_02,3
5803347,黑神每周剧情—调整管理,595,week_heishen_01_03,3
5803348,黑神每周剧情—中途,596,week_heishen_01_04,3
5803349,黑神每周剧情—战斗安排,597,week_heishen_01_05,3
5803350,黑神每周剧情—表达观点,598,week_heishen_01_06,3
5803351,黑神每周剧情—暂别,599,week_heishen_01_07,3
5803352,安洁每周剧情—起始,600,week_anjie_01_01,3
5803353,安洁每周剧情—天使,601,week_anjie_01_02,3
5803354,安洁每周剧情—恶魔,602,week_anjie_01_03,3
5803355,安洁每周剧情—中途,603,week_anjie_01_04,3
5803356,安洁每周剧情—人子,604,week_anjie_01_05,3
5803357,安洁每周剧情—城市,605,week_anjie_01_06,3
5803358,安洁每周剧情—暂别,606,week_anjie_01_07,3
5803359,米娅每周剧情—起始,607,week_miya_01_01,3
5803360,米娅每周剧情—结交好友,608,week_miya_01_02,3
5803361,米娅每周剧情—友谊价值,609,week_miya_01_03,3
5803362,米娅每周剧情—中途,610,week_miya_01_04,3
5803363,米娅每周剧情—存储货币,611,week_miya_01_05,3
5803364,米娅每周剧情—素材用途,612,week_miya_01_06,3
5803365,米娅每周剧情—暂别,613,week_miya_01_07,3
5803366,律锁定互动对话1,614,suodinghudong_lv_01,3
5803367,律锁定互动对话2,615,suodinghudong_lv_02,3
5803368,律锁定互动对话3,616,suodinghudong_lv_03,3
5803369,律锁定互动对话4,617,suodinghudong_lv_04,3
5803370,律锁定互动对话5,618,suodinghudong_lv_05,3
5803371,律锁定互动对话6,619,suodinghudong_lv_06,3
5803372,律锁定互动对话7,620,suodinghudong_lv_07,3
5803373,律锁定互动对话8,621,suodinghudong_lv_08,3
5803374,律锁定互动对话9,622,suodinghudong_lv_09,3
5803375,律锁定互动对话10,623,suodinghudong_lv_10,3
5803376,律锁定互动对话11,624,suodinghudong_lv_11,3
5803377,律锁定约会对话1,625,suodingyuehui_lv_01,3
5803378,律锁定约会对话2,626,suodingyuehui_lv_02,3
5803379,律锁定约会对话3,627,suodingyuehui_lv_03,3
5803380,律锁定约会对话4,628,suodingyuehui_lv_04,3
5803381,律锁定约会对话5,629,suodingyuehui_lv_05,3
5803382,律锁定约会对话6,630,suodingyuehui_lv_06,3
5803383,律锁定约会对话7,631,suodingyuehui_lv_07,3
5803384,律锁定约会对话8,632,suodingyuehui_lv_08,3
5803385,律锁定约会对话9,633,suodingyuehui_lv_09,3
5803386,律锁定约会对话10,634,suodingyuehui_lv_10,3
5803387,律锁定约会对话11,635,suodingyuehui_lv_11,3
5803388,克萝萝锁定互动对话1,636,suodinghudong_keluoluo_01,3
5803389,克萝萝锁定互动对话2,637,suodinghudong_keluoluo_02,3
5803390,克萝萝锁定互动对话3,638,suodinghudong_keluoluo_03,3
5803391,克萝萝锁定互动对话4,639,suodinghudong_keluoluo_04,3
5803392,克萝萝锁定互动对话5,640,suodinghudong_keluoluo_05,3
5803393,克萝萝锁定互动对话6,641,suodinghudong_keluoluo_06,3
5803394,克萝萝锁定互动对话7,642,suodinghudong_keluoluo_07,3
5803395,克萝萝锁定互动对话8,643,suodinghudong_keluoluo_08,3
5803396,克萝萝锁定互动对话9,644,suodinghudong_keluoluo_09,3
5803397,克萝萝锁定互动对话10,645,suodinghudong_keluoluo_10,3
5803398,克萝萝锁定互动对话11,646,suodinghudong_keluoluo_11,3
5803399,克萝萝锁定约会对话01,647,suodingyuehui_keluoluo_01,3
5803400,克萝萝锁定约会对话02,648,suodingyuehui_keluoluo_02,3
5803401,克萝萝锁定约会对话03,649,suodingyuehui_keluoluo_03,3
5803402,克萝萝锁定约会对话04,650,suodingyuehui_keluoluo_04,3
5803403,克萝萝锁定约会对话05,651,suodingyuehui_keluoluo_05,3
5803404,克萝萝锁定约会对话06,652,suodingyuehui_keluoluo_06,3
5803405,克萝萝锁定约会对话07,653,suodingyuehui_keluoluo_07,3
5803406,克萝萝锁定约会对话08,654,suodingyuehui_keluoluo_08,3
5803407,克萝萝锁定约会对话09,655,suodingyuehui_keluoluo_09,3
5803408,克萝萝锁定约会对话10,656,suodingyuehui_keluoluo_10,3
5803409,克萝萝锁定约会对话11,657,suodingyuehui_keluoluo_11,3
5803410,黑神锁定互动对话1,658,suodinghudong_heishen_01,3
5803411,黑神锁定互动对话2,659,suodinghudong_heishen_02,3
5803412,黑神锁定互动对话3,660,suodinghudong_heishen_03,3
5803413,黑神锁定互动对话4,661,suodinghudong_heishen_04,3
5803414,黑神锁定互动对话5,662,suodinghudong_heishen_05,3
5803415,黑神锁定互动对话6,663,suodinghudong_heishen_06,3
5803416,黑神锁定互动对话7,664,suodinghudong_heishen_07,3
5803417,黑神锁定互动对话8,665,suodinghudong_heishen_08,3
5803418,黑神锁定互动对话9,666,suodinghudong_heishen_09,3
5803419,黑神锁定互动对话10,667,suodinghudong_heishen_10,3
5803420,黑神锁定互动对话11,668,suodinghudong_heishen_11,3
5803421,黑神锁定约会对话1,669,suodingyuehui_heishen_01,3
5803422,黑神锁定约会对话2,670,suodingyuehui_heishen_02,3
5803423,黑神锁定约会对话3,671,suodingyuehui_heishen_03,3
5803424,黑神锁定约会对话4,672,suodingyuehui_heishen_04,3
5803425,黑神锁定约会对话5,673,suodingyuehui_heishen_05,3
5803426,黑神锁定约会对话6,674,suodingyuehui_heishen_06,3
5803427,黑神锁定约会对话7,675,suodingyuehui_heishen_07,3
5803428,黑神锁定约会对话8,676,suodingyuehui_heishen_08,3
5803429,黑神锁定约会对话9,677,suodingyuehui_heishen_09,3
5803430,黑神锁定约会对话10,678,suodingyuehui_heishen_10,3
5803431,黑神锁定约会对话11,679,suodingyuehui_heishen_11,3
5803432,安洁锁定互动对话1,680,suodinghudong_anjie_01,3
5803433,安洁锁定互动对话2,681,suodinghudong_anjie_02,3
5803434,安洁锁定互动对话3,682,suodinghudong_anjie_03,3
5803435,安洁锁定互动对话4,683,suodinghudong_anjie_04,3
5803436,安洁锁定互动对话5,684,suodinghudong_anjie_05,3
5803437,安洁锁定互动对话6,685,suodinghudong_anjie_06,3
5803438,安洁锁定互动对话7,686,suodinghudong_anjie_07,3
5803439,安洁锁定互动对话8,687,suodinghudong_anjie_08,3
5803440,安洁锁定互动对话9,688,suodinghudong_anjie_09,3
5803441,安洁锁定互动对话10,689,suodinghudong_anjie_10,3
5803442,安洁锁定互动对话11,690,suodinghudong_anjie_11,3
5803443,安洁锁定约会对话1,691,suodingyuehui_anjie_01,3
5803444,安洁锁定约会对话2,692,suodingyuehui_anjie_02,3
5803445,安洁锁定约会对话3,693,suodingyuehui_anjie_03,3
5803446,安洁锁定约会对话4,694,suodingyuehui_anjie_04,3
5803447,安洁锁定约会对话5,695,suodingyuehui_anjie_05,3
5803448,安洁锁定约会对话6,696,suodingyuehui_anjie_06,3
5803449,安洁锁定约会对话7,697,suodingyuehui_anjie_07,3
5803450,安洁锁定约会对话8,698,suodingyuehui_anjie_08,3
5803451,安洁锁定约会对话9,699,suodingyuehui_anjie_09,3
5803452,安洁锁定约会对话10,700,suodingyuehui_anjie_10,3
5803453,安洁锁定约会对话11,701,suodingyuehui_anjie_11,3
5803454,米娅锁定互动对话1,702,suodinghudong_miya_01,3
5803455,米娅锁定互动对话2,703,suodinghudong_miya_02,3
5803456,米娅锁定互动对话3,704,suodinghudong_miya_03,3
5803457,米娅锁定互动对话4,705,suodinghudong_miya_04,3
5803458,米娅锁定互动对话5,706,suodinghudong_miya_05,3
5803459,米娅锁定互动对话6,707,suodinghudong_miya_06,3
5803460,米娅锁定互动对话7,708,suodinghudong_miya_07,3
5803461,米娅锁定互动对话8,709,suodinghudong_miya_08,3
5803462,米娅锁定互动对话9,710,suodinghudong_miya_09,3
5803463,米娅锁定互动对话10,711,suodinghudong_miya_10,3
5803464,米娅锁定互动对话11,712,suodinghudong_miya_11,3
5803465,米娅锁定约会对话1,713,suodingyuehui_miya_01,3
5803466,米娅锁定约会对话2,714,suodingyuehui_miya_02,3
5803467,米娅锁定约会对话3,715,suodingyuehui_miya_03,3
5803468,米娅锁定约会对话4,716,suodingyuehui_miya_04,3
5803469,米娅锁定约会对话5,717,suodingyuehui_miya_05,3
5803470,米娅锁定约会对话6,718,suodingyuehui_miya_06,3
5803471,米娅锁定约会对话7,719,suodingyuehui_miya_07,3
5803472,米娅锁定约会对话8,720,suodingyuehui_miya_08,3
5803473,米娅锁定约会对话9,721,suodingyuehui_miya_09,3
5803474,米娅锁定约会对话10,722,suodingyuehui_miya_10,3
5803475,米娅锁定约会对话11,723,suodingyuehui_miya_11,3
5803476,玛莎锁定互动对话1,724,suodinghudong_masha_01,3
5803477,玛莎锁定互动对话2,725,suodinghudong_masha_02,3
5803478,玛莎锁定互动对话3,726,suodinghudong_masha_03,3
5803479,玛莎锁定互动对话4,727,suodinghudong_masha_04,3
5803480,玛莎锁定互动对话5,728,suodinghudong_masha_05,3
5803481,玛莎锁定互动对话6,729,suodinghudong_masha_06,3
5803482,玛莎锁定互动对话7,730,suodinghudong_masha_07,3
5803483,玛莎锁定互动对话8,731,suodinghudong_masha_08,3
5803484,玛莎锁定互动对话9,732,suodinghudong_masha_09,3
5803485,玛莎锁定互动对话10,733,suodinghudong_masha_10,3
5803486,玛莎锁定互动对话11,734,suodinghudong_masha_11,3
5803487,玛莎锁定约会对话1,735,suodingyuehui_masha_01,3
5803488,玛莎锁定约会对话2,736,suodingyuehui_masha_02,3
5803489,玛莎锁定约会对话3,737,suodingyuehui_masha_03,3
5803490,玛莎锁定约会对话4,738,suodingyuehui_masha_04,3
5803491,玛莎锁定约会对话5,739,suodingyuehui_masha_05,3
5803492,玛莎锁定约会对话6,740,suodingyuehui_masha_06,3
5803493,玛莎锁定约会对话7,741,suodingyuehui_masha_07,3
5803494,玛莎锁定约会对话8,742,suodingyuehui_masha_08,3
5803495,玛莎锁定约会对话9,743,suodingyuehui_masha_09,3
5803496,玛莎锁定约会对话10,744,suodingyuehui_masha_10,3
5803497,玛莎锁定约会对话11,745,suodingyuehui_masha_11,3
5803501,律邀约剧情包1,746,yy_lv_01,3
5803502,律邀约剧情包2,747,yy_lv_02,3
5803503,克萝萝邀约剧情包1,748,yy_keluoluo_01,3
5803504,克萝萝邀约剧情包2,749,yy_keluoluo_02,3
5803505,黑神月咏邀约剧情包1,750,yy_heishen_01,3
5803506,黑神月咏邀约剧情包2,751,yy_heishen_02,3
5803507,安洁邀约剧情包1,752,yy_anjie_01,3
5803508,安洁邀约剧情包2,753,yy_anjie_02,3
5803509,米娅邀约剧情包1,754,yy_miya_01,3
5803510,米娅邀约剧情包2,755,yy_miya_02,3
5803511,玛莎邀约剧情包1,756,yy_masha_01,3
5803512,玛莎邀约剧情包2,757,yy_masha_02,3
5803601,玛莎-餐厅好感1,758,masha_canting_haogan1,3
5803602,玛莎-餐厅好感3,759,masha_canting_haogan3,3
5803603,玛莎-餐厅好感5,760,masha_canting_haogan5,3
5803604,玛莎-自宅好感1,761,masha_zizhai_haogan1,3
5803605,玛莎-自宅好感3,762,masha_zizhai_haogan3,3
5803606,玛莎-自宅好感5,763,masha_zizhai_haogan5,3
5803607,玛莎-圣殿好感1,764,masha_shengdian_haogan1,3
5803608,玛莎-圣殿好感3,765,masha_shengdian_haogan3,3
5803609,玛莎-圣殿好感5,766,masha_shengdian_haogan5,3
5803610,玛莎-图书馆好感1,767,masha_tushuguan_haogan1,3
5803611,玛莎-图书馆好感3,768,masha_tushuguan_haogan3,3
5803612,玛莎-图书馆好感5,769,masha_tushuguan_haogan5,3
5803613,玛莎-通用好感1-1,770,masha_tongyong_haogan1_1,3
5803614,玛莎-通用好感1-2,771,masha_tongyong_haogan1_2,3
5803615,玛莎-通用好感1-3,772,masha_tongyong_haogan1_3,3
5803616,玛莎-通用好感1-4,773,masha_tongyong_haogan1_4,3
5803617,玛莎-通用好感1-5,774,masha_tongyong_haogan1_5,3
5803618,玛莎-通用好感2-1,775,masha_tongyong_haogan2_1,3
5803619,玛莎-通用好感2-2,776,masha_tongyong_haogan2_2,3
5803620,玛莎-通用好感2-3,777,masha_tongyong_haogan2_3,3
5803621,玛莎-通用好感2-4,778,masha_tongyong_haogan2_4,3
5803622,玛莎-通用好感2-5,779,masha_tongyong_haogan2_5,3
5803623,玛莎-通用好感3-1,780,masha_tongyong_haogan3_1,3
5803624,玛莎-通用好感3-2,781,masha_tongyong_haogan3_2,3
5803625,玛莎-通用好感3-3,782,masha_tongyong_haogan3_3,3
5803626,玛莎-通用好感3-4,783,masha_tongyong_haogan3_4,3
5803627,玛莎-通用好感3-5,784,masha_tongyong_haogan3_5,3
5803628,玛莎-通用好感3-6,785,masha_tongyong_haogan3_6,3
5803629,玛莎-通用好感3-7,786,masha_tongyong_haogan3_7,3
5803630,玛莎-通用好感3-8,787,masha_tongyong_haogan3_8,3
5803631,玛莎-通用好感4-1,788,masha_tongyong_haogan4_1,3
5803632,玛莎-通用好感4-2,789,masha_tongyong_haogan4_2,3
5803633,玛莎-通用好感4-3,790,masha_tongyong_haogan4_3,3
5803634,玛莎-通用好感4-4,791,masha_tongyong_haogan4_4,3
5803635,玛莎-通用好感4-5,792,masha_tongyong_haogan4_5,3
5803636,玛莎-通用好感4-6,793,masha_tongyong_haogan4_6,3
5803637,玛莎-通用好感4-7,794,masha_tongyong_haogan4_7,3
5803638,玛莎-通用好感4-8,795,masha_tongyong_haogan4_8,3
5803639,玛莎-通用好感5-1,796,masha_tongyong_haogan5_1,3
5803640,玛莎-通用好感5-2,797,masha_tongyong_haogan5_2,3
5803641,玛莎-通用好感5-3,798,masha_tongyong_haogan5_3,3
5803642,玛莎-通用好感5-4,799,masha_tongyong_haogan5_4,3
5803643,玛莎-通用好感5-5,800,masha_tongyong_haogan5_5,3
5803644,玛莎-通用好感5-6,801,masha_tongyong_haogan5_6,3
5803645,玛莎-通用好感5-7,802,masha_tongyong_haogan5_7,3
5803646,玛莎-通用好感5-8,803,masha_tongyong_haogan5_8,3
5803647,玛莎-通用好感5-9,804,masha_tongyong_haogan5_9,3
5803648,玛莎-通用好感5-10,805,masha_tongyong_haogan5_10,3
5802001,律约会剧情1,806,yh_lv_01,2
5802002,克萝萝约会剧情1,807,yh_keluoluo_01,2
5802003,黑神月咏约会剧情1,808,yh_heishen_01,2
5802004,安洁约会剧情1,809,yh_anjie_01,2
5802005,米娅约会剧情1,810,yh_miya_01,2
5802006,律约会剧情2,811,yh_lv_02,2
5802007,克萝萝约会剧情2,812,yh_keluoluo_02,2
5802008,黑神月咏约会剧情2,813,yh_heishen_02,2
5802009,安洁约会剧情2,814,yh_anjie_02,2
5802010,米娅约会剧情2,815,yh_miya_02,2
5802011,律约会剧情3,816,yh_lv_03,2
5802012,克萝萝约会剧情3,817,yh_keluoluo_03,2
5802013,黑神月咏约会剧情3,818,yh_heishen_03,2
5802014,安洁约会剧情3,819,yh_anjie_03,2
5802015,米娅约会剧情3,820,yh_miya_03,2
5802016,律约会剧情4,821,yh_lv_04,2
5802017,克萝萝约会剧情4,822,yh_keluoluo_04,2
5802018,黑神月咏约会剧情4,823,yh_heishen_04,2
5802019,安洁约会剧情4,824,yh_anjie_04,2
5802020,米娅约会剧情4,825,yh_miya_04,2
5802021,玛莎约会剧情1,826,yh_masha_01,2
5804001,温泉剧情事件1,827,wenquan_talk_01,1
5804002,温泉剧情事件1的结局1,828,wenquan_talk_01_end01,3
5804003,温泉剧情事件1的结局2,829,wenquan_talk_01_end02,3
5804004,温泉剧情事件1的结局3,830,wenquan_talk_01_end03,3
5804005,温泉剧情事件1的结局4,831,wenquan_talk_01_end04,3
5804006,温泉剧情事件1的结局5,832,wenquan_talk_01_end05,3
5804007,温泉剧情事件1的结局6,833,wenquan_talk_01_end06,3
5804008,温泉剧情事件1的结局7,834,wenquan_talk_01_end07,3
5804009,温泉剧情事件1的结局8,835,wenquan_talk_01_end08,3
5804010,温泉剧情事件1的结局9,836,wenquan_talk_01_end09,3
5804100,专武剧情-安娜,837,zw_anna_01,0
5804101,专武剧情-安普莎,838,zw_anpusha_01,0
5804102,专武剧情-丹妮,839,zw_danni_01,0
5804103,专武剧情-吉拉蒂亚,840,zw_jiladiya_01,0
5804104,专武剧情-牧,841,zw_mu_01,0
5804105,专武剧情-萨拉,842,zw_sala_01,0
5804106,专武剧情-贝儿,843,zw_beier_01,0
5804107,专武剧情-神光,844,zw_shenguang_01,0
5804108,专武剧情-雷雷,845,zw_leilei_01,0
5804109,专武剧情-小闪,846,zw_xiaoshan_01,0
5804110,专武剧情-昔莱,847,zw_xilai_01,0
5804111,专武剧情-桃,848,zw_tao_01,0
5804112,专武剧情-奈奥米,849,zw_naiaomi_01,0
5804113,专武剧情-耶坦尼娅,850,zw_yetanniya_01,0
5804114,专武剧情-希夕莉,851,zw_xixili_01,0
5804115,专武剧情-塞蕾丝蒂娜,852,zw_saileisidina_01,0
5804116,专武剧情-克尔苏娜,853,zw_keersuna_01,0
5804117,专武剧情-伊卡洛斯,854,zw_yikaluosi_01,0
5804118,专武剧情-艾琳娜,855,zw_ailinna_01,0
5804119,专武剧情-艾斯塔利亚,856,zw_aisitaliya_01,0
5804120,专武剧情-异邦波斯菊,857,zw_dabosiju_01,0
5804121,专武剧情-伊拉,858,zw_yila_01,0
5804122,专武剧情-瑞比娅,859,zw_ruibiya_01,0
5804123,专武剧情-露易丝,860,zw_luyisi_01,0
5804124,专武剧情-诺维雅,861,zw_nuoweiya_01,0
5804125,专武剧情-菲尔盖娜,862,zw_feiergaina_01,0
5804129,专武剧情-爱尔维拉,1190,zw_aierweila_01,0
5805001,引导战斗1的对话剧情1,863,yddh_xu01_1,0
5805003,引导战斗1的对话剧情2,864,yddh_xu01_2,0
5805007,引导战斗2的对话剧情1,865,yddh_xu02_1,0
5805009,引导战斗2的对话剧情2,866,yddh_xu02_2,0
5805010,莉莉娅受伤,867,yddh_liliya,0
5805011,引导战斗3的对话剧情1,868,yddh_xu03_1,0
5805013,引导战斗3的对话剧情2,869,yddh_xu03_2,0
5805014,陈述式引导-魔女介绍（立绘）,870,cssyd_mnjs_1,0
5805015,陈述式引导-档案室介绍（立绘）,871,cssyd_das_1,0
5805016,陈述式引导-魔女介绍（头像）,872,cssyd_mnjs_2,0
5805017,陈述式引导-档案室介绍（头像）,873,cssyd_das_2,0
5805100,序章-01,874,zxjq_xu_01_n,0
